"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"version_form","String","121","Recommended","Form used/assessment name","","e.g., Self-Report, Parent Form, Short Form, Revised Version","Version"
"block","Integer","","Recommended","Block","","",""
"acc","Float","","Recommended","Accuracy","","-1 = NaN",""
"blockcorrect","Integer","","Recommended","Blocks Correct","","",""
"blocktotal","Integer","","Recommended","Blocks Total","","",""
"corrminstepsz","Integer","","Recommended","Correct Minimum Step Size","","",""
"correctbutton","Integer","","Recommended","Correct Button","","",""
"framecount","Integer","","Recommended","Frame Count","","",""
"maskimageonsetdelay","Integer","","Recommended","Mask Image Onset Delay","","",""
"maskimageonsettime","Integer","","Recommended","Mask Image Onset Time","","",""
"ncalcframecount","Integer","","Recommended","n Calculate Frame Count","","",""
"ncalcprevframecount","Integer","","Recommended","n Calculate Previous Frame Count","","",""
"ncalcstepsize","Integer","","Recommended","n Calculate Step Size","","",""
"nconcecstep","Integer","","Recommended","n Consecutive Steps","","",""
"nprevstepsize","Integer","","Recommended","n Previous Step Size","","",""
"nrevfollowdoublecut","Integer","","Recommended","n Reversal Follow Double Cut","","",""
"nstepsize","Integer","","Recommended","n Step Size","","",""
"piduration","Integer","","Recommended","Pi Duration","","",""
"reversals","Integer","","Recommended","Reversals","","",""
"revframecount","Integer","","Recommended","Reversal Frame Count","","",""
"revprevframecount","Integer","","Recommended","Previous Reversal Frame Count","","",""
"rt","Float","","Recommended","Reaction Time","","-1 = NaN",""
"stimimageacc","Integer","","Recommended","Stimulus Image Accuracy","","",""
"stimimagert","Integer","","Recommended","Stimulus Image Reaction Time","","",""
"targetpiduration","Integer","","Recommended","Target Pi Duration","","",""
"triallist","Integer","","Recommended","Trial List","","",""
"tryallistcycle","Integer","","Recommended","Trial List Cycle","","",""
"triallistsample","Integer","","Recommended","Trial List Sample","","",""
