"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ba5_weight_kg","Float","","Recommended","How much do you weigh?","","Weight in kg; -99=Missing","ed1"
"a_15","Float","","Recommended","What is your current height?","","In cm","ed2"
"ed3_age","Integer","","Recommended","Age (months) at Menarche","0::999","Age in Months; 0=Does Not Apply; 999=No Information",""
"anoriacp","Integer","","Recommended","Refusal to maintain body weight (Current Parent)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoriapp","Integer","","Recommended","Refusal to maintain body weight (Past Parent)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoriacc","Integer","","Recommended","Refusal to maintain body weight (Current Child)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoriapc","Integer","","Recommended","Refusal to maintain body weight (Past Child)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoriaco","Integer","","Recommended","Refusal to maintain body weight (Current Other)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoriapo","Integer","","Recommended","Refusal to maintain body weight (Past Other)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoriacb","Integer","","Recommended","Refusal to maintain body weight (Current Best)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoriapb","Integer","","Recommended","Refusal to maintain body weight (Past Best)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoribcp","Integer","","Recommended","Intense fear of gaining weight or becoming fat, even though under weight (Current Parent)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoribpp","Integer","","Recommended","Intense fear of gaining weight or becoming fat, even though under weight (Past Parent)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoribcc","Integer","","Recommended","Intense fear of gaining weight or becoming fat, even though under weight (Current Child)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoribpc","Integer","","Recommended","Intense fear of gaining weight or becoming fat, even though under weight (Past Child)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoribco","Integer","","Recommended","Intense fear of gaining weight or becoming fat, even though under weight (Current Other)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoribpo","Integer","","Recommended","Intense fear of gaining weight or becoming fat, even though under weight (Past Other)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoribcb","Integer","","Recommended","Intense fear of gaining weight or becoming fat, even though under weight (Current Best)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoribpb","Integer","","Recommended","Intense fear of gaining weight or becoming fat, even though under weight (Past Best)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoriccp","Integer","","Recommended","Disturbance in the way in which one's body weight or shape is experienced (Current Parent)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoricpp","Integer","","Recommended","Disturbance in the way in which one's body weight or shape is experienced (Past Parent)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoriccc","Integer","","Recommended","Disturbance in the way in which one's body weight or shape is experienced (Current Child)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoricpc","Integer","","Recommended","Disturbance in the way in which one's body weight or shape is experienced (Past Child)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoricco","Integer","","Recommended","Disturbance in the way in which one's body weight or shape is experienced (Current Other)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoricpo","Integer","","Recommended","Disturbance in the way in which one's body weight or shape is experienced (Past Other)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoriccb","Integer","","Recommended","Disturbance in the way in which one's body weight or shape is experienced (Current Best)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoricpb","Integer","","Recommended","Disturbance in the way in which one's body weight or shape is experienced (Past Best)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoridcp","Integer","","Recommended","The absence of at least three consecutive menstrual cycles (Current Parent)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoridpp","Integer","","Recommended","The absence of at least three consecutive menstrual cycles (Past Parent)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoridcc","Integer","","Recommended","The absence of at least three consecutive menstrual cycles (Current Child)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoridpc","Integer","","Recommended","The absence of at least three consecutive menstrual cycles (Past Child)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoridco","Integer","","Recommended","The absence of at least three consecutive menstrual cycles (Current Other)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoridpo","Integer","","Recommended","The absence of at least three consecutive menstrual cycles (Past Other)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoridcb","Integer","","Recommended","The absence of at least three consecutive menstrual cycles (Current Best)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anoridpb","Integer","","Recommended","The absence of at least three consecutive menstrual cycles (Past Best)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsacp","Integer","","Recommended","Refusal to maintain body weight (Current Parent)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsacc","Integer","","Recommended","Refusal to maintain body weight (Current Child)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsaco","Integer","","Recommended","Refusal to maintain body weight (Current Other)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsacb","Integer","","Recommended","Refusal to maintain body weight (Current Best)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsapp","Integer","","Recommended","Refusal to maintain body weight (Past Parent)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsapc","Integer","","Recommended","Refusal to maintain body weight (Past Child)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsapo","Integer","","Recommended","Refusal to maintain body weight (Past Other)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsapb","Integer","","Recommended","Refusal to maintain body weight (Past Best)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsbcp","Integer","","Recommended","Intense fear of gaining weight or becoming fat, even though under weight (Current Parent)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsbcc","Integer","","Recommended","Intense fear of gaining weight or becoming fat, even though under weight (Current Child)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsbco","Integer","","Recommended","Intense fear of gaining weight or becoming fat, even though under weight (Current Other)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsbcb","Integer","","Recommended","Intense fear of gaining weight or becoming fat, even though under weight (Current Best)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsbpp","Integer","","Recommended","Intense fear of gaining weight or becoming fat, even though under weight (Past Parent)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsbpc","Integer","","Recommended","Intense fear of gaining weight or becoming fat, even though under weight (Past Child)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsbpo","Integer","","Recommended","Intense fear of gaining weight or becoming fat, even though under weight (Past Other)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsbpb","Integer","","Recommended","Intense fear of gaining weight or becoming fat, even though under weight (Past Best)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsccp","Integer","","Recommended","Disturbance in the way in which one s body weight or shape is experienced (Current Parent)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsccc","Integer","","Recommended","Disturbance in the way in which one s body weight or shape is experienced (Current Child)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorscco","Integer","","Recommended","Disturbance in the way in which one s body weight or shape is experienced (Current Other)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsccb","Integer","","Recommended","Disturbance in the way in which one s body weight or shape is experienced (Current Best)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorscpp","Integer","","Recommended","Disturbance in the way in which one s body weight or shape is experienced (Past Parent)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorscpc","Integer","","Recommended","Disturbance in the way in which one s body weight or shape is experienced (Past Child)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorscpo","Integer","","Recommended","Disturbance in the way in which one s body weight or shape is experienced (Past Other)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorscpb","Integer","","Recommended","Disturbance in the way in which one s body weight or shape is experienced (Past Best)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsdcp","Integer","","Recommended","The absence of at least three consecutive menstrual cycles (Current Parent)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsdcc","Integer","","Recommended","The absence of at least three consecutive menstrual cycles (Current Child)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsdco","Integer","","Recommended","The absence of at least three consecutive menstrual cycles (Current Other)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsdcb","Integer","","Recommended","The absence of at least three consecutive menstrual cycles (Current Best)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsdpp","Integer","","Recommended","The absence of at least three consecutive menstrual cycles (Past Parent)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsdpc","Integer","","Recommended","The absence of at least three consecutive menstrual cycles (Past Child)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
"anorsdpo","Integer","","Recommended","The absence of at least three consecutive menstrual cycles (Past Other)","0;1;3;9","0=Does Not Apply; 1=No; 3=Yes; 9=No Information",""
