"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"jhac_1_y","Integer","","Recommended","I've always felt that I could make of my life pretty much what I wanted to make of it.","1::5;777;999","1 = Completely true; 2 = Somewhat true; 3 = Don't know; 4 = Somewhat true; 5 = Completely true; 777 = Participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"jhac_2_y","Integer","","Recommended","Once I make up my mind to do something, I stay with it until the job is completely done.","1::5;777;999","1 = Completely true; 2 = Somewhat true; 3 = Don't know; 4 = Somewhat true; 5 = Completely true; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"jhac_3_y","Integer","","Recommended","I like doing things that other people thought could not be done.","1::5;777;999","1 = Completely true; 2 = Somewhat true; 3 = Don't know; 4 = Somewhat true; 5 = Completely true; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"jhac_4_y","Integer","","Recommended","When things don't go the way I want them to, that just makes me work even harder.","1::5;777;999","1 = Completely true; 2 = Somewhat true; 3 = Don't know; 4 = Somewhat true; 5 = Completely true; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"jhac_5_y","Integer","","Recommended","Sometimes I feel that if anything is going to be done right, I have to do it myself.","1::5;777;999","1 = Completely true; 2 = Somewhat true; 3 = Don't know; 4 = Somewhat true; 5 = Completely true; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"jhac_6_y","Integer","","Recommended","It's not always easy, but I manage to find a way to do the things I really need to get done.","1::5;777;999","1 = Completely true; 2 = Somewhat true; 3 = Don't know; 4 = Somewhat true; 5 = Completely true; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"jhac_7_y","Integer","","Recommended","Very seldom have I been disappointed by the results of my hard work.","1::5;777;999","1 = Completely true; 2 = Somewhat true; 3 = Don't know; 4 = Somewhat true; 5 = Completely true; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"jhac_8_y","Integer","","Recommended","I feel that I am the kind of individual who stands up for what he/she believes in, regardless of the consequences.","1::5;777;999","1 = Completely true; 2 = Somewhat true; 3 = Don't know; 4 = Somewhat true; 5 = Completely true; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"jhac_9_y","Integer","","Recommended","In the past, even when things got really tough, I never lost sight of my goals.","1::5;777;999","1 = Completely true; 2 = Somewhat true; 3 = Don't know; 4 = Somewhat true; 5 = Completely true; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"jhac_10_y","Integer","","Recommended","It's important for me to be able to do things the way I want to do them rather than the way other people want me to do them.","1::5;777;999","1 = Completely true; 2 = Somewhat true; 3 = Don't know; 4 = Somewhat true; 5 = Completely true; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"jhac_11_y","Integer","","Recommended","I don't let my personal feelings get in the way of doing a job.","1::5;777;999","1 = Completely true; 2 = Somewhat true; 3 = Don't know; 4 = Somewhat true; 5 = Completely true; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"jhac_12_y","Integer","","Recommended","Hard work has really helped me to get ahead in life.","1::5;777;999","1 = Completely true; 2 = Somewhat true; 3 = Don't know; 4 = Somewhat true; 5 = Completely true; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"jhac_tot_ybl","Integer","","Recommended","Total Score - John Henryism Coping Scale Unmodulated Perseverance","12::60; 999","High scores (above the median) connote mental and physical vigor, tenacity, and a strong sense of personal efficacy when confronting psychosocial environmental stressors; 999 = No data (participant did not see/complete that scale)",""
