"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"respondent","String","20","Recommended","Respondent","Mother;Father;Parent;Guardian;Teacher;Child;Self;Caregiver;Partner;Other;NA","NA=Not Applicable",""
"jvq1","Integer","","Recommended","At any time in your childs life, did anyone use force to take something away from your child that your child was carrying or wearing?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_1,p_jvqr2_1_base"
"jvq2","Integer","","Recommended","At any time in your childs life, did anyone steal something from your child and never give it back? Things like a backpack, money, watch, clothing, bike, stereo, or anything else?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_2,p_jvqr2_2_base"
"jvq3","Integer","","Recommended","At any time in your childs life, did anyone break or ruin any of your childs things on purpose?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_3,p_jvqr2_3_base"
"jvq4","Integer","","Recommended","Sometimes people are attacked with sticks, rocks, guns, knives, or other things that would hurt. At any time in your childs life, did anyone hit or attack your child on purpose with an object or weapon? Somewhere like: at home, at school, at a store, in a car, on the street, or anywhere else?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_4,p_jvqr2_4_base"
"jvq5","Integer","","Recommended","At any time in your childs life, did anyone hit or attack your child without using an object or weapon?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_5,p_jvqr2_5_base"
"jvq6","Integer","","Recommended","At any time in your childs life, did someone start to attack your child, but for some reason, it didnt happen? For example, someone helped your child or your child got away?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_6,p_jvqr2_6_base"
"jvq7","Integer","","Recommended","At any time in your childs life, did someone threaten to hurt your child when your child thought they might really do it?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_7,p_jvqr2_7_base"
"jvq8","Integer","","Recommended","At any time in your childs life, did anyone try to kidnap your child?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_8,p_jvqr2_8_base"
"jvq9","Integer","","Recommended","At any time in your childs life, has your child been hit or attacked because of your childs skin color, religion, or where your family comes from? Because of a physical problem your child has? Or because someone said your child was gay?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_9,p_jvqr2_9_base"
"jvq10","Integer","","Recommended","Not including spanking on your childs bottom, at any time in your childs life, did a grown-up in your childs life hit, beat, kick, or physically hurt your child in any way?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_10,p_jvqr2_10_base"
"jvq11","Integer","","Recommended","At any time in your childs life, did your child get scared or feel really bad because grown-ups in your childs life called your child names, said mean things to your child, or said they didnt want your child?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_11,p_jvqr2_11_base"
"jvq12","Integer","","Recommended","When someone is neglected, it means that the grown-ups in their life didnt take care of them the way they should. They might not get them enough food, take them to the doctor when they are sick, or make sure they have a safe place to stay. At any time in your childs life, was your child neglected?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_12,p_jvqr2_12_base"
"jvq13","Integer","","Recommended","Sometimes a family fights over where a childshould live. At any time in your childs life, did a parent take, keep, or hide your child to stop your child from being with another parent?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_13,p_jvqr2_13_base"
"jvq14","Integer","","Recommended","Sometimes groups of kids or gangs attack people. At any time in your childs life, did a group of kids or a gang hit, jump, or attack your child?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_14,p_jvqr2_14_base"
"jvq15","Integer","","Recommended","At any time in your childs life, did any kid, even a brother or sister, hit your child? Somewhere like: at home, at school, out playing, in a store, or anywhere else?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_15,p_jvqr2_15_base"
"jvq16","Integer","","Recommended","At any time in your childs life, did any kids try to hurt your childs private parts on purpose by hitting or kicking your child there?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_16,p_jvqr2_16_base"
"jvq17","Integer","","Recommended","At any time in your childs life, did any kids, even a brother or sister, pick on your child by chasing your child or grabbing your child or by making your child do something your child didnt want to do?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_17,p_jvqr2_17_base"
"jvq18","Integer","","Recommended","At any time in your childs life, did your child get scared or feel really bad because kids were calling your child names, saying mean things to your child, or saying they didnt want your child around?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_18,p_jvqr2_18_base"
"jvq19","Integer","","Recommended","At any time in your childs life, did a boyfriend or girlfriend or anyone your child went on a date with slap or hit your child?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_19,p_jvqr2_19_base"
"jvq20","Integer","","Recommended","At any time in your child's life, did a grown-up your child knows touch your child's private parts when they shouldn't have or make your child touch their private parts? Or did a grown-up your child knows force your child to have sex?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_20,p_jvqr2_20_base"
"jvq21","Integer","","Recommended","At any time in your child's life, did a grown-up your child did not know touch your child's private parts when they shouldn't have, make your child touch their private parts or force your child to have sex?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_21,p_jvqr2_21_base"
"jvq22","Integer","","Recommended","Now think about other kids, like from school, a boy friend or girl friend, or even a brother or sister. At any time in your childs life, did another child or teen make your child do sexual things?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_22,p_jvqr2_22_base"
"jvq23","Integer","","Recommended","At any time in your childs life, did anyone try to force your child to have sex; that is, sexual intercourse of any kind, even if it didnt happen?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_23,p_jvqr2_23_base"
"jvq24","Integer","","Recommended","At any time in your child's life, did anyone make your child look at their private parts by using force or surprise, or by ""flashing"" your child?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_24,p_jvqr2_24_base"
"jvq25","Integer","","Recommended","At any time in your childs life, did anyone hurt your childs feelings by saying or writing something sexual about your child or your childs body?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_25,p_jvqr2_25_base"
"jvq26","Integer","","Recommended","At any time in your childs life, did your child do sexual things with anyone 18 or older, even things your child both wanted?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_26,p_jvqr2_26_base"
"jvq27","Integer","","Recommended","At any time in your child's life, did your child SEE a parent get pushed, slapped, hit, punched, or beat up by another parent, or their boyfriend or girlfriend?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_27,p_jvqr2_27_base"
"jvq28","Integer","","Recommended","At any time in your child's life, did your child SEE a parent hit, beat, kick, or physically hurt his or her brothers or sisters, not including a spanking on the bottom?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_28,p_jvqr2_28_base"
"jvq29","Integer","","Recommended","At any time in your child's life, in real life, did your child SEE anyone get attacked on purpose WITH a stick, rock, gun, knife, or other thing that would hurt? Somewhere like: at home, at school, at a store, in a car, on the street, or anywhere else?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_29,p_jvqr2_29_base"
"jvq30","Integer","","Recommended","At any time in your child's life, in real life, did your child SEE anyone get attacked or hit on purpose WITHOUT using a stick, rock, gun, knife, or something that would hurt?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_30,p_jvqr2_30_base"
"jvq31","Integer","","Recommended","At any time in your childs life, did anyone steal some thing from your childs house that belongs to your childs family or someone your child lives with? Things like a TV, stereo, car, or anything else?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_31,p_jvqr2_31_base"
"jvq32","Integer","","Recommended","At any time in your childs life, was anyone close to your child murdered, like a friend, neighbor or someone in your childs family?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_32,p_jvqr2_32_base"
"jvq33","Integer","","Recommended","At any time in your childs life, was your child in any place in real life where your child could see or hear people being shot, bombs going off, or street riots?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_33,p_jvqr2_33_base"
"jvq34","Integer","","Recommended","At any time in your childs life, was your child in the middle of a war where your child could hear real fighting with guns or bombs?","0;1; 88; 99","0=No; 1=Yes; 88=N/A, 99=missing/not answered","jvqr2_34,p_jvqr2_34_base"
"con_cr_score","Integer","","Recommended"," Module Dichotomous Score","0;1; 88;99","0=No; 1=Yes; 99=missing; Yes on any of Crime Victimization items:  jvq1, jvq2, jvq3, jvq31",""
"con_cr_total","Integer","","Recommended","Sum score of Crime Victimization items","0::4;88;99","Sum score of Crime Victimization items:  jvq1, jvq2, jvq3, jvq31",""
"phy_ma_score","Integer","","Recommended","Subtype Dichotomous Score","0;1; 88;99","0=No; 1=Yes; 99=missing- from item jvq10",""
"psy_ma_score","Integer","","Recommended","Subtype Dichotomous Score","0;1; 88;99","0=No; 1=Yes; 99=missing; Yes on  either jvq11 or jvq19",""
"chi_ne_score","Integer","","Recommended","Subtype Dichotomous Score","0;1; 88;99","0=No; 1=Yes; 99=missing; Yes on jvq12",""
"sex_ma_score","Integer","","Recommended","Module Dichotomous Score","0;1; 88;99","0=No; 1=Yes; 99=missing; Yes on jvq20 or jvq21",""
"pee_vi_score","Integer","","Recommended","Module Dichotomous Score","0;1; 88;99","0=No; 1=Yes; 99=missing; Yes response on any Peer/Sibling items: jvq14, jvq15, jvq16, jvq17, jvq18, jvq19, jvq22",""
"pee_vi_total","Integer","","Recommended","Sum Score of Peer/Sibling items","0::7; 88; 99","jvq14, jvq15, jvq16, jvq17, jvq18, jvq19, jvq22",""
"wit_vi_score","Integer","","Recommended","Module Dichotomous Score","0;1; 88;99","0=No; 1=Yes; 99=missing; Yes on jvq27, jvq28, jvq29, jvq30, or jvq33",""
"wit_vi_total","Integer","","Recommended","Sum Score of Witnessing/Indirect Violence items","0::5; 88; 99","jvq27, jvq28, jvq29, jvq30, or jvq33",""
"int_pa_physical","Integer","","Recommended","Aggregate Dichotomous Score","0;1; 88;99","0=No; 1=Yes; 99=missing; Yes on jvq19",""
"wit_in_violence","Integer","","Recommended","Aggregate Dichotomous Score","0;1; 88;99","0=No; 1=Yes; 99=missing; Yes on jvq27",""
