"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","demo_study_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","visit_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,sex,sexdesc"
"comments","String","4000","Recommended","Comments about assessment","","","comments_misc_kbit2"
"kbit_verb_q1","Integer","","Recommended","Question 1 Score: clock","0;1","","q1_s1"
"kbit_verb_resp1","String","50","Recommended","Question 1 Response: clock","A;B;C;D;E;F","","q1_r1"
"kbit_verb_q2","Integer","","Recommended","Question 2 Score: money","0;1","","q1_s2"
"kbit_verb_resp2","String","50","Recommended","Question 2 Response: money","A;B;C;D;E;F","","q1_r2"
"kbit_verb_q3","Integer","","Recommended","Question 3 Score: dishes","0;1","","q1_s3"
"kbit_verb_resp3","String","50","Recommended","Question 3 Response : dishes","A;B;C;D;E;F","","q1_r3"
"kbit_verb_q4","Integer","","Recommended","Question 4 Score: squeeze","0;1","","q1_s25"
"kbit_verb_resp4","String","50","Recommended","Question 4 Response: squeeze","A;B;C;D;E;F","","q1_r25"
"kbit_verb_q5","Integer","","Recommended","Question 5 Score: gift","0;1","","q1_s26"
"kbit_verb_resp5","String","50","Recommended","Question 5 Response: gift","A;B;C;D;E;F","","q1_r26"
"kbit_verb_q6","Integer","","Recommended","Question 6 Score: storm","0;1","","q1_s27"
"kbit_verb_resp6","String","50","Recommended","Question 6 Response: storm","A;B;C;D;E;F","","q1_r27"
"kbit_verb_q7","Integer","","Recommended","Question 7 Score: beaver","0;1","","q1_s28"
"kbit_verb_resp7","String","50","Recommended","Question 7 Response: beaver","A;B;C;D;E;F","","q1_r28"
