"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"kexq1","Integer","","Recommended","Drinking helps me to relax","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq2","Integer","","Recommended","Drinking helps me forget problems at work or school","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq3","Integer","","Recommended","Drinking helps me feel better about myself","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq4","Integer","","Recommended","Drinking helps me forget my worries","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq5","Integer","","Recommended","Drinking helps me feel better when I'm feeling down","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq6","Integer","","Recommended","Drinking helps me to relax when I'm tense","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq7","Integer","","Recommended","Drinking helps me to calm down when I'm angry","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq8","Integer","","Recommended","Drinking helps me deal with boredom","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq9","Integer","","Recommended","Drinking helps me express my opinions and ideas better","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq10","Integer","","Recommended","Drinking helps me feel more relaxed about sex","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq11","Integer","","Recommended","Drinking makes me feel more sexy","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq12","Integer","","Recommended","Drinking makes me do some things better","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq13","Integer","","Recommended","Drinking makes me feel less shy","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq14","Integer","","Recommended","Drinking makes it easier to find the right words when talking to people","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq15","Integer","","Recommended","Drinking makes me feel more romantic","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq16","Integer","","Recommended","Drinking helps me to fit in better with people around me","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq17","Integer","","Recommended","Drinking makes me feel cool","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq18","Integer","","Recommended","Alcohol tastes good","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq19","Integer","","Recommended","Drinking makes any celebration more enjoyable","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq20","Integer","","Recommended","Drinking adds enjoyment to a good meal","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq21","Integer","","Recommended","Drinking makes many activities more enjoyable","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq22","Integer","","Recommended","Drinking helps me to fall asleep at night","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq23","Integer","","Recommended","Drinking can be exciting","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq24","Integer","","Recommended","Drinking makes sports (like football, basketball, car races) more enjoyable","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq25","Integer","","Recommended","Drinking makes listening to music more enjoyable","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq26","Integer","","Recommended","Drinking is a good way to kill time","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq27","Integer","","Recommended","Drinking makes it easier for me to play sports","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq28","Integer","","Recommended","Drinking makes me feel more alert","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq29","Integer","","Recommended","Drinking helps me think better","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq30","Integer","","Recommended","Drinking helps me understand complicated things better","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq31","Integer","","Recommended","Drinking makes me feel more coordinated","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq32","Integer","","Recommended","Drinking helps me have better ideas","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq33","Integer","","Recommended","Drinking improves my concentration","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq34","Integer","","Recommended","Drinking makes me more creative","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq35","Integer","","Recommended","Drinking helps me perform certain tasks better","1::3","1 = No; 2 = Yes; 3 = I prefer not to answer",""
"kexq5point_1","Integer","","Recommended","Drinking helps me to relax","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_2","Integer","","Recommended","Drinking helps me forget problems at work or school","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_3","Integer","","Recommended","Drinking helps me feel better about myself","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_4","Integer","","Recommended","Drinking helps me forget my worries","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_5","Integer","","Recommended","Drinking helps me feel better when I'm feeling down","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_6","Integer","","Recommended","Drinking helps me to relax when I'm tense","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_7","Integer","","Recommended","Drinking helps me to calm down when I'm angry","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_8","Integer","","Recommended","Drinking helps me deal with boredom","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_9","Integer","","Recommended","Drinking helps me express my opinions and ideas better","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_10","Integer","","Recommended","Drinking helps me feel more relaxed about sex","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_11","Integer","","Recommended","Drinking makes me feel more sexy","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_12","Integer","","Recommended","Drinking makes me do some things better","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_13","Integer","","Recommended","Drinking makes me feel less shy","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_14","Integer","","Recommended","Drinking makes it easier to find the right words when talking to people","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_15","Integer","","Recommended","Drinking makes me feel more romantic","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_16","Integer","","Recommended","Drinking helps me to fit in better with people around me","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_17","Integer","","Recommended","Drinking makes me feel cool","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_18","Integer","","Recommended","Alcohol tastes good","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_19","Integer","","Recommended","Drinking makes any celebration more enjoyable","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_20","Integer","","Recommended","Drinking adds enjoyment to a good meal","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_21","Integer","","Recommended","Drinking makes many activities more enjoyable","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_22","Integer","","Recommended","Drinking helps me to fall asleep at night","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_23","Integer","","Recommended","Drinking can be exciting","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_24","Integer","","Recommended","Drinking makes sports (like football, basketball, car races) more enjoyable","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_25","Integer","","Recommended","Drinking makes listening to music more enjoyable","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_26","Integer","","Recommended","Drinking is a good way to kill time","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_27","Integer","","Recommended","Drinking makes it easier for me to play sports","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_28","Integer","","Recommended","Drinking makes me feel more alert","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_29","Integer","","Recommended","Drinking helps me think better","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_30","Integer","","Recommended","Drinking helps me understand complicated things better","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_31","Integer","","Recommended","Drinking makes me feel more coordinated","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_32","Integer","","Recommended","Drinking helps me have better ideas","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_33","Integer","","Recommended","Drinking improves my concentration","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_34","Integer","","Recommended","Drinking makes me more creative","0::4","0 = Not at all; 4 = A lot",""
"kexq5point_35","Integer","","Recommended","Drinking helps me perform certain tasks better","0::4","0 = Not at all; 4 = A lot",""
