"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"numinhome","Integer","","Recommended","How many people lived in your home including yourself, but excluding your child (i.e., spent 3 or more nights per week) for the majority of the last six months?","","888 = Missing",""
"whoinhome1","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Biological mother only","0;1","0=Unselected; 1=Selected",""
"whoinhome2","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Biological father only","0;1","0=Unselected; 1=Selected",""
"whoinhome3","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Adoptive mother","0;1","0=Unselected; 1=Selected",""
"whoinhome4","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Adoptive father","0;1","0=Unselected; 1=Selected",""
"whoinhome5","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Both biological parents","0;1","0=Unselected; 1=Selected",""
"whoinhome6","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Both biological parents, but joint custody","0;1","0=Unselected; 1=Selected",""
"whoinhome7","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Biological mother and stepfather","0;1","0=Unselected; 1=Selected",""
"whoinhome8","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Biological father and stepmother","0;1","0=Unselected; 1=Selected",""
"whoinhome9","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Biological mother and boyfriend/girlfriend","0;1","0=Unselected; 1=Selected",""
"whoinhome10","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Biological father and boyfriend/girlfriend","0;1","0=Unselected; 1=Selected",""
"whoinhome11","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Grandparents","0;1","0=Unselected; 1=Selected",""
"whoinhome12","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Full sibling","0;1","0=Unselected; 1=Selected",""
"whoinhome13","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Half sibling","0;1","0=Unselected; 1=Selected",""
"whoinhome14","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Adoptive sibling","0;1","0=Unselected; 1=Selected",""
"whoinhome15","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Aunt","0;1","0=Unselected; 1=Selected",""
"whoinhome16","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Uncle","0;1","0=Unselected; 1=Selected",""
"whoinhome17","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Cousin","0;1","0=Unselected; 1=Selected",""
"whoinhome18","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Mom's friend","0;1","0=Unselected; 1=Selected",""
"whoinhome19","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Dad's friend","0;1","0=Unselected; 1=Selected",""
"whoinhome20","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Sibling's friend","0;1","0=Unselected; 1=Selected",""
"whoinhome21","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Foster home","0;1","0=Unselected; 1=Selected",""
"whoinhome22","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Group home","0;1","0=Unselected; 1=Selected",""
"whoinhome23","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Residential institution","0;1","0=Unselected; 1=Selected",""
"whoinhome24","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Boarding home","0;1","0=Unselected; 1=Selected",""
"whoinhome25","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Runaway","0;1","0=Unselected; 1=Selected",""
"whoinhome26","Integer","","Recommended","With whom is the subject currently living (check all that apply) - College student","0;1","0=Unselected; 1=Selected",""
"whoinhome27","Integer","","Recommended","With whom is the subject currently living (check all that apply) - Other","0;1","0=Unselected; 1=Selected",""
"whoinhome28","String","100","Recommended","With whom is the subject currently living (check all that apply) - Other, specify","","",""
"yrsinhome","String","50","Recommended","How many years has your child lived in the current residence? If your child has been living in the home less than 1 year, specify number of months or days","","",""
"addtlcaregvrs","Integer","","Recommended","In addition to yourself, is there anyone else who provides significant care to your child?","0;1;888","0 = No; 1 = Yes; 888 = Missing",""
"addtlcaregvrs_spec","String","100","Recommended","In addition to yourself, is there anyone else who provides significant care to your child - Specify additional caretaker","","",""
"cpsinvolvmt1","Integer","","Recommended","Child Protective Services (DCFS/CYF/CYS/CPS) involvement or contact (check all that apply) - None","0;1","0=Unselected; 1=Selected",""
"cpsinvolvmt2","Integer","","Recommended","Child Protective Services (DCFS/CYF/CYS/CPS) involvement or contact (check all that apply) - Current","0;1","0=Unselected; 1=Selected",""
"cpsinvolvmt3","Integer","","Recommended","Child Protective Services (DCFS/CYF/CYS/CPS) involvement or contact (check all that apply) - Past","0;1","0=Unselected; 1=Selected",""
"cpsinvolvmt4","Integer","","Recommended","Child Protective Services (DCFS/CYF/CYS/CPS) involvement or contact (check all that apply) - Did not ask","0;1","0=Unselected; 1=Selected",""
"injrspregn","Integer","","Recommended","Did you have any illness or injury during pregnancy?","0;1;888","0 = No; 1 = Yes; 888 = Missing",""
"typeinjrspregn","String","250","Recommended","Did you have any illness or injury during pregnancy - Specify","","",""
"medicpregn","Integer","","Recommended","Did you take any medications other than vitamins and iron?","0;1;888","0 = No; 1 = Yes; 888 = Missing",""
"typemedicpregn","String","500","Recommended","Did you take any medications other than vitamins and iron - Specify","","",""
"alcpregn","Integer","","Recommended","Did you drink during pregnancy?","0;1;888","0 = No; 1 = Yes; 888 = Missing",""
"alcpregninfo","String","250","Recommended","Did you drink during pregnancy - Specify","","",""
"p_mdh_4","Integer","","Recommended","Did you smoke during your pregnancy?","0;1;888","0 = No; 1 = Yes; 888 = Missing",""
"smokpregninfo","String","250","Recommended","Did you smoke during pregnancy - Specify","","",""
"birthwks","Integer","","Recommended","How many weeks were you when your child was born?","","888 = Missing",""
"birth_weight_lbs","Float","","Recommended","Birth weight pounds","","",""
"socrelprob","Integer","","Recommended","Problems with social relatedness during infancy and early childhood","0;1;888","0 = No; 1 = Yes; 888 = Missing",""
"socrelprobinfo","String","250","Recommended","Problems with social relatedness during infancy and early childhood - Specify","","",""
"dvlpmilst","Integer","","Recommended","Developmental milestones within normal limits","0;1;888","0 = No; 1 = Yes; 888 = Missing",""
"dvlpmilstinfo","String","250","Recommended","Developmental milestones within normal limits - Specify","","",""
"chdtrthist","Integer","","Recommended","Child trauma history","0;1;888","0 = Not Present; 1 = Present; 888 = Missing",""
"chdtrthistinfo","String","500","Recommended","Child trauma history - Specify","","",""
"chdmedhist","Integer","","Recommended","Child medical history","0;1;888","0 = Not Present; 1 = Present; 888 = Missing",""
"chdmedhistinfo","String","500","Recommended","Child medical history - Specify","","",""
"schset","Integer","","Recommended","Current school setting","0::10;888","0=Not enrolled in school; 1=Daycare; 2=In-home nanny or babysitter; 3=Out of home nanny or babysitter; 4=Regular public school; 5=Regular private school; 6=Vocational-technical school; 7=Specialized school for youth with emotional/behavioral problems; 8=Cyber school; 9=Home school; 10=Other; 888=Missing",""
"schset_spec","String","100","Recommended","Current school setting - Other, specify","","",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"ksadsmdepast","Integer","","Recommended","Meets criteria for Past Major Depressive Episode","0::3;888","0 = No information; 1 = Not Present; 2 = Subthreshold; 3 = Threshold; 888 = Missing",""
"ksadsmdepres","Integer","","Recommended","Meets criteria for Current Major Depressive Episode","0::3;888","0 = No information; 1 = Not Present; 2 = Subthreshold; 3 = Threshold; 888 = Missing",""
"ksadsdyspast","Integer","","Recommended","Meets criteria for Past Dysthymia","0::3;888","0 = No information; 1 = Not Present; 2 = Subthreshold; 3 = Threshold; 888 = Missing",""
"ksadsdyspres","Integer","","Recommended","Meets criteria for Current Dysthymia","0::3;888","0 = No information; 1 = Not Present; 2 = Subthreshold; 3 = Threshold; 888 = Missing",""
"ksadsdepnospast","Integer","","Recommended","Meets criteria for Past not otherwise specified depressive disorder(s)","0::3;888","0 = No information; 1 = Not Present; 2 = Subthreshold; 3 = Threshold; 888 = Missing",""
"ksadsdepnospres","Integer","","Recommended","Meets criteria for Current not otherwise specified depressive disorder(s)","0::3;888","0 = No information; 1 = Not Present; 2 = Subthreshold; 3 = Threshold; 888 = Missing",""
"ksadsmanicpast","Integer","","Recommended","Meets criteria for Past Manic Episode","0::3;888","0 = No information; 1 = Not Present; 2 = Subthreshold; 3 = Threshold; 888 = Missing",""
"ksadsmanicpres","Integer","","Recommended","Meets criteria for Current Manic Episode","0::3;888","0 = No information; 1 = Not Present; 2 = Subthreshold; 3 = Threshold; 888 = Missing",""
"ksadsmixedpast","Integer","","Recommended","Meets criteria for Past Mixed Features","0::3;888","0 = No information; 1 = Not Present; 2 = Subthreshold; 3 = Threshold; 888 = Missing",""
"ksadsmixedpres","Integer","","Recommended","Meets criteria for Current Mixed Features","0::3;888","0 = No information; 1 = Not Present; 2 = Subthreshold; 3 = Threshold; 888 = Missing",""
"ksadshypopast","Integer","","Recommended","Meets criteria for Past Hypomanic Episode","0::3;888","0 = No information; 1 = Not Present; 2 = Subthreshold; 3 = Threshold; 888 = Missing",""
"ksadshypopres","Integer","","Recommended","Meets criteria for Current Hypomanic Episode","0::3;888","0 = No information; 1 = Not Present; 2 = Subthreshold; 3 = Threshold; 888 = Missing",""
"ksadsbinospast","Integer","","Recommended","Meets criteria for Past Bipolar Disorder Not Otherwise Specified","0::3;888","0 = No information; 1 = Not Present; 2 = Subthreshold; 3 = Threshold; 888 = Missing",""
"ksadsbinospres","Integer","","Recommended","Meets criteria for Current Bipolar Disorder Not Otherwise Specified","0::3;888","0 = No information; 1 = Not Present; 2 = Subthreshold; 3 = Threshold; 888 = Missing",""
"ksadspanicpast","Integer","","Recommended","Meets criteria for Past Panic Disorder","0::3;888","0 = No information; 1 = Not Present; 2 = Subthreshold; 3 = Threshold; 888 = Missing",""
"ksadspanicpres","Integer","","Recommended","Meets criteria for Current Panic Disorder","0::3;888","0 = No information; 1 = Not Present; 2 = Subthreshold; 3 = Threshold; 888 = Missing",""
"ksadssepanxpast","Integer","","Recommended","Meets criteria for Past Separation Anxiety","0::3;888","0 = No information; 1 = Not Present; 2 = Subthreshold; 3 = Threshold; 888 = Missing",""
"ksadssepanxpres","Integer","","Recommended","Meets criteria for Current Separation Anxiety","0::3;888","0 = No information; 1 = Not Present; 2 = Subthreshold; 3 = Threshold; 888 = Missing",""
"ksadssimpphobiapast","Integer","","Recommended","Meets criteria for Past Simple Phobia","0::3;888","0 = No information; 1 = Not Present; 2 = Subthreshold; 3 = Threshold; 888 = Missing",""
"ksadssimpphobiapres","Integer","","Recommended","Meets criteria for Current Simple Phobia","0::3;888","0 = No information; 1 = Not Present; 2 = Subthreshold; 3 = Threshold; 888 = Missing",""
