"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","id"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","adate"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"ksads_dx_bipoi_current","Integer","","Recommended","Bipolar I Current","0;1;-99;77;88","0= No; 1= Yes ;   -99=N/A ; 88=  Missing ; 77= Refused","k2sads_dx_bipoi_current"
"ksads_dx_bipoim_current","Integer","","Recommended","Bipolar I Mania only Current","0;1;-99;77;88","0= No; 1= Yes ;   -99=N/A ; 88=  Missing ; 77= Refused","k2sads_dx_bipoim_current"
"ksads_dx_bipoii_current","Integer","","Recommended","Bipolar II Current","0;1;-99;77;88","0= No; 1= Yes ;   -99=N/A ; 88=  Missing ; 77= Refused","k2sads_dx_bipoii_current"
"ksads_dx_bipolarnos_curr","Integer","","Recommended","Bipolar NOS Current","0;1;-99;77;88","0= No; 1= Yes ;   -99=N/A ; 88=  Missing ; 77= Refused","k2sads_dx_bipolarnos_curr"
"ksads_dx_doubledep_past","Integer","","Recommended","Dysthymia and MDD Past","0;1;-99;77;88","0= No; 1= Yes ;   -99=N/A ; 88=  Missing ; 77= Refused","k2sads_dx_doubledep_past"
"ksads_dx_bipoi_past","Integer","","Recommended","Bipolar I Past","0;1;-99;77;88","0= No; 1= Yes ;   -99=N/A ; 88=  Missing ; 77= Refused","k2sads_dx_bipoi_past"
"ksads_dx_bipoim_past","Integer","","Recommended","Bipolar I Mania only Past","0;1;-99;77;88","0= No; 1= Yes ;   -99=N/A ; 88=  Missing ; 77= Refused","k2sads_dx_bipoim_past"
"ksads_dx_bipoii_past","Integer","","Recommended","Bipolar II Past","0;1;-99;77;88","0= No; 1= Yes ;   -99=N/A ; 88=  Missing ; 77= Refused","k2sads_dx_bipoii_past"
