"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","INTERVIEW_DATE_KAUF"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","INTERVIEW_AGE_KAUF"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"kspt_oral_q1","Integer","","Recommended","1. Open mouth","0;1","0=Correct; 1=Incorrect",""
"kspt_oral_q2","Integer","","Recommended","2. Produce voice","0;1","0=Correct; 1=Incorrect",""
"kspt_oral_q3","Integer","","Recommended","3. Protrude tongue","0;1","0=Correct; 1=Incorrect",""
"kspt_oral_q4","Integer","","Recommended","4. Lateralize tongue right","0;1","0=Correct; 1=Incorrect",""
"kspt_oral_q5","Integer","","Recommended","5. Lateralize tongue left","0;1","0=Correct; 1=Incorrect",""
"kspt_oral_q6","Integer","","Recommended","6. Alternate tongue lateralization","0;1","0=Correct; 1=Incorrect",""
"kspt_oral_q7","Integer","","Recommended","7. Elevate tonge to alveolar ridge","0;1","0=Correct; 1=Incorrect",""
"kspt_oral_q8","Integer","","Recommended","8. Spread lips","0;1","0=Correct; 1=Incorrect",""
"kspt_oral_q9","Integer","","Recommended","9. Pucker lips","0;1","0=Correct; 1=Incorrect",""
"kspt_oral_q10","Integer","","Recommended","10. Alternate spread/pucker","0;1","0=Correct; 1=Incorrect",""
"kspt_oral_q11","Integer","","Recommended","11. Can the child control saliva pooling?","0;1","0=Correct; 1=Incorrect",""
"kspt_oral_raw","Integer","","Recommended","Part I: Raw Score","0::11","",""
"kspt_oral_ss","Integer","","Recommended","Standard Score","","",""
"kspt_oral_perc","String","10","Recommended","Percentile","","",""
"kspt_part2a_q1","Integer","","Recommended","1. father","0;1","0=Correct; 1=Incorrect",""
"kspt_part2a_q2","Integer","","Recommended","2. much","0;1","0=Correct; 1=Incorrect",""
"kspt_part2a_q3","Integer","","Recommended","3. boot","0;1","0=Correct; 1=Incorrect",""
"kspt_part2a_q4","Integer","","Recommended","4. eat","0;1","0=Correct; 1=Incorrect",""
"kspt_part2a_q5","Integer","","Recommended","5. caught","0;1","0=Correct; 1=Incorrect",""
"kspt_part2a_q6","Integer","","Recommended","6. bet","0;1","0=Correct; 1=Incorrect",""
"kspt_part2a_q7","Integer","","Recommended","7. hit","0;1","0=Correct; 1=Incorrect",""
"kspt_part2a_errors","Integer","","Recommended","Total Incorrect","0::7","",""
"kspt_part2b_q1","Integer","","Recommended","1. high","0;1","0=Correct; 1=Incorrect",""
"kspt_part2b_q2","Integer","","Recommended","2. boat","0;1","0=Correct; 1=Incorrect",""
"kspt_part2b_q3","Integer","","Recommended","3. bake","0;1","0=Correct; 1=Incorrect",""
"kspt_part2b_q4","Integer","","Recommended","4. out","0;1","0=Correct; 1=Incorrect",""
"kspt_part2b_q5","Integer","","Recommended","5. boy","0;1","0=Correct; 1=Incorrect",""
"kspt_part2b_errors","Integer","","Recommended","Total Incorrect","0::5","",""
"kspt_part2c_q1","Integer","","Recommended","1. /m/","0;1","0=Correct; 1=Incorrect",""
"kspt_part2c_q2","Integer","","Recommended","2. /t/","0;1","0=Correct; 1=Incorrect",""
"kspt_part2c_q3","Integer","","Recommended","3. /p/","0;1","0=Correct; 1=Incorrect",""
"kspt_part2c_q4","Integer","","Recommended","4. /b/","0;1","0=Correct; 1=Incorrect",""
"kspt_part2c_q5","Integer","","Recommended","5. /h/","0;1","0=Correct; 1=Incorrect",""
"kspt_part2c_q6","Integer","","Recommended","6. /d/","0;1","0=Correct; 1=Incorrect",""
"kspt_part2c_q7","Integer","","Recommended","7. /n/","0;1","0=Correct; 1=Incorrect",""
"kspt_part2c_errors","Integer","","Recommended","Total Incorrect","0::7","",""
"kspt_part2d_q1","Integer","","Recommended","1. mama","0;1","0=Correct; 1=Incorrect",""
"kspt_part2d_q2","Integer","","Recommended","2. papa","0;1","0=Correct; 1=Incorrect",""
"kspt_part2d_q3","Integer","","Recommended","3. buh buh","0;1","0=Correct; 1=Incorrect",""
"kspt_part2d_q4","Integer","","Recommended","4. boo boo","0;1","0=Correct; 1=Incorrect",""
"kspt_part2d_q5","Integer","","Recommended","5. dah dah","0;1","0=Correct; 1=Incorrect",""
"kspt_part2d_errors","Integer","","Recommended","Total Incorrect","0::5","",""
"kspt_part2e_q1","Integer","","Recommended","1. do","0;1","0=Correct; 1=Incorrect",""
"kspt_part2e_q2","Integer","","Recommended","2. pay","0;1","0=Correct; 1=Incorrect",""
"kspt_part2e_q3","Integer","","Recommended","3. tie","0;1","0=Correct; 1=Incorrect",""
"kspt_part2e_q4","Integer","","Recommended","4. boo","0;1","0=Correct; 1=Incorrect",""
"kspt_part2e_q5","Integer","","Recommended","5. me","0;1","0=Correct; 1=Incorrect",""
"kspt_part2e_q6","Integer","","Recommended","6. bye","0;1","0=Correct; 1=Incorrect",""
"kspt_part2e_q7","Integer","","Recommended","7. day","0;1","0=Correct; 1=Incorrect",""
"kspt_part2e_errors","Integer","","Recommended","Total Incorrect","0::7","",""
"kspt_part2f_q1","Integer","","Recommended","1. do","0;1","0=Correct; 1=Incorrect",""
"kspt_part2f_q2","Integer","","Recommended","2. pay","0;1","0=Correct; 1=Incorrect",""
"kspt_part2f_q3","Integer","","Recommended","3. tie","0;1","0=Correct; 1=Incorrect",""
"kspt_part2f_q4","Integer","","Recommended","4. boo","0;1","0=Correct; 1=Incorrect",""
"kspt_part2f_errors","Integer","","Recommended","Total Incorrect","0::4","",""
"kspt_part2g_q1","Integer","","Recommended","1. bubble","0;1","0=Correct; 1=Incorrect",""
"kspt_part2g_q2","Integer","","Recommended","2. mommy","0;1","0=Correct; 1=Incorrect",""
"kspt_part2g_q3","Integer","","Recommended","3. baby","0;1","0=Correct; 1=Incorrect",""
"kspt_part2g_q4","Integer","","Recommended","4. puppy","0;1","0=Correct; 1=Incorrect",""
"kspt_part2g_q5","Integer","","Recommended","5. people","0;1","0=Correct; 1=Incorrect",""
"kspt_part2g_q6","Integer","","Recommended","6. daddy","0;1","0=Correct; 1=Incorrect",""
"kspt_part2g_errors","Integer","","Recommended","Total Incorrect","0::6","",""
"kspt_part2h_q1","Integer","","Recommended","1. pop","0;1","0=Correct; 1=Incorrect",""
"kspt_part2h_q2","Integer","","Recommended","2. mom","0;1","0=Correct; 1=Incorrect",""
"kspt_part2h_q3","Integer","","Recommended","3. bib","0;1","0=Correct; 1=Incorrect",""
"kspt_part2h_q4","Integer","","Recommended","4. tot","0;1","0=Correct; 1=Incorrect",""
"kspt_part2h_q5","Integer","","Recommended","5. dad","0;1","0=Correct; 1=Incorrect",""
"kspt_part2h_errors","Integer","","Recommended","Total Incorrect","0::5","",""
"kspt_part2i_q1","Integer","","Recommended","1. man","0;1","0=Correct; 1=Incorrect",""
