"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ferritin","Float","","Recommended","Serum ferritin (unit: ng/mL)","","Serum Ferritin (Immunoassay on Vitros 5600 Chemistry System, Ortho Clinical Diagnostics, Raritan, NJ)",""
"stfr","Float","","Recommended","Transferrin receptor (unit: ng/mL)","","Transferrin receptor (Ramco Laboratories; Stafford, TX), transferrin saturation (Vitros 5600 Chemistry System",""
"transferrin_sat","Float","","Recommended","Transferrin saturation (unit: %)","","Ortho Clinial Diagnostics, Raritan, NJ)",""
"iron_1","Float","","Recommended","Iron (unit: microg/dL)","","Iron (Vitros 5600 Chemistry System, Ortho Clinical Diagnostics, Raritan, NJ)","iron"
"tibc","Float","","Recommended","Total iron binding capacity (unit: microg/dL)","","Total iron binding capacity (Vitros 5600 Chemistry System, Ortho Clinical Diagnostics, Raritan, NJ)",""
"hemoglobin","Float","","Recommended","Hemoglobin (unit: g/dL)","","Hemoglobin (Sysmex XN-Series Analyzer, Sysmex America, Inc., Lincolnshire, IL)",""
"retic_hg","Float","","Recommended","Reticulocyte hemoglobin (g/dL)","","",""
"protoporphyrin","Float","","Recommended","Zinc protoporphyrin (microg/dL)","","Zinc protoporphyrin (Elisa, Mybiosource, Inc., San Diego, CA)",""
"hscrp","Float","","Recommended","High-sensitivity C-reactive protein (mg/L)","","High-sensitivity C-reactive protein (Vitros 5600 Chemistry System, Ortho Clinical Diagnostics, Raritan, NJ)",""
"tsh_1","Float","","Recommended","Thyroid stimulating hormone (microIU/mL )","","Thyroid stimulating hormone (Abbott Architect Immunoassay, Abbott Park, IL)","tsh"
"phleb_time","String","20","Recommended","Phlebotomy time","","Military Time XX:XX",""
"fasting_status","Integer","","Recommended","Fasting status","0;1","0 = No; 1 = Yes",""
"il2","Float","","Recommended","Interleukin-2 ","","(pg/L)",""
"il4","Float","","Recommended","Interleukin-4 ","","(pg/L)",""
"il6","Float","","Recommended","Interleukin-6 ","","(pg/L)",""
"il8","Float","","Recommended","Interleukin-8 ","","(pg/L)",""
"tnfa","Float","","Recommended","Tumor necrosis factor alpha level pg/mL","","",""
"ifny","Float","","Recommended","Interferon gamma","","(pg/L)",""
"il10","Float","","Recommended","Interleukin-10 ","","(pg/L)",""
"il12p70","Float","","Recommended","Interleukin-12 ","","(pg/L)",""
"il13","Float","","Recommended","Interleukin-13 ","","(pg/L)",""
"il17","Float","","Recommended","Interleukin-17 ","","(pg/L)",""
"il18","Float","","Recommended","Interleukin-18 ","","(pg/L)",""
"il1b","Float","","Recommended","Interleukin-1 beta ","","(pg/L)",""
"bdnf_pg_ml","Float","","Recommended","Brain-derived neurotrophic factor (BDNF) ","","(pg/mL)",""
"epin","Float","","Recommended","Epinephrine","","(pg/mL)",""
"norep","Float","","Recommended","Norepinephrine","","(pg/mL)",""
"crprotein","Float","","Recommended","C-reactive protein (CRP)","","(mg/dL)",""
"tnf_r1","Float","","Recommended","TNF receptor I (STNFRI)","","",""
"tnf_r2","Float","","Recommended","TNF receptor II (STNFRI)","","",""
"il_6r","Float","","Recommended","Soluble IL-6 receptor (IL-6R)","","",""
"il_1ra","Float","","Recommended","IL-1 receptor antagonist (IL-1RA)","","",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"lactate","Float","","Recommended","Lactate/lactic acid","","mmol/L",""
"acth_pgml","Float","","Recommended","Adrenocorticotropic hormone (ACTH)","","In pg/mL",""
