"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"leadership_q1","Integer","","Recommended","Q1 My principal: lets group members know what is expected of them.","1::5; 888; 999","1 = never; 2 = seldom; 3 = occasionally; 4 = often; 5 = always; 888 = not applicable; 999 = missing",""
"leadership_q2","Float","","Recommended","Q2 My principal: is friendly and approachable","1::5; 888; 999","1 = never; 2 = seldom; 3 = occasionally; 4 = often; 5 = always; 888 = not applicable; 999 = missing",""
"leadership_q3","Integer","","Recommended","Q3 My principal: encourages the use of uniform policies","1::5; 888; 999","1 = never; 2 = seldom; 3 = occasionally; 4 = often; 5 = always; 888 = not applicable; 999 = missing",""
"leadership_q4","Integer","","Recommended","Q4 My principal: does little things to make it pleasant to be a member of the group","1::5; 888; 999","1 = never; 2 = seldom; 3 = occasionally; 4 = often; 5 = always; 888 = not applicable; 999 = missing",""
"leadership_q5","Integer","","Recommended","Q5 My principal: tries out his/her ideas in the group","1::5; 888; 999","1 = never; 2 = seldom; 3 = occasionally; 4 = often; 5 = always; 888 = not applicable; 999 = missing",""
"leadership_q6","Float","","Recommended","Q6 My principal: puts suggestions made by the group into operation","1::5; 888; 999","1 = never; 2 = seldom; 3 = occasionally; 4 = often; 5 = always; 888 = not applicable; 999 = missing",""
"leadership_q7","Integer","","Recommended","Q7 My principal: makes his/her attitudes clear to the group","1::5; 888; 999","1 = never; 2 = seldom; 3 = occasionally; 4 = often; 5 = always; 888 = not applicable; 999 = missing",""
"leadership_q8","Integer","","Recommended","Q8 My principal: treats all group members as his/her equal","1::5; 888; 999","1 = never; 2 = seldom; 3 = occasionally; 4 = often; 5 = always; 888 = not applicable; 999 = missing",""
"leadership_q9","Integer","","Recommended","Q9 My principal: decides what shall be done and how it shall be done","1::5; 888; 999","1 = never; 2 = seldom; 3 = occasionally; 4 = often; 5 = always; 888 = not applicable; 999 = missing",""
"leadership_q10","Integer","","Recommended","Q10 My principal: gives advance notice of changes","1::5; 888; 999","1 = never; 2 = seldom; 3 = occasionally; 4 = often; 5 = always; 888 = not applicable; 999 = missing",""
"leadership_q11","Integer","","Recommended","Q11 My principal: assigns group members to particular tasks","1::5; 888; 999","1 = never; 2 = seldom; 3 = occasionally; 4 = often; 5 = always; 888 = not applicable; 999 = missing",""
"leadership_q12","Integer","","Recommended","Q12 My principal: keeps to him/herself","1::5; 888; 999","1 = never; 2 = seldom; 3 = occasionally; 4 = often; 5 = always; 888 = not applicable; 999 = missing",""
"leadership_q13","Integer","","Recommended","Q13 My principal: makes sure that his/her part in the group is understood by the group members","1::5; 888; 999","1 = never; 2 = seldom; 3 = occasionally; 4 = often; 5 = always; 888 = not applicable; 999 = missing",""
"leadership_q14","Integer","","Recommended","Q14 My principal: looks out for the personal welfare of group members","1::5; 888; 999","1 = never; 2 = seldom; 3 = occasionally; 4 = often; 5 = always; 888 = not applicable; 999 = missing",""
"leadership_q15","Integer","","Recommended","Q15 My principal: schedules the work to be done","1::5; 888; 999","1 = never; 2 = seldom; 3 = occasionally; 4 = often; 5 = always; 888 = not applicable; 999 = missing",""
"leadership_q16","Integer","","Recommended","Q16 My principal: is willing to make changes","1::5; 888; 999","1 = never; 2 = seldom; 3 = occasionally; 4 = often; 5 = always; 888 = not applicable; 999 = missing",""
"leadership_q17","Integer","","Recommended","Q17 My principal: maintains definite standards of performance","1::5; 888; 999","1 = never; 2 = seldom; 3 = occasionally; 4 = often; 5 = always; 888 = not applicable; 999 = missing",""
"leadership_q18","Integer","","Recommended","Q18 My principal: refuses to explain his/her actions","1::5; 888; 999","1 = never; 2 = seldom; 3 = occasionally; 4 = often; 5 = always; 888 = not applicable; 999 = missing",""
"leadership_q19","Integer","","Recommended","Q19 My principal: asks that group members follow standard rules and regulations","1::5; 888; 999","1 = never; 2 = seldom; 3 = occasionally; 4 = often; 5 = always; 888 = not applicable; 999 = missing",""
"leadership_q20","Integer","","Recommended","Q20 My principal: acts without consulting the group","1::5; 888; 999","1 = never; 2 = seldom; 3 = occasionally; 4 = often; 5 = always; 888 = not applicable; 999 = missing",""
"leadership_total","Integer","","Required","Leadership Questionnaire total","","888 = not applicable; 999 = missing",""
