"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"littlesix_q1","Integer","","Recommended","Is physically active. Enjoys playing sports, running, and exercise.","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q2","Integer","","Recommended","Is energetic and full of life.","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q3","Integer","","Recommended","Likes to compete; is always testing and comparing themself to other people.","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q4","Integer","","Recommended","Is well-coordinated. (For example, does well in sports.)","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q5","Integer","","Recommended","Is fast-paced; moves and reacts to things quickly.","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q6","Integer","","Recommended","Is curious and exploring; likes to learn and experience new things.","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q7","Integer","","Recommended","Is a very smart person (even though formal tests and evaluations might not show this).","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q8","Integer","","Recommended","Daydreams; often gets lost in thought or a fantasy world.","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q9","Integer","","Recommended","Usually gets wrapped up in what they are doing.","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q10","Integer","","Recommended","Is creative in the way they look at things; the way they think, work, or play is very creative.","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q11","Integer","","Recommended","Likes to dream up fantasies; has a good imagination.","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q12","Integer","","Recommended","Likes to keep their thoughts and feelings to themself.","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q13","Integer","","Recommended","Holds things in. Has a hard time expressing themself; is a bit uptight.","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q14","Integer","","Recommended","Openly shows the way they feel, whether it's good or bad.","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q15","Integer","","Recommended","Shows their thoughts and feelings, but doesn't talk much about them.","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q16","Integer","","Recommended","Is a talkative person; talks a lot","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q17","Integer","","Recommended","Is open and straightforward","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q18","Integer","","Recommended","Plans ahead; thinks before doing something. ''Looks before they leap.''","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q19","Integer","","Recommended","Thinks about their actions before doing or saying something","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q20","Integer","","Recommended","Pays attention well and can concentrate on things","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q21","Integer","","Recommended","Thinks things out and reasons like a very mature person","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q22","Integer","","Recommended","Has high standards for themself. Needs to do very well at things.","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q23","Integer","","Recommended","Is neat and orderly in the way he/she dresses and acts","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q24","Integer","","Recommended","Worries about things for a long time","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q25","Integer","","Recommended","Is nervous and fearful","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q26","Integer","","Recommended","Needs to have people encourage them. Is not very sure of themself","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q27","Integer","","Recommended","Is self-confident and sure of themself; makes up their own mind.","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q28","Integer","","Recommended","Gets nervous if they're not sure what's going to happen or what to do.","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q29","Integer","","Recommended","Has their feelings hurt easily if they are made fun of or criticized","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q30","Integer","","Recommended","Is a warm person and responds with kindness to other people","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q31","Integer","","Recommended","Is considerate and thoughtful of other people","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q32","Integer","","Recommended","Is aggressive (for example, picks fights or starts arguments).","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q33","Integer","","Recommended","Is helpful and cooperates with other people","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q34","Integer","","Recommended","Gets along well with other people","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q35","Integer","","Recommended","Is bossy and likes to dominate other people.","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
"littlesix_q36","Integer","","Recommended","Gives, lends, and shares things","0::4","0=Disagree strongly; 1=Disagree a little; 2=Neither agree nor disagree; 3 = Agree a little; 4 = Agree Strongly",""
