"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"lscr1","Integer","","Recommended","Have you ever been in a serious disaster (for example, an earthquake, hurricane, large fire, explosion)?","0; 1","0=No; 1=Yes","btq_3"
"lscr1a","String","20","Recommended","Have you ever been in a serious disaster (for example, an earthquake, hurricane, large fire, explosion)? How old were you when this happened? __________","","",""
"lscr1b","Integer","","Recommended","Have you ever been in a serious disaster (for example, an earthquake, hurricane, large fire, explosion)? At the time of the event did you believe that you or someone else could be killed or seriously harmed?","0; 1","0=No; 1=Yes","btq_3a"
"lscr1d","Integer","","Recommended","Have you ever been in a serious disaster (for example, an earthquake, hurricane, large fire, explosion)? At the time of the event did you experience feelings of intense helplessness, fear, or horror?","0; 1","0=No; 1=Yes",""
"lscr1e","Integer","","Recommended","Have you ever been in a serious disaster (for example, an earthquake, hurricane, large fire, explosion)? How much has this affected your life in the past year?","1::5","1=not at all; 3=some; 5=extremely",""
"lscr2","Integer","","Recommended","Have you ever seen a serious accident (for example, a bad car wreck or an on-the-job accident)?","0; 1","0=No; 1=Yes",""
"lscr2a","String","20","Recommended","Have you ever seen a serious accident (for example, a bad car wreck or an on-the-job accident)? How old were you when this happened? __________","","",""
"lscr2b","Integer","","Recommended","Have you ever seen a serious accident (for example, a bad car wreck or an on-the-job accident)? At the time of the event did you believe that you or someone else could be killed or seriously harmed?","0; 1","0=No; 1=Yes",""
"lscr2d","Integer","","Recommended","Have you ever seen a serious accident (for example, a bad car wreck or an on-the-job accident)? At the time of the event did you experience feelings of intense helplessness, fear, or horror?","0; 1","0=No; 1=Yes",""
"lscr2e","Integer","","Recommended","Have you ever seen a serious accident (for example, a bad car wreck or an on-the-job accident)? How much has this affected your life in the past year?","1::5","1=not at all; 3=some; 5=extremely",""
"lscr3","Integer","","Recommended","Have you ever had a very serious accident or accident-related injury (for example, a bad car wreck or an on-the-job accident)?","0; 1","0=No; 1=Yes","btq_2"
"lscr3a","String","20","Recommended","Have you ever had a very serious accident or accident-related injury (for example, a bad car wreck or an on-the-job accident)? How old were you when this happened? __________","","",""
"lscr3b","Integer","","Recommended","Have you ever had a very serious accident or accident-related injury (for example, a bad car wreck or an on-the-job accident)? At the time of the event did you believe that you or someone else could be killed or seriously harmed?","0; 1","0=No; 1=Yes","btq_2a"
"lscr3d","Integer","","Recommended","Have you ever had a very serious accident or accident-related injury (for example, a bad car wreck or an on-the-job accident)? At the time of the event did you experience feelings of intense helplessness, fear, or horror?","0; 1","0=No; 1=Yes",""
"lscr3e","Integer","","Recommended","Have you ever had a very serious accident or accident-related injury (for example, a bad car wreck or an on-the-job accident)? How much has this affected your life in the past year?","1::5","1=not at all; 3=some; 5=extremely",""
"lscr4","Integer","","Recommended","Was a close family member ever sent to jail?","0; 1","0=No; 1=Yes",""
"lscr4a","String","20","Recommended","Was a close family member ever sent to jail? How old were you when this happened? __________","","",""
"lscr4b","String","20","Recommended","Was a close family member ever sent to jail? How old were you when this ended? __________","","",""
"lscr4c","Integer","","Recommended","Was a close family member ever sent to jail? At the time of the event did you believe that you or someone else could be killed or seriously harmed?","0; 1","0=No; 1=Yes",""
"lscr4d","Integer","","Recommended","Was a close family member ever sent to jail? At the time of the event did you experience feelings of intense helplessness, fear, or horror?","0; 1","0=No; 1=Yes",""
"lscr4e","Integer","","Recommended","Was a close family member ever sent to jail? How much has this affected your life in the past year?","1::5","1=not at all; 3=some; 5=extremely",""
"lscr5","Integer","","Recommended","Have you ever been sent to jail?","0; 1","0=No; 1=Yes",""
"lscr5a","String","20","Recommended","Have you ever been sent to jail? How old were you when this happened? __________","","",""
"lscr5b","String","20","Recommended","Have you ever been sent to jail? How old were you when this ended? __________","","",""
"lscr5c","Integer","","Recommended","Have you ever been sent to jail? At the time of the event did you believe that you or someone else could be killed or seriously harmed?","0; 1","0=No; 1=Yes",""
"lscr5d","Integer","","Recommended","Have you ever been sent to jail? At the time of the event did you experience feelings of intense helplessness, fear, or horror?","0; 1","0=No; 1=Yes",""
"lscr5e","Integer","","Recommended","Have you ever been sent to jail? How much has this affected your life in the past year?","1::5","1=not at all; 3=some; 5=extremely",""
"lscr6","Integer","","Recommended","Were you ever put in foster care or put up for adoption?","0; 1","0=No; 1=Yes",""
"lscr6a","String","20","Recommended","Were you ever put in foster care or put up for adoption? How old were you when this happened? __________","","",""
"lscr6b","String","20","Recommended","Were you ever put in foster care or put up for adoption? How old were you when this ended? __________","","",""
"lscr6c","Integer","","Recommended","Were you ever put in foster care or put up for adoption? At the time of the event did you believe that you or someone else could be killed or seriously harmed?","0; 1","0=No; 1=Yes",""
"lscr6d","Integer","","Recommended","Were you ever put in foster care or put up for adoption? At the time of the event did you experience feelings of intense helplessness, fear, or horror?","0; 1","0=No; 1=Yes",""
"lscr6e","Integer","","Recommended","Were you ever put in foster care or put up for adoption? How much has this affected your life in the past year?","1::5","1=not at all; 3=some; 5=extremely",""
"lscr7","Integer","","Recommended","Did your parents ever separate or divorce while you were living with them?","0; 1","0=No; 1=Yes",""
"lscr7a","String","20","Recommended","Did your parents ever separate or divorce while you were living with them? How old were you when this happened? __________","","",""
"lscr7b","String","20","Recommended","Did your parents ever separate or divorce while you were living with them? How old were you when this ended? __________","","",""
"lscr7c","Integer","","Recommended","Did your parents ever separate or divorce while you were living with them? At the time of the event did you believe that you or someone else could be killed or seriously harmed?","0; 1","0=No; 1=Yes",""
"lscr7d","Integer","","Recommended","Did your parents ever separate or divorce while you were living with them? At the time of the event did you experience feelings of intense helplessness, fear, or horror?","0; 1","0=No; 1=Yes",""
"lscr7e","Integer","","Recommended","Did your parents ever separate or divorce while you were living with them? How much has this affected your life in the past year?","1::5","1=not at all; 3=some; 5=extremely",""
"lscr8","Integer","","Recommended","Have you ever been separated or divorced?","0; 1","0=No; 1=Yes",""
"lscr8a","String","20","Recommended","Have you ever been separated or divorced? How old were you when this happened? __________","","",""
"lscr8b","String","20","Recommended","Have you ever been separated or divorced? How old were you when this ended? __________","","",""
"lscr8c","Integer","","Recommended","Have you ever been separated or divorced? At the time of the event did you believe that you or someone else could be killed or seriously harmed?","0; 1","0=No; 1=Yes",""
"lscr8d","Integer","","Recommended","Have you ever been separated or divorced? At the time of the event did you experience feelings of intense helplessness, fear, or horror?","0; 1","0=No; 1=Yes",""
"lscr8e","Integer","","Recommended","Have you ever been separated or divorced? How much has this affected your life in the past year?","1::5","1=not at all; 3=some; 5=extremely",""
"lscr9","Integer","","Recommended","Have you ever had serious money problems (for example, not enough money for food or place to live)?","0; 1","0=No; 1=Yes",""
"lscr9a","String","20","Recommended","Have you ever had serious money problems (for example, not enough money for food or place to live)? How old were you when this happened? __________","","",""
"lscr9b","String","20","Recommended","Have you ever had serious money problems (for example, not enough money for food or place to live)? How old were you when this ended? __________","","",""
"lscr9c","Integer","","Recommended","Have you ever had serious money problems (for example, not enough money for food or place to live)? At the time of the event did you believe that you or someone else could be killed or seriously harmed?","0; 1","0=No; 1=Yes",""
"lscr9d","Integer","","Recommended","Have you ever had serious money problems (for example, not enough money for food or place to live)? At the time of the event did you experience feelings of intense helplessness, fear, or horror?","0; 1","0=No; 1=Yes",""
"lscr9e","Integer","","Recommended","Have you ever had serious money problems (for example, not enough money for food or place to live)? How much has this affected your life in the past year?","1::5","1=not at all; 3=some; 5=extremely",""
"lscr10","Integer","","Recommended","Have you ever had a very serious physical or mental illness (for example, cancer, heart attack, serious operation, felt like killing yourself, hospitalized because of nerve problems)?","0; 1","0=No; 1=Yes","btq_4"
"lscr10a","String","20","Recommended","Have you ever had a very serious physical or mental illness (for example, cancer, heart attack, serious operation, felt like killing yourself, hospitalized because of nerve problems)? How old were you when this happened? __________","","",""
"lscr10b","String","20","Recommended","Have you ever had a very serious physical or mental illness (for example, cancer, heart attack, serious operation, felt like killing yourself, hospitalized because of nerve problems)? How old were you when this ended? __________","","",""
"lscr10c","Integer","","Recommended","Have you ever had a very serious physical or mental illness (for example, cancer, heart attack, serious operation, felt like killing yourself, hospitalized because of nerve problems)? At the time of the event did you believe that you or someone else could be killed or seriously harmed?","0; 1","0=No; 1=Yes","btq_4a"
"lscr10d","Integer","","Recommended","Have you ever had a very serious physical or mental illness (for example, cancer, heart attack, serious operation, felt like killing yourself, hospitalized because of nerve problems)? At the time of the event did you experience feelings of intense helplessness, fear, or horror?","0; 1","0=No; 1=Yes",""
"lscr10e","Integer","","Recommended","Have you ever had a very serious physical or mental illness (for example, cancer, heart attack, serious operation, felt like killing yourself, hospitalized because of nerve problems)? How much has this affected your life in the past year?","1::5","1=not at all; 3=some; 5=extremely",""
"lscr11","Integer","","Recommended","Have you ever been emotionally abused or neglected (for example, being frequently shamed, embarrassed, ignored, or repeatedly told that you were no good)?","0; 1","0=No; 1=Yes",""
"lscr11a","String","20","Recommended","Have you ever been emotionally abused or neglected (for example, being frequently shamed, embarrassed, ignored, or repeatedly told that you were no good)? How old were you when this happened? __________","","",""
"lscr11b","String","20","Recommended","Have you ever been emotionally abused or neglected (for example, being frequently shamed, embarrassed, ignored, or repeatedly told that you were no good)? How old were you when this ended? __________","","",""
"lscr11c","Integer","","Recommended","Have you ever been emotionally abused or neglected (for example, being frequently shamed, embarrassed, ignored, or repeatedly told that you were no good)? At the time of the event did you believe that you or someone else could be killed or seriously harmed?","0; 1","0=No; 1=Yes",""
"lscr11d","Integer","","Recommended","Have you ever been emotionally abused or neglected (for example, being frequently shamed, embarrassed, ignored, or repeatedly told that you were no good)? At the time of the event did you experience feelings of intense helplessness, fear, or horror?","0; 1","0=No; 1=Yes",""
"lscr11e","Integer","","Recommended","Have you ever been emotionally abused or neglected (for example, being frequently shamed, embarrassed, ignored, or repeatedly told that you were no good)? How much has this affected your life in the past year?","1::5","1=not at all; 3=some; 5=extremely",""
"lscr12","Integer","","Recommended","Have you ever been physically neglected (for example, not fed, not properly clothed, or left to take care of yourself when you were too young or ill)?","0; 1","0=No; 1=Yes",""
"lscr12a","String","20","Recommended","Have you ever been physically neglected (for example, not fed, not properly clothed, or left to take care of yourself when you were too young or ill)? How old were you when this happened? __________","","",""
"lscr12b","String","20","Recommended","Have you ever been physically neglected (for example, not fed, not properly clothed, or left to take care of yourself when you were too young or ill)? How old were you when this ended? __________","","",""
"lscr12c","Integer","","Recommended","Have you ever been physically neglected (for example, not fed, not properly clothed, or left to take care of yourself when you were too young or ill)? At the time of the event did you believe that you or someone else could be killed or seriously harmed?","0; 1","0=No; 1=Yes",""
"lscr12d","Integer","","Recommended","Have you ever been physically neglected (for example, not fed, not properly clothed, or left to take care of yourself when you were too young or ill)? At the time of the event did you experience feelings of intense helplessness, fear, or horror?","0; 1","0=No; 1=Yes",""
