"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2",""
"group_tr","Integer","","Recommended","treatment or control group","1::3","1=neurocognitive rehab; 2=Control therapy; 3=control no treatment group",""
"slfcar","Integer","","Recommended","""Life skills self-care score: sum of scores for items 10,12, 13, 14, 15, 16, 23, 24, 26, 30""","","",""
"nontur","Integer","","Recommended","""life skills assassment non-turbulence score. sum of Q's 5,6,25,27,28,29,32,34,35,36,37&38.""","","",""
"soccon","Integer","","Recommended","""life skills assessment social contact scrore. sum of Q's 3,4,20,21,22&39.""","","",""
"commu","Integer","","Recommended","""life skills assessment communication score. sum of Q's 1,2,7,8,9&11.""","","",""
"respon","Integer","","Recommended","""life skills assessment responsibility score. sum of scores for Q's 17,18,19,31&33.""","","",""
"totallife","Integer","","Recommended","life skills assessment total score.","","",""
"lsp_1","Integer","","Recommended","Does this person generally have any difficulty with initiating and responding to conversation","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_2","Integer","","Recommended","Does this person generally intrude or burst in on others conversation (e.g. interrupts you when you are talking)?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_3","Integer","","Recommended","Does this person generally withdraw from social contact","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_4","Integer","","Recommended","Does this person generally show warmth to others?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_5","Integer","","Recommended","Is this person generally angry or prickly towards others?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_6","Integer","","Recommended","Does this person generally take offence readily","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_7","Integer","","Recommended","Does this person generally make eye contact with others when in conversation?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_8","Integer","","Recommended","""Is it generally difficult to understand this person because of the way he or she speaks (e.g. jumbled, garbled or disordered)?""","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_9","Integer","","Recommended","Does this person generally talk about odd or strange ideas?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_10","Integer","","Recommended","""Is this person generally well groomed (e.g., neatly dressed, hair combed)?""","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_11","Integer","","Recommended","""Is this persons appearance (facial appearance, gestures) generally appropriate to his or her surroundings?""","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_12","Integer","","Recommended","Does this person wash himself or herself without reminding?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_13","Integer","","Recommended","""Does this person generally have an offensive smell (e.g. due to body, breath or clothes)?""","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_14","Integer","","Recommended","""Does this person wear clean clothes generally, or ensure they are cleaned if dirty?""","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_15","Integer","","Recommended","Does this person generally neglect his or her physical health?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_16","Integer","","Recommended","Does this person generally maintain an adequate diet?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_17","Integer","","Recommended","Does this person generally look after and take her or his own prescribed medication (or attend for prescribed injections on time) without reminding?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_18","Integer","","Recommended","Is this person willing to take psychiatric medication when prescribed by a doctor?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_19","Integer","","Recommended","Does this person co-operate with health services (e.g. doctors and/or other health workers)?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_20","Integer","","Recommended","Is this person generally inactive (e.g. spends most of the time sitting or standing around doing nothing)?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_21","Integer","","Recommended","""Does this person generally have definite interests (e.g. hobbies, sports, activities) in which he or she is involved regularly?""","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_22","Integer","","Recommended","""Does this person attend any social organisation (e.g. church, club or interest group but excluding psychiatric therapy groups)?""","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_23","Integer","","Recommended","Can this person generally prepare (if needed) her or his own food/meals?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_24","Integer","","Recommended","Can this person generally budget (if needed) to live within his or her means?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_25","Integer","","Recommended","""Does this person generally have problems (e.g. friction, avoidance) living with others in the household?""","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_26","Integer","","Recommended","""What sort of work is this person generally capable of (even if unemployed, retired or doing unpaid domestic duties)?""","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_27","Integer","","Recommended","Does this person behave recklessly (e.g. ignoring traffic when crossing the road)?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_28","Integer","","Recommended","Does this person destroy property?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_29","Integer","","Recommended","Does this person behave offensively (includes sexual behaviour)?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_30","Integer","","Recommended","""Does this person have habits or behaviours that most people find unsociable (e.g. spitting, leaving lighted cigarette butts around, messing up the toilet, messy eating)?""","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_31","Integer","","Recommended","Does this person lose personal property?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_32","Integer","","Recommended","""Does this person invade others space (rooms, personal belongings)?""","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_33","Integer","","Recommended","Does this person take things which are not his or hers?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_34","Integer","","Recommended","Is this person violent to others?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_35","Integer","","Recommended","Is this person violent to him or her self?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_36","Integer","","Recommended","Does this person get into trouble with the police?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_37","Integer","","Recommended","Does this person abuse alcohol or drugs?","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_38","Integer","","Recommended","Does this person behave irresponsibly","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
"lsp_39","Integer","","Recommended","Does this person generally make and/or keep up friendships","1::4","1=Never; 2=Rarely; 3=Usually; 4=Always",""
