"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"lsrp_01","Integer","","Recommended","Success is based on survival of the fittest; I am not concerned about the losers","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_02","Integer","","Recommended","For me, what's right is whatever I can get away with","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_03","Integer","","Recommended","In today's world, I feel justified in doing anything I can get away with to succeed","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_04","Integer","","Recommended","My main purpose in life is getting as many goodies as I can","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_05","Integer","","Recommended","Making a lot of money is my most important goal","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_06","Integer","","Recommended","I let others worry about higher values; my main concern is with the bottom line","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_07","Integer","","Recommended","People who are stupid enough to get ripped off usually deserve it","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_08","Integer","","Recommended","Looking out for myself is my top priority","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_09","Integer","","Recommended","I tell other people what they want to hear so that they will do what I want them to do","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_10","Integer","","Recommended","I would be upset if my success came at someone else's expense","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_11","Integer","","Recommended","I often admire a really clever scam","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_12","Integer","","Recommended","I make a point of trying not to hurt others in pursuit of my goals","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_13","Integer","","Recommended","I enjoy manipulating other people's feelings","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_14","Integer","","Recommended","I feel bad if my words or actions cause someone else to feel emotional pain","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_15","Integer","","Recommended","Even if I were trying very hard to sell something, I wouldn't lie about it","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_16","Integer","","Recommended","Cheating is not justified because it is unfair to others","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_17","Integer","","Recommended","I find myself in the same kinds of trouble, time after time","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_18","Integer","","Recommended","I am often bored","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_19","Integer","","Recommended","I find that I am able to pursue one goal for a long time","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_20","Integer","","Recommended","I don't plan anything very far in advance","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_21","Integer","","Recommended","I quickly lose interest in tasks I start","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_22","Integer","","Recommended","Most of my problems are due to the fact that other people just don't understand me","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_23","Integer","","Recommended","Before I do anything, I carefully consider the possible consequences","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_24","Integer","","Recommended","I have been in a lot of shouting matches with other people","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_25","Integer","","Recommended","When I get frustrated, I often 'let off steam' by blowing my top","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
"lsrp_26","Integer","","Recommended","Love is overrated","0::3","0=Disagree Strongly; 1=Disagree Somewhat; 2=Agree Somewhat; 3=Agree Strongly",""
