"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"lyssn_empathy","Float","","Recommended","Lyssn score of session empathy","0::5","Higher scores indicate greater levels of empathy during the session",""
"lyssn_collaboration","Float","","Recommended","Lyssn score of session collaboration","0::5","Higher scores indicate greater levels of collaboration during the session",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"reflection_question_lyssn","Float","","Recommended","What do you believe was your ratio of reflections to questions?","0::100","",""
"mi_proficiency_lyssn","Integer","","Recommended","What do you believe was your level of MI proficiency?","0::10","",""
"pacing_timing_lyssn","Float","","Recommended","How well do you think you stayed focused on session-relevant topics?","0::10","",""
"homework_lyssn","Float","","Recommended","How thoroughly were able to assign this week's homework and review the previous homework assignments?","0::10","",""
"talk_time_lyssn","Float","","Recommended","For what percentage of the session do you believe you were the one speaking?","0::100","",""
"empathy_lyssn","Float","","Recommended","How would you rate the quality of your empathy with this family?","0::5","0= Low; 5= High",""
"collaboration_lyssn","Float","","Recommended","How would you rate the quality of your collaboration with this family?","0::5","0= Low; 5= High",""
"mi_adherent_lyssn","Float","","Recommended","What percentage of your statements to the client do you believe were consistent with a Motivational Interviewing (MI) approach?","0::100","",""
"mi_nonadherent_lyssn","Float","","Recommended","What percentage of your statements to the client do you believe were inconsistent with a Motivational Interviewing (MI) approach?","0::100","",""
"open_questions_lyssn","Float","","Recommended","What percentage of the questions you asked were open-ended (versus close ended)?","0::100","",""
"complex_reflection_lyssn","Float","","Recommended","What percentage of your reflections you said were complex (versus simple)?","0::100","",""
