"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"respond","Integer","","Recommended","Respondent","1::7;999","1 = Parent; 2 = Teacher; 3=Self; 4= Other; 5= Significant other; 6 = Parent 1; 7 = Parent 2; 999 = Not available",""
"respond_detail_oth_spec","String","255","Recommended","Respondent details","","",""
"mcsf_6_1","Integer","","Recommended","dinosaur","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcs_vc2_15donkey","Integer","","Recommended","Animals (Real or Toy). donkey","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","mcsf_6_2"
"mcsf_6_3","Integer","","Recommended","reindeer","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcsf_6_4","Integer","","Recommended","castle","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcsf_6_5","Integer","","Recommended","drum","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcsf_6_6","Integer","","Recommended","football","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcsf_6_7","Integer","","Recommended","microscope","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcs_vc3_13tricycle","Integer","","Recommended","Vehicles (Real or Toy). tricycle","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","mcsf_6_8"
"mcsf_6_9","Integer","","Recommended","kite","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcsf_6_10","Integer","","Recommended","wagon","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcsf_6_11","Integer","","Recommended","lemon","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcsf_6_12","Integer","","Recommended","peanut","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcs_vc5_19cracker","Integer","","Recommended","Food and Drink. cracker","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","mcsf_6_13"
"mcs_vc5_56salt","Integer","","Recommended","Food and Drink. salt","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","mcsf_6_14"
"mcs_vc5_58sauce","Integer","","Recommended","Food and Drink. sauce","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","mcsf_6_15"
"mcs_vc5_65vanilla","Integer","","Recommended","Food and Drink. vanilla","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","mcsf_6_16"
"mcsf_6_17","Integer","","Recommended","vegetable","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcs_vc6_1beads","Integer","","Recommended","Clothinq. beads","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","mcsf_6_18"
"mcs_vc6_12jeans","Integer","","Recommended","Clothinq. jeans","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","mcsf_6_19"
"mcsf_6_20","Integer","","Recommended","elbow","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcsf_6_21","Integer","","Recommended","(finger)nail","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcsf_6_22","Integer","","Recommended","thumb","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcsf_6_23","Integer","","Recommended","bandaid/bandage","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcsf_6_24","Integer","","Recommended","blade","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcsf_6_25","Integer","","Recommended","computer","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcsf_6_26","Integer","","Recommended","glass","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcs_vc8_20jar","Integer","","Recommended","Small Household Items. jar","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","mcsf_6_27"
"mcs_vc10_8ladder","Integer","","Recommended","Outside Thlnqs. ladder","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","mcsf_6_28"
"mcsf_6_29","Integer","","Recommended","material","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcsf_6_30","Integer","","Recommended","stamp","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcsf_6_31","Integer","","Recommended","tire","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcsf_6_32","Integer","","Recommended","furniture","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcs_vc9_16kitchen","Integer","","Recommended","Furniture and Rooms. kitchen","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","mcsf_6_33"
"mcsf_6_34","Integer","","Recommended","sofa/couch","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcs_vc10_2cloud","Integer","","Recommended","Outside Thlnqs. cloud","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","mcsf_6_35"
"mcsf_6_36","Integer","","Recommended","fence","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcs_vc10_7hose","Integer","","Recommended","Outside Thlnqs. hose","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","mcsf_6_37"
"mcs_vc10_17sidewalk","Integer","","Recommended","Outside Thlnqs. sidewalk","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","mcsf_6_38"
"mcs_vc11_22zoo","Integer","","Recommended","Places to Go. zoo","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","mcsf_6_39"
"mcsf_6_40","Integer","","Recommended","child","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcs_vc12_9cowboy","Integer","","Recommended","People. cowboy","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","mcsf_6_41"
"mcsf_6_42","Integer","","Recommended","family","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
"mcsf_6_43","Integer","","Recommended","farmer","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says",""
