"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2",""
"madrs_s_01","Float","","Recommended","Mood - Here you should try to indicate your mood, whether you have felt sad or gloomy.","0::3","0 = I can be either cheerful or sad, depending on the circumstances; 0.5 = 0.5; 1 = I feel a bit low for the most part, though sometimes it eases up a little; 1.5 = 1.5; 2 = I feel thoroughly low and gloomy. Even things that normally cheer me up give me no pleasure; 2.5 = 2.5; 3 = I feel so utterly low and miserable, that I can imagine nothing worse","madrs_s_mood"
"madrs_s_02","Float","","Recommended","Feelings of Unease - Here you should indicate to what extent you have had feelings of inner tension, uneasiness, anxiety, or vague fear, during the past week.","0::3","0 = I feel calm for the most part; 0.5 = 0.5; 1 = I sometimes have unpleasant feelings of unease; 1.5 = 1.5; 2 = I am constantly plagued by feelings of uneasiness that can be very strong, and which I must make an effort to overcome; 2.5 = 2.5; 3 = I have dreadful, persistent or unbearable feelings of anxiety","madrs_s_unease"
"madrs_s_03","Float","","Recommended","Sleep - Here you should indicate how well you sleep - how long you sleep, and how good your sleep has been for the past three nights.","0::3","0 = I have no sleeping problems, and get as much sleep as I need. I have no difficulty falling asleep; 0.5 = 0.5; 1 = I have some sleeping problems. Sometimes it is hard to get off to sleep, or I sleep more lightly or restlessly than usual; 1.5 = 1.5; 2 = I sleep at least 2 hours a night less than usual. I wake often during the night, even if nothing has disturbed me; 2.5 = 2.5; 3 = I sleep very poorly, no more than 2-3 hours per night","madrs_s_sleep"
"madrs_s_04","Float","","Recommended","Appetite - Here you should indicate how your appetite has been, and try to recall whether it has differed in any way from normal.","0::3","0 = My appetite has been the same as usual; 0.5 = 0.5; 1 = My appetite has been poorer than usual; 1.5 = 1.5; 2 = I have had almost no appetite at all. Food seems tasteless and I have to make myself eat; 2.5 = 2.5; 3 = I haven't felt like eating at all. I need persuading if I am to get anything down","madrs_s_appetite"
"madrs_s_05","Float","","Recommended","Concentration - Here you should try to indicate your ability to collect your thoughts, to concentrate on what you are doing.","0::3","0 = I have no difficulty in concentrating; 0.5 = 0.5; 1 = Occasionally I find it hard to concentrate on things that I would usually find interesting (e.g., reading, or watching TV); 1.5 = 1.5; 2 = I find it particularly hard to concentrate on things that usually require no effort (e.g., reading, or talking with other people); 2.5 = 2.5; 3 = I am quite unable to concentrate on anything at all","madrs_s_concentration"
"madrs_s_06","Float","","Recommended","Initiative - Here you should try to assess your ability to get things done.","0::3","0 = I have no difficulties starting new tasks; 0.5 = 0.5; 1 = When I have to get on with something, I find it more difficult than usual; 1.5 = 1.5; 2 = It requires great effort for me to get started on simple tasks that I normally perform more or less without thinking; 2.5 = 2.5; 3 = I cannot get stated with the simplest everyday tasks","madrs_s_initiative"
"madrs_s_07","Float","","Recommended","Emotional Involvement - Here you should assess your interest in your surroundings, in other people, and in activities that normally give you pleasure.","0::3","0 = I am interested and involved in my surroundings, and this gives me pleasure; 0.5 = 0.5; 1 = I feel less strongly about things that normally arouse my interest. It is harder than usual to be cheerful, or to be angry when there is cause; 1.5 = 1.5; 2 = I feel no interest in my surroundings, not even for friends and acquaintances; 2.5 = 2.5; 3 = I no longer have any feelings. I feel painfully indifferent, even toward those closest to me","madrs_s_emotional_involvement"
"madrs_s_08","Float","","Recommended","Pessimism - Here you should consider how you view your future, and how you feel about yourself.","0::3","0 = I view the future with confidence. On the whole I am quite satisfied with life; 0.5 = 0.5; 1 = Sometimes I am self-critical and think I am less worthy than others; 1.5 = 1.5; 2 = I brood over my failures and feel inferior or worthless, even if others may not agree; 2.5 = 2.5; 3 = Everything seems black to me, and I can see no glimmering of hope. I feel I am thoroughly useless, and that there is no chance of forgiveness for the awful things I have done","madrs_s_pessimism"
"madrs_s_09","Float","","Recommended","Zest For Life - This item concerns your appetite for life, and whether you have felt listless and weary of life.","0::3","0 = My appetite for life is normal; 0.5 = 0.5; 1 = Life doesn't seem particularly meaningful, though I don't wish I were dead; 1.5 = 1.5; 2 =  I often think it would be better to be dead, and though I don't really want to commit suicide it does seem a possible solution; 2.5 = 2.5; 3 = I am quite convinced that my only solution is to die, and I give a lot of thought to the best way to take my own life","madrs_s_zest_for_life"
"madrs_s_total","Float","","Recommended","Total score for Montgomery-Asberg Depression Rating Scale-Self Report (MADRS-SR)","0::27","",""
