"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"mawq_q1","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? Headaches","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q2","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? Constipation","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q3","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? Diarrhea","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q4","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? Irregular or pounding heartbeat","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q5","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? Muscle or Joint Pain","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q6","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? Red eyes","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q7","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? Sweaty or clammy (generally)","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q8","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? Angry","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q9","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? Anxious/Nervous","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q10","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? Craving","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q11","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? Depression","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q12","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? Irritable","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q13","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? No motivation","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q14","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? Loss of interest or pleasure","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q15","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? Restlessness","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q16","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? Suicidal thoughts","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q17","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? Increased appetite","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q18","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? Decreased appetite","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q19","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? Poor concentration","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q20","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? Poor memory","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q21","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? Sleep difficulties","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q22","Integer","","Recommended","Have you experienced any of the following symptoms in the last 24 hours? Tired or low energy","0::3","0=Absent; 1=Mild; 2=Moderate; 3=Severe",""
"mawq_q23","Integer","","Recommended","How much do you agree with each statement below based upon how you have felt in the last 24 hours? I am not feeling well","0::3","0=Don't Agree; 1=Mildly Agree; 2=Moderately Agree; 3=Strongly Agree",""
"mawq_q24","Integer","","Recommended","How much do you agree with each statement below based upon how you have felt in the last 24 hours? Sometimes it feels as though people are watching me or talking to me","0::3","0=Don't Agree; 1=Mildly Agree; 2=Moderately Agree; 3=Strongly Agree",""
"mawq_q25","Integer","","Recommended","How much do you agree with each statement below based upon how you have felt in the last 24 hours? Sometimes it feels like someone is touching me, but no one is there","0::3","0=Don't Agree; 1=Mildly Agree; 2=Moderately Agree; 3=Strongly Agree",""
"mawq_q26","Integer","","Recommended","How much do you agree with each statement below based upon how you have felt in the last 24 hours? I often think about taking methamphetamine","0::3","0=Don't Agree; 1=Mildly Agree; 2=Moderately Agree; 3=Strongly Agree",""
"mawq_q27","Integer","","Recommended","How much do you agree with each statement below based upon how you have felt in the last 24 hours? My sexual pleasure is less than usual","0::3","0=Don't Agree; 1=Mildly Agree; 2=Moderately Agree; 3=Strongly Agree",""
"mawq_q28","Integer","","Recommended","How much do you agree with each statement below based upon how you have felt in the last 24 hours? Recently my interest in sex is less than usual","0::3","0=Don't Agree; 1=Mildly Agree; 2=Moderately Agree; 3=Strongly Agree",""
"mawq_q29","Integer","","Recommended","How much do you agree with each statement below based upon how you have felt in the last 24 hours? I am not able to deal with stress as well as usual","0::3","0=Don't Agree; 1=Mildly Agree; 2=Moderately Agree; 3=Strongly Agree",""
"mawq_q30","Integer","","Recommended","How much do you agree with each statement below based upon how you have felt in the last 24 hours? Sometimes I hear voices that no one else can hear","0::3","0=Don't Agree; 1=Mildly Agree; 2=Moderately Agree; 3=Strongly Agree",""
"mawq_physicalscore","Integer","","Recommended","Physical Score:","0::21","Sum of q1 through q7",""
"mawq_emotionalscore","Integer","","Recommended","Emotional Score:","0::24","Sum of q8 through q16",""
"mawq_functionalscore","Integer","","Recommended","Functional Score:","0::18","Sum of q17 through q22",""
"mawq_statementscore","Integer","","Recommended","Statement Score:","0::24","Sum of q23 through q30",""
