"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","hcpa_id,subject_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","date_ctq,v2_ctq_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","v2_ctq_age"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,sex"
"hysterec","Integer","","Recommended","hysterectomy","0;1;-7; 888; 999","0=No; 1=Yes; -7=Refused; 888=N/A; 999=missing data","mchq_1"
"hystage","Integer","","Recommended","age at hysterectomy","","888=N/A; 999=missing data","mchq_2"
"mchq_3","Integer","","Recommended","Removal of one or both ovaries?","1;2; 888; 999","1=Yes; 2=No; 888=N/A; 999=missing data",""
"mchq_4","Integer","","Recommended","Removal of one or both ovaries - Age of Surgery","1::100; 888; 999","888=N/A; 999=missing data",""
"mchq_5","Integer","","Recommended","Polycystic Ovary Disease (Stein-Leventhal Syndrome)","1;2; 888; 999","1=Yes; 2=No; 888=N/A; 999=missing data","gynecological_hist_4a"
"mchq_6","Integer","","Recommended","Polycystic Ovary Disease (Stein-Leventhal Syndrome) - Age of Onset","1::100; 888; 999","888=N/A; 999=missing data",""
"mchq_7","Integer","","Recommended","Abnormal pap smear?","1;2; 888; 999","1=Yes; 2=No; 888=N/A; 999=missing data",""
"mchq_8","Integer","","Recommended","Abnormal pap smear - Age of Onset","1::100; 888; 999","888=N/A; 999=missing data",""
"endomsis","Integer","","Recommended","endometriosis","0;1;-7; 888;999","0=No; 1=Yes; -7=Refused; 888=N/A; 999=missing data","mchq_9"
"mchq_10","Integer","","Recommended","Endometriosis - Age of Onset","1::100; 888; 999","888=N/A; 999=missing data",""
"mchq_11","Integer","","Recommended","Pelvic Inflammatory Disease (infection of your womb tubes)?","1;2; 888; 999","1=Yes; 2=No; 888=N/A; 999=missing data",""
"mchq_12","Integer","","Recommended","Pelvic Inflammatory Disease (infection of your womb tubes) - Age of Onset","1::100; 888; 999","888=N/A; 999=missing data",""
"mchq_13","Integer","","Recommended","Amenorrhea (? 3 months without a period when not pregnant)?","1;2; 888; 999","1=Yes; 2=No; 888=N/A; 999=missing data","gynecological_hist_4c"
"mchq_14","Integer","","Recommended","Amenorrhea (? 3 months without a period when not pregnant) - Age of Onset","1::100; 888; 999","888=N/A; 999=missing data",""
"scq_23_sp","String","100","Recommended","Specify any other gynecological problem","","","mchq_15"
"mchq_16","Integer","","Recommended","Other Gynecological condition - Age of Onset","1::100; 888; 999","888=N/A; 999=missing data",""
"mchq_17","Integer","","Recommended","Do you have regular menstrual cycles?","1;2; 888; 999","1=Yes; 2=No; 888=N/A; 999=missing data","mstrl2"
"mchq_18","String","500","Recommended","Do you have regular menstrual cycles. If no, explain","","","mstrl2_reason"
"femenst","Float","","Recommended","Age (in years) at First Menstrual Period","1::100; 888; 999","888=N/A; 999=missing data","gynecological_hist_9,mchq_19,mstrl2_age"
"mchq_20","Integer","","Recommended","At what age did your mother have her very first period?","1::100; 888; 999","888=N/A; 999=missing data",""
"mchq_21","Integer","","Recommended","About how long is your entire cycle?","1; 2; 3","1= less than every 25 days; 2= between 25-35 days; 3= more than every 35 days","mstrl2_cycle"
