"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","CandidateGUID,GUID"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","IBISID,IDNUmber,participantid,plot_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","DateCDI,Date_taken,cdi_wg_date,cdidate,date_cdi_wg1,date_cdi_wg1_spa"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","Candidate_Age,Candidate_Age_in_Months,ChildsAge,age_cdi_wg1_real,age_cdi_wg1_spa,cdi_age,plot_age_totalmonths"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","MacWG_Sex,cdi_gender,fbq_sex,gender"
"mcg_ph_total","Integer","","Recommended","Total number of phrases","0 :: 28","","PhrasesUnderstood,cdi_phr_und,cdi_phrasesunderstood_numb,cdiphrases,mcwg_phrases_understood,phrase_number,phrases_understood_number"
"mcg_ph_perc_below1","String","6","Recommended","Is the percentile rank for Phrases Understood scored at below 1?","Y;N","Y = Yes; N = No",""
"mcg_ph_perc","Integer","","Recommended","""If the percentile rank for Phrases Understood was not scored as below 1, then record the percentile score.""","1 :: 100","","Percentile,cdi_phrasesunderstood_percent,cdiphrases2,mcwg_phrases_understood_pctile,phrase_percentile,phrases_understood_percentile"
"mcg_vc_totcom","Integer","","Recommended","Total number of words understood (1-19)","0 :: 396","","WordsUnderstood,cdi_wg_wusum,cdi_wordsunderstood_numb,cdiwordsunder,mcg_vc_under_total,mcwg_words_understood,num_totalunderstand,num_totalunderstand_spa,understands_number,words_understood_number"
"mcg_vc_under_perc_below1","String","6","Recommended","Is the percentile rank for Vocabulary Understood scored at below 1?","Y;N","Y = Yes; N = No",""
"mcg_vc_under_perc","Integer","","Recommended","""If the percentile rank for Vocabulary Understood was not scored as below 1, then record the percentile score.""","1 :: 100","","Percentile2,cdi_wordsunderstood_percent,cdiwordsunder2,mcwg_words_understood_pctile,pct_understand,pct_understand_spa,understands_percentile,words_understood_percentile"
"mcg_vc_totpr","Integer","","Required","Total number of words produced (1-19)","0 :: 396; 999","999 = Missing value","WordsUnderstoon1,cdi_wg_wpsum,cdi_wordsproduced_numb,cdiwordsprod,mcwg_words_produced,num_totalproduce,num_totalproduce_spa,words_produced_number"
"mcg_vc_und_said_perc_below1","String","6","Recommended","Is the percentile rank for Vocabulary Understood and Said(vocab checklist sections 1-19)scored at below 1?","Y;N","Y = Yes; N = No",""
"mcg_vc_und_said_perc","Integer","","Recommended","""If the percentile rank for Vocabulary Understood and Said(vocab checklist sections 1-19) was not scored as below 1, then record the percentile score.""","1 :: 99","","Percentile3,cdi_wordsproduced_percent,cdiwordsprod2,mcwg_words_produced_pctile,pct_produce,pct_produce_spa,understandsandsays_percentile,words_produced_percentile"
"mcg_eg_total","Integer","","Recommended","Total Early Gestures","0 :: 18","","EarlyGestures,cdi_earlygestures_numb,cdi_wg_earlyg_sum,cdiearlygest,early_gestures_number,earlygest_number,mcwg_early_gestures"
"mcg_eg_perc_below1","String","6","Recommended","Is the percentile rank for Early gestures scored at below 1?","Y;N","Y = Yes; N = No",""
"mcg_eg_perc","Integer","","Recommended","""If the percentile rank for Early Gestures was not scored as below 1, then record the percentile score.""","1 :: 99","","PErcenitleGestures,cdi_earlygestures_percent,cidearlygest2,early_gestures_percentile,earlygest_percentile,mcwg_early_gestures_pctile"
"mcg_lg_total","Integer","","Recommended","Total Later Gestures","0 :: 45","","LaterGestures,cdi_lategestures_numb,cdi_wg_laterg_sum,cdilatergest,later_gestures_number,latergest_number,mcwg_later_gestures"
"mcg_lg_perc_below1","String","6","Recommended","Is the percentile rank for Later Gestures scored at below 1?","Y;N","Y = Yes; N = No",""
"mcg_lg_perc","Integer","","Recommended","""If the percentile rank for Later Gestures was not scored as below 1, then record the percentile score.""","-1 :: 99","","PErcenitleLaterGestures,cdi_lategestures_percent,cdilatergest2,later_gestures_percentile,latergest_percentile"
"mcg_tg_total","Integer","","Recommended","Total Gestures","0 :: 63","","TotalGestures,cdi_totalgestures_numb,cdi_wg_totalg_sum,cditotalgest,mcwg_total_gestures,total_gestures_number,totalgest_number"
"mcg_tg_perc_below1","String","6","Recommended","Is the percentile rank for Total Gestures scored at below 1?","Y;N","Y = Yes; N = No",""
"mcg_tg_perc","Integer","","Recommended","""If the percentile rank for Total Gestures was not scored as below 1, then record the percentile score.""","1 :: 99","","PErcenitleTotalGestures,cdi_totalgestures_percent,cditotalgest2,mcwg_total_gestures_pctile,total_gestures_percentile,totalgest_percentile"
"mcg_su_name","Integer","","Recommended","Respond when name is called (e.g., by turning and looking as source)","0; 1","0 = No; 1 = Yes","I_A_1,Responds,cdi_wg_a1,cdia1,fsu_1,mcwg_respond_to_name,respname_yn"
"mcg_su_no","Integer","","Recommended","Respond to ""no, no"" (by stopping what he/she is doing at least for a moment)","0; 1","0 = No; 1 = Yes","I_A_2,RepondsNONO,cdi_wg_a2,cdia2,fsu_2,mcwg_respond_to_no_no,respnono_yn"
"mcg_su_md","Integer","","Recommended","React to ""there's mommy/daddy"" by looking around for them","0; 1","0 = No; 1 = Yes","I_A_3,RespondstoMOMDAD,cdi_wg_a3,cdia3,fsu_3,mcwg_respond_to_theres_mommy,respmom_yn"
"mcg_ph_hungry","Integer","","Recommended","Are you hungry? Understands?","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","I_B_1,cdi_wg_b1,cdib1,phr_are_you_hungry,understand_hungry"
"mcg_ph_tired","Integer","","Recommended","Are you tired/sleepy? Understands?","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","I_B_2,cdi_wg_b2,cdib2,phr_are_you_tired_sleepy,understand_tired"
"mcg_ph_careful","Integer","","Recommended","Be careful. Understands?","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","I_B_3,cdi_wg_b3,cdib3,phr_be_careful,understand_careful"
"mcg_ph_quiet","Integer","","Recommended","Be quiet. Understands?","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","I_B_4,cdi_wg_b4,cdib4,phr_be_quiet,understand_quiet"
"mcg_ph_clap","Integer","","Recommended","Clap your hands. Understands?","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","I_B_5,cdi_wg_b5,cdib5,phr_clap_your_hands,understand_clap"
"mcg_ph_diaper","Integer","","Recommended","Change diaper. Understands?","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","I_B_6,cdi_wg_b6,cdib6,phr_change_diaper,understand_diaper"
"mcg_ph_come","Integer","","Recommended","Come here/come on. Understands?","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","I_B_7,cdi_wg_b7,cdib7,phr_come_here_on,understand_come"
"mcg_ph_home","Integer","","Recommended","Daddy's/mommy's home. Understands?","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","I_B_8,cdi_wg_b8,cdib8,phr_daddys_mommys_home,understand_parent_home"
"mcg_ph_more","Integer","","Recommended","Do you want more? Understands?","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","I_B_9,cdi_wg_b9,cdib9,phr_do_you_want_more,understand_more"
"mcg_ph_do","Integer","","Recommended","Don't do that. Understands?","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","I_B_10,cdi_wg_b10,cdib10,phr_dont_do_that,understand_dont_do"
"mcg_ph_touch","Integer","","Recommended","Don't' touch. Understands?","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","I_B_11,cdi_wg_b11,cdib11,phr_dont_touch,understand_dont_touch"
"mcg_ph_get","Integer","","Recommended","Get up. Understands?","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","I_B_12,cdi_wg_b12,cdib12,phr_get_up,understand_get_up"
"mcg_ph_give","Integer","","Recommended","Give it to mommy. Understands?","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","I_B_13,cdi_wg_b13,cdib13,phr_give_it_to_mommy,understand_giv_mom"
"mcg_ph_hug","Integer","","Recommended","Give me a hug. Understands?","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","I_B_14,cdi_wg_b14,cdib14,phr_give_me_a_hug,understand_giv_hug"
"mcg_ph_kiss","Integer","","Recommended","Give me a kiss. Understands?","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","I_B_15,cdi_wg_b15,cdib15,phr_give_me_a_kiss,understand_giv_kiss"
