"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","nimhid"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","ptid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","testdate"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","age"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"visit","String","60","Recommended","Visit name","","","visitnum"
"regsch","Integer","","Recommended","Work days: Do you have a regular work/school schedule? (this applies if you are a househusband / housewife or student, etc.)","0;1","1=Yes 0=No","mctq_regular,mctq_school_yn,munich01,munich_01"
"eo20","Integer","","Recommended","How many days per week do/did you usually work/go to school","","","dyflsch,mctq_perweek,mctq_school_days,munich02,munich_02"
"wkbed","String","10","Recommended","Bed time on workdays","","","mctq_school1,munich03,munich_03"
"wkslp","String","10","Recommended","Sleep time on workdays","","","mctq_school3,munich04,munich_04"
"wkmnslp","Integer","","Recommended","Work days: I/they need _ minutes to fall asleep","0::999","","mctq_school4,mctq_sr_q06b,mctq_work_mintosleep,munich05,munich_05"
"wkwakup","String","10","Recommended","Wake up time on workdays","","","mctq_school5,munich06,munich_06"
"wkalarm","Integer","","Recommended","Wake up on workdays. With/Without Alarm Clock","1;2","1=With an Alarm Clock 2=Without an Alarm Clock","mctq_school7"
"wkmnup","Integer","","Recommended","Wake up on workdays. After _ minutes I/they get up","0::999","","mctq_school6,munich07,munich_07"
"wknap","Integer","","Recommended","Work days: If I get a chance, I like to take a siesta/nap","0;1","1=True; 0 = False","mctq_sr_q07a"
"wkmnnap","Integer","","Recommended","Work days nap: I then sleep for _ minutes","0::999","","mctq_sr_q07b"
"frbed","String","10","Recommended","Bed time on free days","","","mctq_free1,munich08,munich_10"
"frslp","String","10","Recommended","Sleep time on free days","","","mctq_free3,munich09,munich_11"
