"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"medi_1","Integer","","Recommended","I get upset by trivial things","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_2","Integer","","Recommended","It doesn't take much to make me laugh","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_3","Integer","","Recommended","I am disappointed in myself","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_4","Integer","","Recommended","I have been experiencing breathlessness","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_5","Integer","","Recommended","Other people would consider some of my thoughts to be odd","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_6","Integer","","Recommended","Unexpected physical sensations scare me","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_7","Integer","","Recommended","I am uncomfortable mingling at social events","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_8","Integer","","Recommended","I cannot stop thinking about horrific things that I have experienced or seen","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_9","Integer","","Recommended","I cope with unpleasant thoughts, feelings, or images by trying to distract myself","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_10","Integer","","Recommended","I have always been a worrier","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_11","Integer","","Recommended","I feel sad and blue","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_12","Integer","","Recommended","Unpleasant thoughts, images, or memories come into my mind against my will","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_13","Integer","","Recommended","I have felt trembling or shaky","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_14","Integer","","Recommended","I am uncomfortable in situations where I am the center of attention","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_15","Integer","","Recommended","I avoid places or things that might upset me","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_16","Integer","","Recommended","I have a hard time coping with stress","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_17","Integer","","Recommended","I am an optimistic person","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_18","Integer","","Recommended","I have been experiencing rushes of fear that come on very suddenly","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_19","Integer","","Recommended","I worry about my health","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_20","Integer","","Recommended","I have disturbing dreams about awful events that occurred in my past","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_21","Integer","","Recommended","Inappropriate or nonsensical thoughts enter my mind that are difficult to dismiss","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_22","Integer","","Recommended","I feel anxious around unfamiliar people","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_23","Integer","","Recommended","I carry certain things with me for protection from uncomfortable feelings or situations","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_24","Integer","","Recommended","I am a cheerful and happy person","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_25","Integer","","Recommended","I have lost interest in activities I usually enjoy","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_26","Integer","","Recommended","I have felt dizzy, lightheaded, or faint","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_27","Integer","","Recommended","I will do almost anything to get rid of unpleasant feelings","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_28","Integer","","Recommended","I am preoccupied by illnesses and diseases","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_29","Integer","","Recommended","Images of past traumatic events enter my mind unexpectedly","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_30","Integer","","Recommended","My actions are often driven by unwanted thoughts or images","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_31","Integer","","Recommended","If something upsets me, I try very hard to not think about it","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_32","Integer","","Recommended","I am more keyed up and on edge than the average person","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_33","Integer","","Recommended","I am always motivated to take on new tasks","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_34","Integer","","Recommended","I refuse to come into contact with objects that I fear","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_35","Integer","","Recommended","I am the type of person whose feelings are hurt too easily","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_36","Integer","","Recommended","I feel good after finishing a job","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
"medi_37","Integer","","Recommended","I feel I have nothing to look forward to","0::8","0= Not characteristic of me/does not apply to me; 2= Slightly characteristic of me/applies to me slightly; 4= Somewhat characteristic of me/applies to me somewhat; 6= Very characteristic of me/applies to me considerably; 8= Extremely characteristic of me/applies to me very much",""
