"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"meec_1","Integer","","Recommended","My child comforts me when I am upset","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_2","Integer","","Recommended","When I am hurt, my child comes over and checks on me","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_3","Integer","","Recommended","My child tries to make people feel better when he or she realizes they are upset","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_4","Integer","","Recommended","My child does things to cheer me up, such as picking me flowers, drawing a picture or getting something for me","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_5","Integer","","Recommended","When I am upset or tired, my child does nice things for me (e.g. getting tissues)","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_6","Integer","","Recommended","When I am hurt, my child reassures me that everything will be okay","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_7","Integer","","Recommended","My child comforts children who are distressed","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_8","Integer","","Recommended","When someone is upset, my child shares their toys with them","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_9","Integer","","Recommended","My child tries to comfort a friend when they are upset","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
"meec_10","Integer","","Recommended","My child notices but does not show concern when someone is hurt/injured","1::4;-999","1= Strongly disagree; 2= Slightly disagree; 3= Slightly agree; 4= Strongly agree; -999= Missing",""
