"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"task_block_learn","Integer","","Recommended","Block of learning trials","1::10","",""
"learning_trial","Integer","","Recommended","Counter of learning trials","1::200","",""
"block_condition","Integer","","Recommended","Reward condition of block","1::3","1= Exemplars determine rewards; 2= Mid-level categories determine rewards; 3= High-level categories determine rewards",""
"stimulus_category","String","20","Recommended","Learning stimulus category","","",""
"left_choice_option","String","20","Recommended","Left choice option image","","",""
"middle_choice_option","String","20","Recommended","Middle choice option image","","",""
"right_choice_option","String","20","Recommended","Right choice option image","","",""
"correct_response","String","20","Recommended","Correct choice image","","",""
"correct_key_options","String","20","Recommended","Correct key to press","","",""
"response_selected_img","Integer","","Recommended","Choice image selected","0;1","0= Incorrect; 1= Correct",""
"correct_response_selected","Integer","","Recommended","Was the correct image selected?","0;1","0= Incorrect; 1= Correct",""
"correct_reward_prob","Float","","Recommended","Reward probability associated with correct choice","0::1","",""
"incorrect_reward_prob","Float","","Recommended","Reward probability associated with incorrect choice","0::1","",""
"points_trial","Integer","","Recommended","Points earned on trial","-1;1","",""
"sub","String","4","Recommended","Task spesific subject id","","",""
"task_version_cur","Integer","","Recommended","Current version of the task","","",""
"task_condition","String","100","Recommended","Task condition that the participant was assigned to","","",""
"time_elapsed_sec","Float","","Recommended","Elapsed time (seconds) from beginning of task","0::7200","Measured in seconds (s)",""
"trial_type_para","Integer","","Recommended","Phase of the experimental paradigm","1::5","1= Instructions; 2= practice; 3= Comprehension; 4= Memory; 5= Fixation",""
"trial_index_all","Integer","","Recommended","Counter of all trials","","",""
"browser_interactions","String","50","Recommended","Browser interactions made by participant","","",""
"task_block","Integer","","Recommended","Block of memory trials","1::10","",""
"memory_trial","Integer","","Recommended","Counter of memory trials","1::200","",""
"image_stimulus","String","100","Recommended","Learning stimulus image name","","",""
"incent_resp","Integer","","Recommended","Key pressed","","",""
"response_selected","String","20","Recommended","The memory response the subject selected","definitely old;maybe old;maybe new;definitely new","",""
"rt_time","Float","","Recommended","Time to make choice","","Measured in seconds (s)",""
