"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","guid"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"mensthist01","Integer","","Recommended","Age at first period (in years)","","",""
"mensthist02","Integer","","Recommended","If your menstrual periods are regular... your period starts every how many days?","0::31","",""
"mensthist03","String","20","Recommended","If your menstrual periods are irregular... your periods start every how many days to every how many days (e.g., 12 to 60)","","",""
"mensthist04","Integer","","Recommended","How many days is your duration of bleeding?","0::31","",""
"mensthist05","Integer","","Recommended","Does bleeding or spotting occur between periods?","0;1","0 = No; 1 = Yes",""
"mensthist06","Integer","","Recommended","Does bleeding or spotting occur after intercourse?","0;1","0 = No; 1 = Yes",""
"mensthist07","Date","","Recommended","First day of last menstrual period? (month/day/year)","","","period_date"
"mensthist08","Integer","","Recommended","Is pain associated with periods?","0::2","0 = No; 1 = Yes; 2 = Occasionally",""
"mensthist09","Integer","","Recommended","If pain is associated with periods, is it before menses?","0::2","0 = No; 1 = Yes; 2 = Occasionally",""
"mensthist10","Integer","","Recommended","If pain is associated with periods, is it during menses?","0::2","0 = No; 1 = Yes; 2 = Occasionally",""
"mensthist11","Integer","","Recommended","If pain is associated with periods is it before and during menses?","0::2","0 = No; 1 = Yes; 2 = Occasionally",""
"period_yn","Integer","","Recommended","Did you have your period this past month?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"bc_use","Integer","","Recommended","Did you use birth control pills, birth control injections, or an IUD this past month?","0;1;999","0 = No; 1 = Yes; 999 = N/A or Prefer Not to Answer",""
"bc_type","Integer","","Recommended","What kind of birth control did you use?","1::6;999","1 = Birth control pill; 2 = Birth control injections; 3 = Hormone ring; 4 = Intrauterine device (IUD); 5 = Birth control implant; 6 = Other; 999 = N/A or Prefer Not to Answer",""
"bc_type_specify","String","100","Recommended","Please specify the brand of pill, injection, IUD, implant, etc. you used:","","",""
"pms","Integer","","Recommended","Depression from PMS","0;1","0=No;1=Yes",""
"mcq3b","Date","","Recommended","When do you anticipate your next period?   Actual Date Confirmed by Phone (mm/dd/yyyy)","","MM/DD/YYYY",""
"mcq3c","Date","","Recommended","Date of menstrual period, previous month (mm/dd/yyyy)","","MM/DD/YYYY",""
"mcq4","Integer","","Recommended","How many days of a cycle do you have on average?","","days",""
"mcq5","Integer","","Recommended","How many days of menses do you have on average?","","days",""
"mcq6","Integer","","Recommended","On the scale provided below, please rate the regularity of your cycle for the past year.","1::4","1=Always within 2 days of your cycle; 2=Always within 3 to 6 days of your cycle; 3=Always within 1 to 2 weeks of your cycle; 4=Varied more than two weeks",""
"mcq7","Integer","","Recommended","Are you currently using any form of birth control?","0;1","0=No; 1=Yes",""
"mcq7a","Integer","","Recommended","If Yes, what form for birth control?","1::4","1=Birth control pill; 2=IUD; 3=Condoms; 4=Other",""
"mcq7a1","String","20","Recommended","What kind of Birth Control? (Name or Type of Birth Control)","","Name or Type of Birth Control",""
"mcq7a2","String","20","Recommended","What Other Birth Control? (Name of other birth control)","","Name of other birth control",""
"mcq8","Integer","","Recommended","Current Menstrual Status?","1::6","1=Regular; 2=Irregular Periods; 3=Peri-Menopausal; 4=Post-Menopausal; 5=Partial Hysterectomy; 6=Total Hysterectomy",""
"mcq1","Integer","","Recommended","Is the subject a female?","0;1","0=No; 1=Yes",""
"mcq1a","Integer","","Recommended","Have you had any gynecological problems that required you to see a physician in the past?","0;1","0=No; 1=Yes",""
"mcq1b","Integer","","Recommended","Have you had any gynecological problems that required you to see a physician in the present?","0;1","0=No; 1=Yes",""
"mcq1c","Integer","","Recommended","If yes, did they alter your menstrual cycle?","0;1","0=No; 1=Yes",""
"mcq2a","Date","","Recommended","When was your last menstrual period?  Start Date (mm/dd/yyyy)","","MM/DD/YYYY",""
"mcq2b","Date","","Recommended","When was your last menstrual period? End Date (mm/dd/yyyy)","","MM/DD/YYYY",""
"mcq3a","Date","","Recommended","When do you anticipate your next period?    Enter Date (mm/dd/yyyy)","","MM/DD/YYYY",""
"birthcon_08","Integer","","Recommended","Female subject has agreed to use at least one method of birth control: Medroxyprogesterone acetate contraceptive injection","0;1","0= No; 1= Yes",""
"birthcon_09","Integer","","Recommended","Female subject has agreed to use at least one method of birth control: Complete abstinence from sexual intercourse","0;1","0= No; 1= Yes",""
"birthcon_10","Integer","","Recommended","Female subject has agreed to use at least one method of birth control: Hormonal vaginal contraceptive ring","0;1","0= No; 1= Yes",""
"birthcon_11","Integer","","Recommended","Female subject has agreed to use at least one method of birth control: Postmenopausal (1 full year without menstrual period)","0;1","0= No; 1= Yes",""
"birthcon_12","Integer","","Recommended","Female subject has agreed to use at least one method of birth control: Intrauterine contraceptive system","0;1","0= No; 1= Yes",""
"birthcon_13","Integer","","Recommended","Female subject has agreed to use at least one method of birth control: Double Barrier (diaphragm/spermicidal or condom/spermicidal)","0;1","0= No; 1= Yes",""
"birthcon_14","Integer","","Recommended","If primary method of birth control is oral contraceptive, select back-up method (must be used beginning at first dose of study medication through 21 days after last dose): Contraceptive sponge","0;1","0= No; 1= Yes",""
"birthcon_15","Integer","","Recommended","If primary method of birth control is oral contraceptive, select back-up method (must be used beginning at first dose of study medication through 21 days after last dose): Complete abstinence from sexual intercourse","0;1","0= No; 1= Yes",""
"birthcon_16","Integer","","Recommended","If primary method of birth control is oral contraceptive, select back-up method (must be used beginning at first dose of study medication through 21 days after last dose): Double Barrier (diaphragm/spermicidal or condom/spermicidal)","0;1","0= No; 1= Yes",""
"birthcon_17","Integer","","Recommended","If primary method of birth control is oral contraceptive, select back-up method (must be used beginning at first dose of study medication through 21 days after last dose): Partner is surgically sterile","0;1","0= No; 1= Yes",""
"birthcon_01","Integer","","Recommended","Is the subject currently pregnant or breast feeding or have plans to become pregnant at any time during the study?","0;1","0= No; 1= Yes",""
"birthcon_02","Integer","","Recommended","Female subject has agreed to use at least one method of birth control: Oral Contraceptive","0;1","0= No; 1= Yes",""
"birthcon_03","Integer","","Recommended","Female subject has agreed to use at least one method of birth control: Contraceptive Sponge","0;1","0= No; 1= Yes",""
"birthcon_04","Integer","","Recommended","Female subject has agreed to use at least one method of birth control: Contraceptive Skin Patch","0;1","0= No; 1= Yes",""
"birthcon_05","Integer","","Recommended","Female subject has agreed to use at least one method of birth control: Surgically Sterile","0;1","0= No; 1= Yes",""
