"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"version_form","String","121","Recommended","Form used/assessment name","","e.g., Self-Report, Parent Form, Short Form, Revised Version",""
"metacognition_self1","Integer","","Recommended","The subject acknowledges having mental functions","0;1","0=No; 1=Yes",""
"metacognition_self2","Integer","","Recommended","The subject represents him/herself as a person with autonomous thoughts and feelings","0;1","0=No; 1=Yes",""
"metacognition_self3","Integer","","Recommended","The subject is able to define and distinguish his/her own cognitive operations, such as remembering, imagining, having fantasies, dreaming, desiring, deciding, foreseeing, and thinking","0;1","0=No; 1=Yes",""
"metacognition_self4","Integer","","Recommended","The subject is able to define and distinguish between his/her emotional states","0;1","0=No; 1=Yes",""
"metacognition_self5","Integer","","Recommended","The subject recognizes that the representation of the self and/or of the world is subjective and/or fallible and/or that his/her own opinions have changed or are changeable","0;1","0=No; 1=Yes",""
"metacognition_self6","Integer","","Recommended","The subject recognizes the representational nature of thoughts and the limited impact that expectations, thoughts, and desires have on reality","0;1","0=No; 1=Yes",""
"metacognition_self7","Integer","","Recommended","The subject recognizes that his/her behavior may be determined by one specific mode of cognitive and/or emotional functioning and admits he/she is influenced by social and/or interpersonal variables related to the context of his/her cognitive and/or emotional functioning, or related to his/her behavior","0;1","0=No; 1=Yes",""
"metacognition_self8","Integer","","Recommended","The subject is able to give a complete description of his/her own mental state and/or of the interpersonal processes in which he/she is involved, through his/her perception of cognitive and/or emotional elements","0;1","0=No; 1=Yes",""
"metacognition_self9","Integer","","Recommended","The subject is able to integrate his/her different modes of cognitive and/or emotional functioning into a coherent and complex narrative","0;1","0=No; 1=Yes",""
"metacognition_other1","Integer","","Recommended","The subject recognizes the existence of mental functions in others","0;1","0=No; 1=Yes",""
"metacognition_other2","Integer","","Recommended","The subject represents others as persons with autonomous thoughts and feelings","0;1","0=No; 1=Yes",""
"metacognition_other3","Integer","","Recommended","The subject is able to perceive other individuals' cognitive operations, such as remembering, imagining, having fantasies, dreaming, awaiting, foreseeing, meditating","0;1","0=No; 1=Yes",""
"metacognition_other4","Integer","","Recommended","The subject is able to perceive other individuals' emotional states","0;1","0=No; 1=Yes",""
"metacognition_other5","Integer","","Recommended","The subject considers his/her own representations of other individuals' mental states and functioning as subjective and hypothetical","0;1","0=No; 1=Yes",""
"metacognition_other6","Integer","","Recommended","The subject makes plausible inferences about other individuals' mental states and recognizes the communicative value or signs of attitude or behavior","0;1","0=No; 1=Yes",""
"metacognition_other7","Integer","","Recommended","The subject is able to give a complete description of other individuals' mental states and/or the interpersonal processes in which they are involved through the perception of cognitive and/or emotional elements","0;1","0=No; 1=Yes",""
"metacognition_other8","Integer","","Recommended","The subject is able to integrate other individuals' different modes of cognitive and/or emotional and/or relational functioning into a coherent narrative","0;1","0=No; 1=Yes",""
"metacognition_decen1","Integer","","Recommended","The subject recognizes that he/she is not necessarily at the center of other individuals' thoughts, feelings and emotions and/or that their actions stem from goals and reasons mostly independent of the relationships they have with the subject","0;1","0=No; 1=Yes",""
"metacognition_decen2","Integer","","Recommended","The subject recognizes that other individuals may perceive events in a different way from his/her own and/or interpret them differently","0;1","0=No; 1=Yes",""
"metacognition_decen3","Integer","","Recommended","The subject recognizes that variables, such as time, individual development, and experiences, determine the modes of the mental functioning of other individuals and/or recognizes that personal and relational events influence their processes and mental states","0;1","0=No; 1=Yes",""
"metacognition_mastery1","Integer","","Recommended","The subject discusses his own behavior and psychological processes and relates them, not as simple matter-of-fact data, but as tasks to be done and problems to be solved","0;1","0=No; 1=Yes",""
"metacognition_mastery2","Integer","","Recommended","The subject is able to define the terms of the problem in a plausible way","0;1","0=No; 1=Yes",""
"metacognition_mastery3","Integer","","Recommended","The subject tries to act directly on the problem state by modifying the general state of his/her organism","0;1","0=No; 1=Yes",""
"metacognition_mastery4","Integer","","Recommended","The subject avoids the occurrence of problem states and/or uses the relational context as a support","0;1","0=No; 1=Yes",""
"metacognition_mastery5","Integer","","Recommended","The subject tackles the problem voluntarily by imposing a certain type of behavior on him/herself or inhibiting it","0;1","0=No; 1=Yes",""
"metacognition_mastery6","Integer","","Recommended","The subject tackles the problem voluntarily by adjusting his mental order","0;1","0=No; 1=Yes",""
"metacognition_mastery7","Integer","","Recommended","The subject tackles the problem by acting upon the evaluations and beliefs which are at the basis of the problem itself and/or by using his/her general knowledge of his/her own mental functioning","0;1","0=No; 1=Yes",""
"metacognition_mastery8","Integer","","Recommended","The subject tackles the interpersonal dimension of the problem by using his/her own general knowledge of other people's mental functioning","0;1","0=No; 1=Yes",""
"metacognition_mastery9","Integer","","Recommended","The subject tackles the problem by accepting his/her own limits in managing his/her own self and influencing events","0;1","0=No; 1=Yes",""
"metacognition_self","Integer","","Recommended","Metacognition Assessment Scale - Self Reflectivity score","0::9","Sum of ''metacognition_self'' items",""
"metacognition_other","Integer","","Recommended","Metacognition Assessment Scale - Understanding the Other's Mind score","0::8","Sum of ''metacognition_other'' items",""
"metacognition_decentration","Integer","","Recommended","Metacognition Assessment Scale - Decentration score","0::3","Sum of ''metacognition_decen'' items",""
"metacognition_mastery","Integer","","Recommended","Metacognition Assessment Scale - Mastery score","0::9","Sum of ''metacognition_mastery'' items",""
"metacognition_total","Integer","","Recommended","Metacognition Assessment Scale - Total score","0::29","Sum of metacognition_self, metacognition_other, metacognition_decentration, and metacognition_mastery",""
