"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"mgii_sgt_1","Integer","","Recommended","I have the same interests that other [BOYS/GIRLS] have","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_sgt_2","Integer","","Recommended","I don't talk or act like other [BOYS/GIRLS]","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_sgt_3","Integer","","Recommended","I feel my personality is different from other [BOYS/GIRLS]' personalities","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_sgt_4","Integer","","Recommended","I feel that the things I like to do in my spare time are similar to what most [BOYS/GIRLS] like to do in their spare time","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_sgt_5","Integer","","Recommended","I feel that I am different from other [BOYS/GIRLS]","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_sgt_6","Integer","","Recommended","I have the same feelings that other [BOYS/GIRLS] have","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_sgt_7","Integer","","Recommended","I like to play with the same toys that other [BOYS/GIRLS] do","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_sgt_8","Integer","","Recommended","I don't like the same activities that other [BOYS/GIRLS] like","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_ogt_1","Integer","","Recommended","I have the same interests that [BOYS/GIRLS] have","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_ogt_2","Integer","","Recommended","I sometimes play with [BOYS/GIRLS]' toys and do [BOYS/GIRLS]' activities","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_ogt_3","Integer","","Recommended","I feel I am very different from [BOYS/GIRLS]","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_ogt_4","Integer","","Recommended","I have the same feelings that [BOYS/GIRLS] have","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_ogt_5","Integer","","Recommended","I feel that my personality is different from [BOYS/GIRLS]' personalities","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_ogt_6","Integer","","Recommended","I never talk or act like a [BOY/GIRL]","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_1","Integer","","Recommended","My parents want me to be similar to other [BOYS/GIRLS]","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_2","Integer","","Recommended","I don't think it's important for me to do the same activities that other [BOYS/GIRLS] are good at","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_3","Integer","","Recommended","I think it's important for me to be good at the same activities that other [BOYS/GIRLS] are good at","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_4","Integer","","Recommended","The [BOYS/GIRLS] I know don't care whether I act like other [BOYS/GIRLS] or not","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_5","Integer","","Recommended","The [BOYS/GIRLS] I know think it's important that I have the same interests as other [BOYS/GIRLS]","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_6","Integer","","Recommended","My parents don't think it's important for me to act like other [BOYS/GIRLS]","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_7","Integer","","Recommended","I would be upset with myself if I didn't act like other [BOYS/GIRLS]","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_8","Integer","","Recommended","My parents would not be upset if I didn't act like other [BOYS/GIRLS]","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_9","Integer","","Recommended","The [BOYS/GIRLS] I know would be upset if I didn't want to do the same activities that other [BOYS/GIRLS] do","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_10","Integer","","Recommended","My parents want me to do the same activities that other [BOYS/GIRLS] do","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
"mgii_gc_11","Integer","","Recommended","I don't think it's important for me to be similar to other [BOYS/GIRLS]","1::4;999","1= Very true for me; 2= Sort of true for me; 3= A little true for me; 4= Not at all true for me; 999= Missing/not reported",""
