"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","z1"
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","subject_id,z2"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","date_ctq,v2_ctq_date,z3"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","v2_ctq_age,z4"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,z5"
"midusii201","Integer","","Recommended","How much does your spouse or partner really care about you?","1::4","1 = A lot; 2 = Some; 3 = A little; 4 = Not at all","pssc01"
"midusii202","Integer","","Recommended","How much does he or she understand the way you feel about things?","1::4","1 = A lot; 2 = Some; 3 = A little; 4 = Not at all","pssc02"
"midusii203","Integer","","Recommended","How much does he or she appreciate you?","1::4","1 = A lot; 2 = Some; 3 = A little; 4 = Not at all","pssc03"
"midusii204","Integer","","Recommended","How much can you rely on him or her for help if you have a serious problem?","1::4","1 = A lot; 2 = Some; 3 = A little; 4 = Not at all","pssc04"
"midusii205","Integer","","Recommended","How much can you open up to him or her if you need to talk about your worries?","1::4","1 = A lot; 2 = Some; 3 = A little; 4 = Not at all","pssc05"
"midusii206","Integer","","Recommended","How much can you relax and be yourself around him or her?","1::4","1 = A lot; 2 = Some; 3 = A little; 4 = Not at all","pssc06"
"midusii207","Integer","","Recommended","How often does your spouse or partner make too many demands on you?","1::4","1 = Often; 2 = Sometimes; 3 = Rarely; 4 = Never","pssc07"
"midusii208","Integer","","Recommended","How often does he or she make you feel tense?","1::4","1 = Often; 2 = Sometimes; 3 = Rarely; 4 = Never","pssc08"
"midusii209","Integer","","Recommended","How often does he or she argue with you?","1::4","1 = Often; 2 = Sometimes; 3 = Rarely; 4 = Never","pssc09"
