"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"minisips_del_imaginary","Integer","","Recommended","Does subject ever get confused whether something they have experienced is real or imaginary?","0;1","0= No; 1= Yes",""
"minisips_del_strange","Integer","","Recommended","Do familiar people or surroundings ever feel strange, confusing or unreal to subject?","0;1","0= No; 1= Yes",""
"minisips_del_thought_ctrl","Integer","","Recommended","Has subject ever felt that they're not in control of their own ideas or thoughts?","0;1","0= No; 1= Yes",""
"minisips_del_thought_change","Integer","","Recommended","Has subject ever felt that their ability to think has changed in any way?","0;1","0= No; 1= Yes",""
"minisips_del_thought_insert","Integer","","Recommended","Does subject ever feel that thoughts are put into their head or taken away? That some person or force is interfering with their thinking?","0;1","0= No; 1= Yes",""
"minisips_del_broadcast","Integer","","Recommended","Does subject ever feel as if their thoughts are being said out loud so that other people can hear them?","0;1","0= No; 1= Yes",""
"minisips_del_mind_read","Integer","","Recommended","Does subject ever think they can read other people's minds or that others can read their mind?","0;1","0= No; 1= Yes",""
"minisips_del_media_comm","Integer","","Recommended","Does subject ever feel that the radio, TV, computer, cell phone or other device is communicating directly to them?","0;1","0= No; 1= Yes",""
"minisips_del_pred_future","Integer","","Recommended","Does subject ever think they can predict the future?","0;1","0= No; 1= Yes",""
"minisips_del_neg_thoughts","Integer","","Recommended","Does subject ever feel that people around them are thinking about them in a negative way?","0;1","0= No; 1= Yes",""
"minisips_del_suspicion","Integer","","Recommended","Has subject ever found themself feeling mistrustful or suspicious of other people?","0;1","0= No; 1= Yes",""
"minisips_del_watched","Integer","","Recommended","Does subject ever feel like they are being singled out or watched?","0;1","0= No; 1= Yes",""
"minisips_del_harm","Integer","","Recommended","Does subject ever feel that people might be intending to harm you?","0;1","0= No; 1= Yes",""
"minisips_del_special_powers","Integer","","Recommended","Does subject feel that they have special gifts, talents or powers?","0;1","0= No; 1= Yes",""
"minisips_del_unrealistic","Integer","","Recommended","Do people tell subject that their plans or goals are unrealistic? If so, what are those plans or goals?","0;1","0= No; 1= Yes",""
"minisips_del_famous","Integer","","Recommended","Does subject ever think of themself as a famous or person or believe that they have a relationship with a famous person or with God?","0;1","0= No; 1= Yes",""
"minisips_hal_sounds","Integer","","Recommended","Does subjects' ears ever play tricks on them or do they ever hear sounds like banging, clicking, hissing, ringing in their ears, footsteps or their name being called?","0;1","0= No; 1= Yes",""
"minisips_hal_voices","Integer","","Recommended","Does subject ever hear a voice that others don't seem to hear?","0;1","0= No; 1= Yes",""
"minisips_hal_flashes","Integer","","Recommended","Does subject ever see things like flashes, flames, vague figures, shadows or movement out of the corner of their eye?","0;1","0= No; 1= Yes",""
"minisips_hal_visuals","Integer","","Recommended","Does subject ever see things that others can't or don't seem to see?","0;1","0= No; 1= Yes",""
"minisips_hal_sensations","Integer","","Recommended","Has subject ever noticed any bodily sensations or do they smell or taste things that others don't notice?","0;1","0= No; 1= Yes",""
"minisips_dis_cant_understand","Integer","","Recommended","Do people ever tell subject that they can't understand when subject speaks?","0;1","0= No; 1= Yes",""
"minisips_dis_rambling","Integer","","Recommended","Do you ever have trouble getting your point across like rambling or going off track?","0;1","0= No; 1= Yes",""
"minisips_dis_lose_thoughts","Integer","","Recommended","Do you ever completely lose your train of thought?","0;1","0= No; 1= Yes",""
"minisips_del_worst","String","500","Recommended","Description of Worst Delusion-Like Symptoms (DEL)","","",""
"minisips_del_rating","Integer","","Recommended","Delusion-Like Symptoms (DEL) Range","0::2","0= Normal Range; 1= APS Range; 2= Psychotic Range",""
"minisips_hal_worst","String","500","Recommended","Description of Worst Hallucination-Like Symptoms (HAL)","","",""
"minisips_hal_rating","Integer","","Recommended","Hallucination-Like Symptoms (HAL) Range","0::2","0= Normal Range; 1= APS Range; 2= Psychotic Range",""
"minisips_dis_worst","String","500","Recommended","Description of Worst Disorganized Communication (DIS)","","",""
"minisips_dis_rating","Integer","","Recommended","Disorganized Communication (DIS) Range","0::2","0= Normal Range; 1= APS Range; 2= Psychotic Range",""
"minisips_frank_psych","Integer","","Recommended","Have any of the 3 symptoms EVER been in the psychotic range?","0;1","0= No; 1= Yes",""
"minisips_frank_psych_disorg","Integer","","Recommended","Are psychotic symptom(s) seriously disorganizing or dangerous, or have they EVER been?","0;1","0= No; 1= Yes",""
"minisips_frank_psych_freq","Integer","","Recommended","Did the symptom(s) EVER occur in the psychotic range for at least one hour per day at an average frequency of four days per week over one month?","0;1","0= No; 1= Yes",""
"minisips_aps_del","Integer","","Recommended","APS Rating-DEL: Are Delusion-Like Symptoms (DEL) CURRENTLY in the Attenuated Psychosis Syndrome (APS) Range?","0;1","0= No; 1= Yes",""
"minisips_aps_del_freq","Integer","","Recommended","APS Rating-DEL: Do Delusion-Like Symptoms (DEL) CURRENTLY occur more than or equal to 1x/week?","0;1","0= No; 1= Yes",""
"minisips_aps_del_impairment","Integer","","Recommended","APS Rating-DEL: Do Delusion-Like Symptoms (DEL) bother the patient or interfere with their daily activities?","0;1","0= No; 1= Yes",""
"minisips_aps_del_all","Integer","","Recommended","APS Rating-DEL: Are all 3 boxes immediately above checked YES?","0;1","0= No; 1= Yes",""
"minisips_aps_hal","Integer","","Recommended","APS Rating-HAL: Are Hallucination-Like Symptoms (HAL) CURRENTLY in the Attenuated Psychosis Syndrome (APS) Range?","0;1","0= No; 1= Yes",""
"minisips_aps_hal_freq","Integer","","Recommended","APS Rating-HAL: Do Hallucination-Like Symptoms (HAL) CURRENTLY occur more than or equal to 1x/week?","0;1","0= No; 1= Yes",""
"minisips_aps_hal_impairment","Integer","","Recommended","APS Rating-HAL: Do Hallucination-Like Symptoms (HAL) bother the patient or interfere with their daily activities?","0;1","0= No; 1= Yes",""
"minisips_aps_hal_all","Integer","","Recommended","APS Rating-HAL: Are all 3 boxes immediately above checked YES?","0;1","0= No; 1= Yes",""
"minisips_aps_dis","Integer","","Recommended","APS Rating-DIS: Are Disorganized Communication (DIS) CURRENTLY in the Attenuated Psychosis Syndrome (APS) Range?","0;1","0= No; 1= Yes",""
"minisips_aps_dis_freq","Integer","","Recommended","APS Rating-DIS: Do Disorganized Communication (DIS) CURRENTLY occur more than or equal to 1x/week?","0;1","0= No; 1= Yes",""
"minisips_aps_dis_impairment","Integer","","Recommended","APS Rating-DIS: Do Disorganized Communication (DIS) bother the patient or interfere with their daily activities?","0;1","0= No; 1= Yes",""
"minisips_aps_dis_all","Integer","","Recommended","APS Rating-DIS: Are all 3 boxes immediately above checked YES?","0;1","0= No; 1= Yes",""
"minisips_aps_dx","Integer","","Recommended","APS Diagnosis: Does participant qualify for Attenuated Psychosis Syndrome (APS)?","0::2","0= No; 1= Suspected; 2=Yes",""
"minisips_not_aps_rsn","Integer","","Recommended","APS Diagnosis: Why does participant not qualify for Attenuated Psychosis Syndrome (APS) diagnosis?","0;1","0= Not on psychosis spectrum; 1= Full psychosis",""
"comments","String","4000","Recommended","Comments about assessment","","",""
