"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","pseudo_guids"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","id,mini_diag_q50_1,subjectid,subjectnumber"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","datacollecteddate,interview_dt_t1,interview_dt_t2,interview_dt_t3,interview_dt_t4,mini_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","age_t1_mos,age_t2_mos,age_t3_mos,age_t4_mos"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,gender_t1,gender_t2,gender_t3,gender_t4,sex"
"mini_m1b_p","Integer","","Recommended","Psychotic Disorders: M1b Have you ever believed that people were spying on you, or that someone was plotting against you, or trying to hurt you? . Do you currently believe these things?","0::2","0=No; 1=Yes; 2=Bizarre","mini_psych_k1b"
"mini_m2b_p","Integer","","Recommended","Psychotic Disorders: M2b Have you ever believed that someone was reading your mind/you could hear what another person was thinking? Do you currently believe these things?","0::2","0=No; 1=Yes; 2=Bizarre","mini_psych_k2b"
"mini_m3b_p","Integer","","Recommended","Psychotic Disorders: M3b Have you ever believed that someone/some force put thoughts in your mind/have you ever felt possessed?  Do you currently believe these things?","0::2","0=No; 1=Yes; 2=Bizarre","mini_psych_k3b"
"mini_m4b_p","Integer","","Recommended","Psychotic Disorders: M4b Have you believed that you were being sent special messages or that a person you did not know was particularly interested in you? Do you currently believe these things?","0::2","0=No; 1=Yes; 2=Bizarre","mini_psych_k4b"
"mini_m5b_p","Integer","","Recommended","Psychotic Disorders: M5b Have your relatives or friends ever considered any of your beliefs strange or unusual? Do they currently consider your beliefs strange?","0::2","0=No; 1=Yes; 2=Bizarre","mini_psych_k5b"
"mini_m7b_p","Integer","","Recommended","Psychotic Disorders: M7b Have you seen these things in the past month?","0;1","0=no; 1=yes",""
"mini_m1a_c","Integer","","Recommended","Psychotic Disorders: M1a (clinician judgment) Have you ever believed that people were spying on you, or that someone was plotting against you, or trying to hurt you?","0::2;-999","0=No; 1=Yes; 2=Bizarre; -999=Missing or N/A","mini_psych_k1a,pds_mini_1"
"mini_m1b_c","Integer","","Recommended","Psychotic Disorders: M1b (clinician judgment) Do you currently believe these things?","0::2;-999","0=No; 1=Yes; 2=Bizarre; -999=Missing or N/A","pds_mini_1b"
"mini_m2a_c","Integer","","Recommended","Psychotic Disorders: M2a (clinician judgment) Have you ever believed that someone was reading your mind/you could hear what another person was thinking?","0::2;-999","0=No; 1=Yes; 2=Bizarre; -999=Missing or N/A","mini_psych_k2a,pds_mini_2"
"mini_m2b_c","Integer","","Recommended","Psychotic Disorders: M2b (clinician judgment) Do you currently believe these things?","0::2;-999","0=No; 1=Yes; 2=Bizarre; -999=Missing or N/A","pds_mini_2b"
"mini_m3a_c","Integer","","Recommended","Psychotic Disorders: M3a (clinician judgment) Have you ever believed that someone/some force put thoughts in your mind/have you ever felt possessed?","0::2;-999","0=No; 1=Yes; 2=Bizarre; -999=Missing or N/A","mini_psych_k3a,pds_mini_3"
"mini_m3b_c","Integer","","Recommended","Psychotic Disorders: M3b (clinician judgment) Do you currently believe these things?","0::2;-999","0=No; 1=Yes; 2=Bizarre; -999=Missing or N/A","pds_mini_3b"
"mini_m4a_c","Integer","","Recommended","Psychotic Disorders: M4a (clinician judgment) Have you believed that you were being sent special messages or that a person you did not know was particularly interested in you?","0::2;-999","0=No; 1=Yes; 2=Bizarre; -999=Missing or N/A","mini_psych_k4a,pds_mini_4"
"mini_m4b_c","Integer","","Recommended","Psychotic Disorders: M4b (clinician judgment) Do you currently believe these things?","0::2;-999","0=No; 1=Yes; 2=Bizarre; -999=Missing or N/A","pds_mini_4b"
"mini_m5a_c","Integer","","Recommended","Psychotic Disorders: M5a (clinician judgment) Have your relatives or friends ever considered any of your beliefs strange or unusual? (examples are clearly delusional)","0::2;-999","0=No; 1=Yes; 2=Bizarre; -999=Missing or N/A","mini_psych_k5a,pds_mini_5"
"mini_m5b_c","Integer","","Recommended","Psychotic Disorders: M5b (clinician judgment) Do they currently consider your beliefs strange?","0::2;-999","0=No; 1=Yes; 2=Bizarre; -999=Missing or N/A","pds_mini_5b"
"mini_m6a_c","Integer","","Recommended","Psychotic Disorders: M6a (clinician judgment) Have you ever heard things other people couldn't hear (eg voices)? (bizarre if voices talking to each other or commenting on thoughts/behaviour)","0::2;-999","0=No; 1=Yes; 2=Bizarre; -999=Missing or N/A","miniscreen_19,pds_mini_6"
"mini_m6b_c","Integer","","Recommended","Psychotic Disorders: M6b (clinician judgment) Have you heard these things in the past? (bizarre if voices talking to each other or commenting on thoughts/behaviour)","0::2;-999","0=No; 1=Yes; 2=Bizarre; -999=Missing or N/A","pds_mini_6b"
"mini_m7a_c","Integer","","Recommended","Psychotic Disorders: M7a (clinician judgment) Have you ever had visions when you were awake or have you ever seen things other people couldn't see?","0::2;-999","0=No; 1=Yes; 2=Bizarre; -999=Missing or N/A","miniscreen_20,pds_mini_7"
"mini_m7b_c","Integer","","Recommended","Psychotic Disorders: M7b (clinician judgment) Have you seen these things in the past month?","0::2;-999","0=No; 1=Yes; 2=Bizarre; -999=Missing or N/A","pds_mini_7b"
"mini_m11a","Integer","","Recommended","Psychotic Disorders: M11a Is there at least one YES from M1 to M10b?","0;1","0=no; 1=yes",""
"mini_m11b","Integer","","Recommended","Psychotic Disorders: M11b Are the only symptoms present those identified by the clinician from M1 to M7 and from M8b or M9b or M10b?","0;1","0=no; 1=yes",""
"mini_m12a","Integer","","Recommended","Psychotic Disorders: M12a Were you taking any drugs or medicines just before these symptoms began?","0;1","0=no; 1=yes",""
"mini_m12b","Integer","","Recommended","Psychotic Disorders: M12b Did you have any medical illness just before these symptoms began?","0;1","0=No; 1=Yes",""
"mini_m12c","Integer","","Recommended","Psychotic Disorders: M12c In clinician's judgment, are either of these likely to be direct causes of patient's psychosis?","0;1","0=no; 1=yes",""
"mini_m_org","Integer","","Recommended","Psychotic Disorders: M12d Organic cause ruled out?","0::2","0=no; 1=yes; 2=uncertain",""
"mini_m13a","Integer","","Recommended","Psychotic Disorders: M13a Is M12d coded NO because of a general medical condition?","0;1","0=no; 1=yes",""
"mini_m13b","Integer","","Recommended","Psychotic Disorders: M13b Is M12 coded NO because of a drug?","0;1","0=no; 1=yes",""
"mini_m15a","Integer","","Recommended","Psychotic Disorders: M15a During/after these symptoms, difficulty working, relationships with others, taking care of self? (functional impairment)?","0;1","0=no; 1=yes",""
"mini_m15b","Integer","","Recommended","Psychotic Disorders: M15b How long did these difficulties last (weeks)?","","",""
"mini_m15c","Integer","","Recommended","Psychotic Disorders: M15c Have you been treated with medications or were you hospitalized because of these beliefs or experiences?","0;1","0=no; 1=yes",""
"mini_m15d","Integer","","Recommended","Psychotic Disorders: M15d Longest time treated with medications or hospitalized for these problems (weeks)?","","",""
"mini_m16a","Integer","","Recommended","Psychotic Disorders: M16a Patient reported disability (M15a) or was hospitalized for psychosis (M15c)?","0;1","0=no; 1=yes",""
"mini_m17","Integer","","Recommended","Psychotic Disorders: M17 Total duration of the psychosis (incl. active phase M14, associated difficulties (M15b), psychiatric treatment (M15d)","1::3","1=1 day to <1 month; 2=1 month to <6 months; 3=6 months or longer",""
"mini_m18b","Integer","","Recommended","Psychotic Disorders: M18b Since the first onset how many distinct times did you have significant episodes of these unusual beliefs or experiences?","","",""
"mini_m19a","Integer","","Recommended","Psychotic Disorders (Differential Dx): M19a Current and/or past MDE (A8 = YES)?","0;1","0=no; 1=yes",""
"mini_m19b","Integer","","Recommended","Psychotic Disorders (Differential Dx): M19b Depressed mood (A1 = YES)?","0;1","0=no; 1=yes",""
"mini_m19c","Integer","","Recommended","Psychotic Disorders (Differential Dx): M19c Current and/or past manic episode (D7 = YES)?","0;1","0=no; 1=yes",""
"mini_m19d","Integer","","Recommended","Psychotic Disorders (Differential Dx): M19d Is M19a or M19c coded YES?","0;1","0=no; 1=yes",""
"mini_m20","Integer","","Recommended","Psychotic Disorders (Differential Dx): M20 When having these beliefs/experiences, were you feeling depressed/high/irritable at the same time?","0;1","0=no; 1=yes",""
"mini_m21","Integer","","Recommended","Psychotic Disorders (Differential Dx): M21 Were the beliefs/experiences restricted exclusively to times you were feeling depressed/high/irritable?","0;1","0=no; 1=yes",""
"mini_m22","Integer","","Recommended","Psychotic Disorders (Differential Dx): M22 Have you ever had a period of 2 weeks or more of having these beliefs/experiences when not feeling depressed/high/irritable?","0;1","0=no; 1=yes",""
"mini_m23a","Integer","","Recommended","Psychotic Disorders (Differential Dx): M23a Which lasted longer: these beliefs/experiences or feeling depressed/high/irritable?","1::3","1=mood; 2=beliefs, experiences, 3=same",""
"mini_m23b","Integer","","Recommended","Psychotic Disorders (Differential Dx): M23b Did these beliefs/experiences occur for at least 2 weeks without your feeling depressed/high/irritable?","0;1","0=no; 1=yes",""
"mini_n3_1","Integer","","Recommended","Anorexia Nervosa: N3 In the past 3 months: Have intensely you feared gaining weight or becoming fat, even though you were underweight?","0;1","0=no; 1=yes",""
"mini_n5","Integer","","Recommended","Anorexia Nervosa: N5 Are 1 or more items from N4 coded YES?","0;1","0=no; 1=yes",""
"ano_offset","Integer","","Recommended","Anorexia Nervosa: age of offset","","in years","mini_n_chronol"
"mini_n8","Integer","","Recommended","Anorexia Nervosa: N8 Since the first onset how many distinct illness periods of anorexia did you have?","","",""
"mini_n9","Integer","","Recommended","Anorexia Nervosa: N9 During the past year, for how many months did you have significant symptoms of anorexia?","","",""
"mini_o2_1","Integer","","Recommended","Bulimia Nervosa: O2 In the last 3 months, did you have eating binges as often as twice a week?","0;1","0=no; 1=yes",""
"hxbulage","Integer","","Recommended","Onset of bulimia","","","mini_o_chronol,minibnage"
"mini_o10","Integer","","Recommended","Bulimia Nervosa: O10 Since the first onset how many illness periods of bulimia did you have?","","",""
"mini_o11","Integer","","Recommended","Bulimia Nervosa: O11 During the past year, for how many months did you have significant symptoms of bulimia?","0;1","0=no; 1=yes",""
"mini_p4","Integer","","Recommended","GAD: P4 (functional impairment) Did these symptoms of anxiety cause you significant distress or impair your ability to function at work, socially, or in some other important way?","0;1","0=no; 1=yes",""
"mini_p_org","Integer","","Recommended","GAD: P5 (summary) Organic cause ruled out?","0;1","0=no; 1=yes",""
"mini_p_chronol","Integer","","Recommended","GAD: P8 How old were you when you first began having symptoms of generalized anxiety?","","",""
"mini_p9","Integer","","Recommended","GAD: P9 During the past year, for how many months did you have significant symptoms of generalized anxiety?","","",""
"mini_r1a","Integer","","Recommended","Somatization Disorder: R1a Have you had many physical complaints not clearly related to a specific disease beginning before age 30?","0;1","0=no; 1=yes",""
"mini_r1b","Integer","","Recommended","Somatization Disorder: R1b Did these physical complaints occur over several years?","0;1","0=no; 1=yes",""
"mini_r1c","Integer","","Recommended","Somatization Disorder: R1c Did these complaints lead you to seek treatment?","0;1","0=no; 1=yes",""
"mini_r1d","Integer","","Recommended","Somatization Disorder: R1d (functional impairment) Did these complaints cause significant problems at school, at work, socially, or in other important areas?","0;1","0=no; 1=yes",""
"mini_r2_head","Integer","","Recommended","Somatization Disorder: R2 Did you have pain in your: head?","0;1","0=no; 1=yes",""
"mini_r2_abd","Integer","","Recommended","Somatization Disorder: R2 Did you have pain in your: abdomen?","0;1","0=no; 1=yes",""
"mini_r2_back","Integer","","Recommended","Somatization Disorder: R2 Did you have pain in your: back?","0;1","0=no; 1=yes",""
"mini_r2_jecr","Integer","","Recommended","Somatization Disorder: R2 Did you have pain in your: joints, extremities, chest, rectum?","0;1","0=no; 1=yes",""
"mini_r2_mens","Integer","","Recommended","Somatization Disorder: R2 Did you have pain during menstruation?","0;1","0=no; 1=yes",""
"mini_r2_sex","Integer","","Recommended","Somatization Disorder: R2 Did you have pain during sexual intercourse?","0;1","0=no; 1=yes",""
"mini_r2_urin","Integer","","Recommended","Somatization Disorder: R2 Did you have pain during urination?","0;1","0=no; 1=yes",""
