"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","ndarid,ndarid2,ndarid3"
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"stusdy","String","40","Recommended","Study ID","","",""
"visnum","Float","","Recommended","Numeric Visit Number","","-1.5 = Pre-Screening; -1 = Screening; 0 = Baseline; ## = Visit ## (from 1 to 10); Whole numbers = standard monthly visits; #.001 - #.009 = Unscheduled; #.1 = End of Phase 1; #.2 = End of Phase 2; #.3 = End of Phase 3; #.4 = End of Open Choice Phase; #.5 = End of Study; #.6 = Genetic Analysis; 1000=all visits",""
"aescode","Integer","","Recommended","Staff code number of person completing this form","","999= Missing Data",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"trial1_2min","Integer","","Recommended","2-minute cues: Trial 1","0::2","",""
"trial2_2min","Integer","","Recommended","2-minute cues: Trial 2","0::2","",""
"trial3_2min","Integer","","Recommended","2-minute cues: Trial 3","0::2","",""
"trial7_2min","Integer","","Recommended","2-minute cues: Trial 7","0::2","",""
"total_2min","Integer","","Recommended","2-minute cues: Total","0::8","",""
"trial4_15min","Integer","","Recommended","15-minute cues: Trial 4","0::2","",""
"trial5_15min","Integer","","Recommended","15-minute cues: Trial 5","0::2","",""
"trial6_15min","Integer","","Recommended","15-minute cues: Trial 6","0::2","",""
"trial8_15min","Integer","","Recommended","15-minute cues: Trial 8","0::2","",""
"total_15min","Integer","","Recommended","15-minute cues: Total","0::8","",""
"trial1_time","Integer","","Recommended","Time cues: Trial 1","0::2","",""
"trial4_time","Integer","","Recommended","Time cues: Trial 4","0::2","",""
"trial7_time","Integer","","Recommended","Time cues: Trial 7","0::2","",""
"trial8_time","Integer","","Recommended","Time cues: Trial 8","0::2","",""
"total_time","Integer","","Recommended","Time cues: Total","0::8","",""
"trial2_associative","Integer","","Recommended","Associative cues: Trial 2","0::2","",""
"trial3_associative","Integer","","Recommended","Associative cues: Trial 3","0::2","",""
"trial5_associative","Integer","","Recommended","Associative cues: Trial 5","0::2","",""
"trial6_associative","Integer","","Recommended","Associative cues: Trial 6","0::2","",""
"total_associative","Integer","","Recommended","Associative cues: Total","0::8","",""
"trial1_verbal","Integer","","Recommended","Verbal responses: Trial 1","0::2","",""
"trial3_verbal","Integer","","Recommended","Verbal responses: Trial 3","0::2","",""
"trial4_verbal","Integer","","Recommended","Verbal responses: Trial 4","0::2","",""
"trial7_verbal","Integer","","Recommended","Verbal responses: Trial 7","0::2","",""
"total_verbal","Integer","","Recommended","Verbal responses: Total","0::8","",""
"trial2_action","Integer","","Recommended","Action responses: Trial 2","0::2","",""
"trial5_action","Integer","","Recommended","Action responses: Trial 5","0::2","",""
"trial6_action","Integer","","Recommended","Action responses: Trial 6","0::2","",""
"trial8_action","Integer","","Recommended","Action responses: Trial 8","0::2","",""
"total_action","Integer","","Recommended","Action responses: Total","0::8","",""
"mist_summaryscore","Float","","Recommended","MIST Summary Score","","",""
"recognition_score","Integer","","Recommended","Recognition Score","","",""
"mist_24h","Integer","","Recommended","24-hour Prospective Task Score","","",""
"call_date","Date","","Recommended","Date of call","","",""
"lifeline_007","String","25","Recommended","Time of Call Start","","",""
"lifeline_008","String","25","Recommended","Time of Call End","","",""
"comments1","String","1000","Recommended","Comments 1","","","response"
"pmpct","Float","","Recommended","PM Errors %","","",""
"tspct","Float","","Recommended","Task Sub Errors %","","",""
"lcpct","Float","","Recommended","Loss Content Errors %","","",""
"ltpct","Float","","Recommended","Loss Time Errors %","","",""
"plopct","Float","","Recommended","Place Losing Omission Errors %","","",""
"plrpct","Float","","Recommended","Place Losing Repetition Errors %","","",""
"rpct","Float","","Recommended","Random Errors %","","",""
