"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"ancitx1","String","100","Recommended","description of treatment","","",""
"mlt_te01","Integer","","Recommended","How much sense does this type of treatment make to you?","0::10","0= No sense at all; 5= Some sense; 10= Perfect Sence","txsense"
"mlt_te02","Integer","","Recommended","How well do you think this treatment will work to help reduce your symptoms","0::10","0= Not well at all; 5= Could go either way; 10= Very well","tximprove"
"mlt_te03","Integer","","Recommended","How likely would you be to tell a friend or family member with similar symptoms to get this kind of treatment?","0::10","0= Not likely at all; 5= Somewhat likely; 10= Very Likely","txrecommend"
"mlt_te04","Integer","","Recommended","How much do you think your symptoms will be reduced by the end of treatment?","0::10","0= Not at all reduced; 5= Somewhat reduced; 10= Very reduced","txsympreduct"
"mlt_te05","Integer","","Recommended","How important is it to you that you learn to manage your symptoms better?","0::10","0= Not important at all; 5= About as important as most of the things I would like to achieve now; 10= Most important thing in my life","sympmgmt"
"mlt_tsq01","Integer","","Recommended","How satisfied were you with the light treatment?","1::10","1= Not satisfied at all; 10= Extremely Satisfied","txsatisfied"
"mlt_tsq02","String","200","Recommended","What was the best thing about the light treatment","","","txbest"
"mlt_tsq03","String","50","Recommended","What was the worst thing about the light treatment","","","txworst"
