"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"mfq30_01","Integer","","Recommended","Whether or not someone suffered emotionally","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_02","Integer","","Recommended","Whether or not some people were treated differently than others","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_03","Integer","","Recommended","Whether or not someone's action showed love for his or her country","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_04","Integer","","Recommended","Whether or not someone showed a lack of respect for authority","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_05","Integer","","Recommended","Whether or not someone violated standards of purity and decency","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_06","Integer","","Recommended","Whether or not someone was good at math","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_07","Integer","","Recommended","Whether or not someone cared for someone weak or vulnerable","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_08","Integer","","Recommended","Whether or not someone acted unfairly","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_09","Integer","","Recommended","Whether or not someone did something to betray his or her group","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_10","Integer","","Recommended","Whether or not someone conformed to the traditions of society","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_11","Integer","","Recommended","Whether or not someone did something disgusting","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_12","Integer","","Recommended","Whether or not someone was cruel","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_13","Integer","","Recommended","Whether or not someone was denied his or her rights","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_14","Integer","","Recommended","Whether or not someone showed a lack of loyalty","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_15","Integer","","Recommended","Whether or not an action caused chaos or disorder","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_16","Integer","","Recommended","Whether or not someone acted in a way that God would approve of","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_17","Integer","","Recommended","Compassion for those who are suffering is the most crucial virtue","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_18","Integer","","Recommended","When the government makes laws, the number one principle should be ensuring that everyone is treated fairly","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_19","Integer","","Recommended","I am proud of my country's history","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_20","Integer","","Recommended","Respect for authority is something all children need to learn","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_21","Integer","","Recommended","People should not do things that are disgusting, even if no one is harmed","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_22","Integer","","Recommended","It is better to do good than to do bad","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_23","Integer","","Recommended","One of the worst things a person could do is hurt a defenseless animal","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_24","Integer","","Recommended","Justice is the most important requirement for a society","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_25","Integer","","Recommended","People should be loyal to their family members, even when they have done something wrong","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_26","Integer","","Recommended","Men and women each have different roles to play in society","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_27","Integer","","Recommended","I would call some acts wrong on the grounds that they are unnatural","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_28","Integer","","Recommended","It can never be right to kill a human being","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_29","Integer","","Recommended","I think it's morally wrong that rich children inherit a lot of money while poor children inherit nothing","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_30","Integer","","Recommended","It is more important to be a team player than to express oneself","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_31","Integer","","Recommended","If I were a soldier and disagreed with my commanding officer's orders, I would obey anyway because that is my duty","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq30_32","Integer","","Recommended","Chastity is an important and valuable virtue","0::7","0= Not at all relevant; 1= Not very relevant; 2= Slightly relevant; 3= Somewhat relevant; 4= Very relevant; 5= Extremely relevant; 6= Don't Know; 7 = Missing Data",""
"mfq_17","Integer","","Recommended","Compassion for those who are suffering is the most crucial virtue","0::5","0 = Strongly disagree; 1 = Moderately disagree; 2 = Slightly disagree; 3 = Slightly agree; 4 = Moderately agree; 5 = Strongly agree",""
"mfq_18","Integer","","Recommended","When the government makes laws, the number one principle should be ensuring that everyone is treated fairly","0::5","0 = Strongly disagree; 1 = Moderately disagree; 2 = Slightly disagree; 3 = Slightly agree; 4 = Moderately agree; 5 = Strongly agree",""
"mfq_19","Integer","","Recommended","I am proud of my country's history","0::5","0 = Strongly disagree; 1 = Moderately disagree; 2 = Slightly disagree; 3 = Slightly agree; 4 = Moderately agree; 5 = Strongly agree",""
"mfq_20","Integer","","Recommended","Respect for authority is something all children need to learn","0::5","0 = Strongly disagree; 1 = Moderately disagree; 2 = Slightly disagree; 3 = Slightly agree; 4 = Moderately agree; 5 = Strongly agree",""
"mfq_21","Integer","","Recommended","People should not do things that are disgusting, even if no one is harmed","0::5","0 = Strongly disagree; 1 = Moderately disagree; 2 = Slightly disagree; 3 = Slightly agree; 4 = Moderately agree; 5 = Strongly agree",""
"mfq_22","Integer","","Recommended","It is better to do good than to do bad","0::5","0 = Strongly disagree; 1 = Moderately disagree; 2 = Slightly disagree; 3 = Slightly agree; 4 = Moderately agree; 5 = Strongly agree",""
"mfq_23","Integer","","Recommended","One of the worst things a person could do is hurt a defenseless animal","0::5","0 = Strongly disagree; 1 = Moderately disagree; 2 = Slightly disagree; 3 = Slightly agree; 4 = Moderately agree; 5 = Strongly agree",""
"mfq_24","Integer","","Recommended","Justice is the most important requirement for a society","0::5","0 = Strongly disagree; 1 = Moderately disagree; 2 = Slightly disagree; 3 = Slightly agree; 4 = Moderately agree; 5 = Strongly agree",""
"mfq_25","Integer","","Recommended","People should be loyal to their family members, even when they have done something wrong","0::5","0 = Strongly disagree; 1 = Moderately disagree; 2 = Slightly disagree; 3 = Slightly agree; 4 = Moderately agree; 5 = Strongly agree",""
"mfq_26","Integer","","Recommended","Men and women each have different roles to play in society","0::5","0 = Strongly disagree; 1 = Moderately disagree; 2 = Slightly disagree; 3 = Slightly agree; 4 = Moderately agree; 5 = Strongly agree",""
"mfq_27","Integer","","Recommended","I would call some acts wrong on the grounds that they are unnatural","0::5","0 = Strongly disagree; 1 = Moderately disagree; 2 = Slightly disagree; 3 = Slightly agree; 4 = Moderately agree; 5 = Strongly agree",""
"mfq_28","Integer","","Recommended","It can never be right to kill a human being","0::5","0 = Strongly disagree; 1 = Moderately disagree; 2 = Slightly disagree; 3 = Slightly agree; 4 = Moderately agree; 5 = Strongly agree",""
