"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","guid"
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","clinical_barcode"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","bl_visit_date,visit_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","ch_age"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","ch_sex,gender"
"visnum","Float","","Recommended","Numeric Visit Number","","-1.5 = Pre-Screening; -1 = Screening; 0 = Baseline; ## = Visit ## (from 1 to 10); Whole numbers = standard monthly visits; #.001 - #.009 = Unscheduled; #.1 = End of Phase 1; #.2 = End of Phase 2; #.3 = End of Phase 3; #.4 = End of Open Choice Phase; #.5 = End of Study; #.6 = Genetic Analysis; 1000=all visits","visit_number"
"mpvs_1","Integer","","Recommended","Called me names","0::2; 9999","0=Not at all, 1=Once, 2=More than once, 9999=I do not wish to answer","victim_q1"
"mpvs_2","Integer","","Recommended","Tried to get me into trouble with my friends","0::2; 9999","0=Not at all, 1=Once, 2=More than once, 9999=I do not wish to answer","victim_q2"
"mpvs_3","Integer","","Recommended","Took something of mine without permission","0::2; 9999","0=Not at all, 1=Once, 2=More than once, 9999=I do not wish to answer","victim_q3"
"mpvs_4","Integer","","Recommended","Made fun of me because of my appearance","0::2; 9999","0=Not at all, 1=Once, 2=More than once, 9999=I do not wish to answer","victim_q4"
"mpvs_5","Integer","","Recommended","Made fun of me for some reason","0::2; 9999","0=Not at all, 1=Once, 2=More than once, 9999=I do not wish to answer","victim_q5"
"mpvs_6","Integer","","Recommended","Punched me","0::2; 9999","0=Not at all, 1=Once, 2=More than once, 9999=I do not wish to answer","victim_q6"
"mpvs_7","Integer","","Recommended","Kicked me","0::2; 9999","0=Not at all, 1=Once, 2=More than once, 9999=I do not wish to answer","victim_q7"
"mpvs_8","Integer","","Recommended","Hurt me physically in some way","0::2; 9999","0=Not at all, 1=Once, 2=More than once, 9999=I do not wish to answer","victim_q8"
"mpvs_9","Integer","","Recommended","Beat me up","0::2; 9999","0=Not at all, 1=Once, 2=More than once, 9999=I do not wish to answer","victim_q9"
"mpvs_10","Integer","","Recommended","Tried to break something of mine","0::2; 9999","0=Not at all, 1=Once, 2=More than once, 9999=I do not wish to answer","victim_q10"
"mpvs_11","Integer","","Recommended","Tried to make my friends turn against me","0::2; 9999","0=Not at all, 1=Once, 2=More than once, 9999=I do not wish to answer","victim_q11"
"mpvs_12","Integer","","Recommended","Stole something from me","0::2; 9999","0=Not at all, 1=Once, 2=More than once, 9999=I do not wish to answer","victim_q12"
"mpvs_13","Integer","","Recommended","Refused to talk to me","0::2; 9999","0=Not at all, 1=Once, 2=More than once, 9999=I do not wish to answer","victim_q13"
"mpvs_14","Integer","","Recommended","Made other people not talk to me","0::2; 9999","0=Not at all, 1=Once, 2=More than once, 9999=I do not wish to answer","victim_q14"
"mpvs_15","Integer","","Recommended","Deliberately damaged some property of mine","0::2; 9999","0=Not at all, 1=Once, 2=More than once, 9999=I do not wish to answer","victim_q15"
"mpvs_16","Integer","","Recommended","Swore at me","0::2; 9999","0=Not at all, 1=Once, 2=More than once, 9999=I do not wish to answer","victim_q16"
"physical_victim","Integer","","Recommended","Physical victimization scale","0::8","","physical_victimization"
"verbal_victim","Integer","","Recommended","Verbal victimization scale","0::8","","verbal_victimization"
"social_victim","Integer","","Recommended","Social victimization scale","0::8","","social_manipulation,social_victimization"
"property_victim","Integer","","Recommended","Property victimization scale","0::8","","attacks_on_property"
"mpvs_total","Integer","","Recommended","MPVS Total Victimization Score","0::32","",""
"rspvs8","Integer","","Recommended","How often do others send you a text message or instant message to make you upset?","1::7","1= Never; 2= Once a year; 3= 2 to 3 times a year; 4= 4 to 6 times a year; 5= Once or twice a month; 6= Once or twice a week; 7= Almost every day",""
"rspvs9","Integer","","Recommended","How often do others try to turn your friends against you?","1::7","1= Never; 2= Once a year; 3= 2 to 3 times a year; 4= 4 to 6 times a year; 5= Once or twice a month; 6= Once or twice a week; 7= Almost every day",""
"rspvs10","Integer","","Recommended","How often do others slap, punch, or kick you?","1::7","1= Never; 2= Once a year; 3= 2 to 3 times a year; 4= 4 to 6 times a year; 5= Once or twice a month; 6= Once or twice a week; 7= Almost every day",""
"rspvs11","Integer","","Recommended","How often do others post something negative on social media (e.g. Twitter/Facebook) to hurt you?","1::7","1= Never; 2= Once a year; 3= 2 to 3 times a year; 4= 4 to 6 times a year; 5= Once or twice a month; 6= Once or twice a week; 7= Almost every day",""
"rspvs12","Integer","","Recommended","How often do others hurt your feelings by excluding you or leaving you out?","1::7","1= Never; 2= Once a year; 3= 2 to 3 times a year; 4= 4 to 6 times a year; 5= Once or twice a month; 6= Once or twice a week; 7= Almost every day",""
"rspvs13","Integer","","Recommended","How often do others tease you to make  you feel bad?","1::7","1= Never; 2= Once a year; 3= 2 to 3 times a year; 4= 4 to 6 times a year; 5= Once or twice a month; 6= Once or twice a week; 7= Almost every day",""
"rspvs14","Integer","","Recommended","How often do others bully or pick on you (physically or emotionally)?","1::7","1= Never; 2= Once a year; 3= 2 to 3 times a year; 4= 4 to 6 times a year; 5= Once or twice a month; 6= Once or twice a week; 7= Almost every day",""
"rspvs15","Integer","","Recommended","How often do others make fun of the way you act?","1::7","1= Never; 2= Once a year; 3= 2 to 3 times a year; 4= 4 to 6 times a year; 5= Once or twice a month; 6= Once or twice a week; 7= Almost every day",""
"rspvs16","Integer","","Recommended","How often do you get teased or made fun of when you try to hang out with others?","1::7","1= Never; 2= Once a year; 3= 2 to 3 times a year; 4= 4 to 6 times a year; 5= Once or twice a month; 6= Once or twice a week; 7= Almost every day",""
"rspvs17","Integer","","Recommended","How often do others say mean things to you when you try to be their friend?","1::7","1= Never; 2= Once a year; 3= 2 to 3 times a year; 4= 4 to 6 times a year; 5= Once or twice a month; 6= Once or twice a week; 7= Almost every day",""
"rspvs18","Integer","","Recommended","How often do others make fun of or tease you when you talk to them?","1::7","1= Never; 2= Once a year; 3= 2 to 3 times a year; 4= 4 to 6 times a year; 5= Once or twice a month; 6= Once or twice a week; 7= Almost every day",""
"rspvs1","Integer","","Recommended","How often do you think others gossip or say mean things about you?","1::7","1= Never; 2= Once a year; 3= 2 to 3 times a year; 4= 4 to 6 times a year; 5= Once or twice a month; 6= Once or twice a week; 7= Almost every day",""
"rspvs2","Integer","","Recommended","How often do others post pictures or videos of you online to hurt your feelings?","1::7","1= Never; 2= Once a year; 3= 2 to 3 times a year; 4= 4 to 6 times a year; 5= Once or twice a month; 6= Once or twice a week; 7= Almost every day",""
"rspvs3","Integer","","Recommended","How often do others call you names?","1::7","1= Never; 2= Once a year; 3= 2 to 3 times a year; 4= 4 to 6 times a year; 5= Once or twice a month; 6= Once or twice a week; 7= Almost every day",""
"rspvs4","Integer","","Recommended","How often do others push or shove you?","1::7","1= Never; 2= Once a year; 3= 2 to 3 times a year; 4= 4 to 6 times a year; 5= Once or twice a month; 6= Once or twice a week; 7= Almost every day",""
"rspvs5","Integer","","Recommended","How often do others talk about you behind your back?","1::7","1= Never; 2= Once a year; 3= 2 to 3 times a year; 4= 4 to 6 times a year; 5= Once or twice a month; 6= Once or twice a week; 7= Almost every day",""
"rspvs6","Integer","","Recommended","How often do others post comments online to embarrass you?","1::7","1= Never; 2= Once a year; 3= 2 to 3 times a year; 4= 4 to 6 times a year; 5= Once or twice a month; 6= Once or twice a week; 7= Almost every day",""
"rspvs7","Integer","","Recommended","How often do others tell mean jokes about you?","1::7","1= Never; 2= Once a year; 3= 2 to 3 times a year; 4= 4 to 6 times a year; 5= Once or twice a month; 6= Once or twice a week; 7= Almost every day",""
"mpvs_schoolyear_8","Integer","","Recommended","How often during the last school year has another pupil tried to break something of mine?","0::2","0 = Not at all; 1 = Once; 2 = More than once",""
"mpvs_schoolyear_9","Integer","","Recommended","How often during the last school year has another pupil hurt me physically in some way?","0::2","0 = Not at all; 1 = Once; 2 = More than once",""
"mpvs_schoolyear_10","Integer","","Recommended","How often during the last school year when I tried to play with one person, another person would not let me?","0::2","0 = Not at all; 1 = Once; 2 = More than once",""
"mpvs_schoolyear_11","Integer","","Recommended","How often during the last school year has another pupil made fun of me for some reason?","0::2","0 = Not at all; 1 = Once; 2 = More than once",""
"mpvs_schoolyear_12","Integer","","Recommended","How often during the last school year has another pupil stole something from me?","0::2","0 = Not at all; 1 = Once; 2 = More than once",""
"mpvs_schoolyear_13","Integer","","Recommended","How often during the last school year has another pupil beat me up?","0::2","0 = Not at all; 1 = Once; 2 = More than once",""
"mpvs_schoolyear_14","Integer","","Recommended","How often during the last school year has another pupil made other people not talk to me?","0::2","0 = Not at all; 1 = Once; 2 = More than once",""
"mpvs_schoolyear_15","Integer","","Recommended","How often during the last school year has another pupil swore at me?","0::2","0 = Not at all; 1 = Once; 2 = More than once",""
"mpvs_schoolyear_16","Integer","","Recommended","How often during the last school year has another pupil deliberately damaged some property of mine?","0::2","0 = Not at all; 1 = Once; 2 = More than once",""
"mpvs_schoolyear_17","Integer","","Recommended","How often during the last school year has another pupil sent me a nasty text?","0::2","0 = Not at all; 1 = Once; 2 = More than once",""
"mpvs_schoolyear_18","Integer","","Recommended","How often during the last school year has another pupil ignored me?","0::2","0 = Not at all; 1 = Once; 2 = More than once",""
"mpvs_schoolyear_19","Integer","","Recommended","How often during the last school year has another pupil said something mean about me on a social networking site?","0::2","0 = Not at all; 1 = Once; 2 = More than once",""
"mpvs_schoolyear_20","Integer","","Recommended","How often during the last school year has another pupil refused to talk to me?","0::2","0 = Not at all; 1 = Once; 2 = More than once",""
"mpvs_schoolyear_21","Integer","","Recommended","How often during the last school year has another pupil wrote spiteful things about me in a chatroom?","0::2","0 = Not at all; 1 = Once; 2 = More than once",""
"mpvs_schoolyear_22","Integer","","Recommended","How often during the last school year has another pupil would not let me join in their game?","0::2","0 = Not at all; 1 = Once; 2 = More than once",""
