"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","",""
"iqc_t1_1_suid","String","200","Recommended","T1 #1: Study instance UID","","",""
"iqc_t1_1_seuid","String","200","Recommended","T1 #1: Series instance UID","","",""
"iqc_t1_1_studydate","Date","","Recommended","T1 #1: Study date","","",""
"iqc_t1_1_seriestime","String","30","Recommended","T1 #1: Series time","","",""
"iqc_t1_1_qc_score","Integer","","Recommended","T1 #1: QC score of 1 (pass) or 0 (fail)","0;1","0=Fail; 1=Pass",""
"iqc_t1_1_pc_score","Integer","","Recommended","T1 #1: Protocol compliance score of 1 (pass) or 0 (fail)","0;1","0=Fail; 1=Pass",""
"iqc_t1_1_complete","Integer","","Recommended","T1 #1: DAIC received correct number of files for this series (1=pass, 0=fail)","0;1","0=Fail; 1=Pass",""
"iqc_t1_1_voxvol","Float","","Recommended","T1 #1: Volume of single voxel (mm^3)","","",""
"iqc_t1_1_brainvol","Float","","Recommended","T1 #1: Volume of brain mask (mm^3)","","",""
"iqc_t1_1_brain_mean","Float","","Recommended","T1 #1: Mean intensity within brain mask","","",""
"iqc_t1_1_brain_std","Float","","Recommended","T1 #1: Standard deviation of intensities within brain mask","","",""
"iqc_t1_2_suid","String","200","Recommended","T1 #2: Study instance UID","","",""
"iqc_t1_2_seuid","String","200","Recommended","T1 #2: Series instance UID","","",""
"iqc_t1_2_studydate","Date","","Recommended","T1 #2: Study date","","",""
"iqc_t1_2_seriestime","String","30","Recommended","T1 #2: Series time","","",""
"iqc_t1_2_qc_score","Integer","","Recommended","T1 #2: QC score of 1 (pass) or 0 (fail)","0;1","0=Fail; 1=Pass",""
"iqc_t1_2_pc_score","Integer","","Recommended","T1 #2: Protocol compliance score of 1 (pass) or 0 (fail)","0;1","0=Fail; 1=Pass",""
"iqc_t1_2_complete","Integer","","Recommended","T1 #2: DAIC received correct number of files for this series (1=pass, 0=fail)","0;1","0=Fail; 1=Pass",""
"iqc_t1_2_voxvol","Float","","Recommended","T1 #2: Volume of single voxel (mm^3)","","",""
"iqc_t1_2_brainvol","Float","","Recommended","T1 #2: Volume of brain mask (mm^3)","","",""
"iqc_t1_2_brain_mean","Float","","Recommended","T1 #2: Mean intensity within brain mask","","",""
"iqc_t1_2_brain_std","Float","","Recommended","T1 #2: Standard deviation of intensities within brain mask","","",""
"iqc_t1_3_suid","String","200","Recommended","T1 #3: Study instance UID","","",""
"iqc_t1_3_seuid","String","200","Recommended","T1 #3: Series instance UID","","",""
"iqc_t1_3_studydate","Date","","Recommended","T1 #3: Study date","","",""
"iqc_t1_3_seriestime","String","30","Recommended","T1 #3: Series time","","",""
"iqc_t1_3_qc_score","Integer","","Recommended","T1 #3: QC score of 1 (pass) or 0 (fail)","0;1","0=Fail; 1=Pass",""
"iqc_t1_3_pc_score","Integer","","Recommended","T1 #3: Protocol compliance score of 1 (pass) or 0 (fail)","0;1","0=Fail; 1=Pass",""
"iqc_t1_3_complete","Integer","","Recommended","T1 #3: DAIC received correct number of files for this series (1=pass, 0=fail)","0;1","0=Fail; 1=Pass",""
"iqc_t1_3_voxvol","Float","","Recommended","T1 #3: Volume of single voxel (mm^3)","","",""
"iqc_t1_3_brainvol","Float","","Recommended","T1 #3: Volume of brain mask (mm^3)","","",""
"iqc_t1_3_brain_mean","Float","","Recommended","T1 #3: Mean intensity within brain mask","","",""
"iqc_t1_3_brain_std","Float","","Recommended","T1 #3: Standard deviation of intensities within brain mask","","",""
"iqc_t1_total_ser","Float","30","Recommended","T1: Total number received","","",""
"iqc_t1_total_passpc","Float","","Recommended","T1: Number that passed protocol compliance","","",""
"iqc_t1_total_passqc","Float","","Recommended","T1: Number that passed visual quality control (QC)","","",""
"iqc_t1_good_ser","Float","","Recommended","T1: Number that passed protocol compliance and QC","","",""
"iqc_t1_ok_ser","Float","","Recommended","T1: Number of series that are complete and passed QC (ignoring PC)","","",""
"iqc_t1_bad_ser","Float","30","Recommended","T1: Number that failed either protocol compliance or QC","","",""
"iqc_t1_ser_pc_issues","Float","30","Recommended","T1: Number with protocol compliance issues","","",""
"iqc_t1_ser_qcs","Float","30","Recommended","T1: Number with QC issues","","",""
"iqc_t1_ser_incomp","Float","30","Recommended","T1: Number of series missing files at DAIC","","",""
"iqc_t1_mo_qc","Float","30","Recommended","T1: Number with motion artifact","","",""
"iqc_t1_sus_qc","Float","30","Recommended","T1: Number with susceptibility artifact","","",""
"iqc_t1_other_qc","Float","30","Recommended","T1: Number with other QC issue","","",""
"iqc_t1_all_voxvol","Float","","Recommended","T1: Mean volume of single voxel averaged across all scans (mm^3)","","",""
"iqc_t1_ok_voxvol","Float","","Recommended","T1: Mean volume of single voxel averaged across all OK scans (mm^3)","","",""
"iqc_t1_all_brainvol","Float","","Recommended","T1: Mean volume of brain mask averaged across all scans (mm^3)","","",""
"iqc_t1_ok_brainvol","Float","","Recommended","T1: Mean volume of brain mask averaged across all OK scans (mm^3)","","",""
"iqc_t1_all_brain_mean","Float","","Recommended","T1: Mean intensity within brain mask averaged across all scans","","",""
"iqc_t1_ok_brain_mean","Float","","Recommended","T1: Mean intensity within brain mask averaged across all OK scans","","",""
"iqc_t1_all_brain_std","Float","","Recommended","T1: Standard deviation of intensities within brain mask averaged across all scans","","",""
"iqc_t1_ok_brain_std","Float","","Recommended","T1: Standard deviation of intensities within brain mask averaged across all OK scans","","",""
"iqc_t2_1_suid","String","200","Recommended","T2 #1: Study instance UID","","",""
"iqc_t2_1_seuid","String","200","Recommended","T2 #1: Series instance UID","","",""
"iqc_t2_1_studydate","Date","","Recommended","T2 #1: Study date","","",""
"iqc_t2_1_seriestime","String","30","Recommended","T2 #1: Series time","","",""
"iqc_t2_1_qc_score","Integer","","Recommended","T2 #1: QC score of 1 (pass) or 0 (fail)","0;1","0=Fail; 1=Pass",""
"iqc_t2_1_pc_score","Integer","","Recommended","T2 #1: Protocol compliance score of 1 (pass) or 0 (fail)","0;1","0=Fail; 1=Pass",""
"iqc_t2_1_complete","Integer","","Recommended","T2 #1: DAIC received correct number of files for this series (1=pass, 0=fail)","0;1","0=Fail; 1=Pass",""
"iqc_t2_1_voxvol","Float","","Recommended","T2 #1: Volume of single voxel (mm^3)","","",""
"iqc_t2_1_brainvol","Float","","Recommended","T2 #1: Volume of brain mask (mm^3)","","",""
"iqc_t2_1_brain_mean","Float","","Recommended","T2 #1: Mean intensity within brain mask","","",""
"iqc_t2_1_brain_std","Float","","Recommended","T2 #1: Standard deviation of intensities within brain mask","","",""
"iqc_t2_2_suid","String","200","Recommended","T2 #2: Study instance UID","","",""
"iqc_t2_2_seuid","String","200","Recommended","T2 #2: Series instance UID","","",""
"iqc_t2_2_studydate","Date","","Recommended","T2 #2: Study date","","",""
"iqc_t2_2_seriestime","String","30","Recommended","T2 #2: Series time","","",""
"iqc_t2_2_qc_score","Integer","","Recommended","T2 #2: QC score of 1 (pass) or 0 (fail)","0;1","0=Fail; 1=Pass",""
"iqc_t2_2_pc_score","Integer","","Recommended","T2 #2: Protocol compliance score of 1 (pass) or 0 (fail)","0;1","0=Fail; 1=Pass",""
"iqc_t2_2_complete","Integer","","Recommended","T2 #2: DAIC received correct number of files for this series (1=pass, 0=fail)","0;1","0=Fail; 1=Pass",""
"iqc_t2_2_voxvol","Float","","Recommended","T2 #2: Volume of single voxel (mm^3)","","",""
"iqc_t2_2_brainvol","Float","","Recommended","T2 #2: Volume of brain mask (mm^3)","","",""
"iqc_t2_2_brain_mean","Float","","Recommended","T2 #2: Mean intensity within brain mask","","",""
"iqc_t2_2_brain_std","Float","","Recommended","T2 #2: Standard deviation of intensities within brain mask","","",""
"iqc_t2_3_suid","String","200","Recommended","T2 #3: Study instance UID","","",""
"iqc_t2_3_seuid","String","200","Recommended","T2 #3: Series instance UID","","",""
"iqc_t2_3_studydate","Date","","Recommended","T2 #3: Study date","","",""
"iqc_t2_3_seriestime","String","30","Recommended","T2 #3: Series time","","",""
"iqc_t2_3_qc_score","Integer","","Recommended","T2 #3: QC score of 1 (pass) or 0 (fail)","0;1","0=Fail; 1=Pass",""
"iqc_t2_3_pc_score","Integer","","Recommended","T2 #3: Protocol compliance score of 1 (pass) or 0 (fail)","0;1","0=Fail; 1=Pass",""
"iqc_t2_3_complete","Integer","","Recommended","T2 #3: DAIC received correct number of files for this series (1=pass, 0=fail)","0;1","0=Fail; 1=Pass",""
"iqc_t2_3_voxvol","Float","","Recommended","T2 #3: Volume of single voxel (mm^3)","","",""
"iqc_t2_3_brainvol","Float","","Recommended","T2 #3: Volume of brain mask (mm^3)","","",""
"iqc_t2_3_brain_mean","Float","","Recommended","T2 #3: Mean intensity within brain mask","","",""
"iqc_t2_3_brain_std","Float","","Recommended","T2 #3: Standard deviation of intensities within brain mask","","",""
"iqc_t2_total_ser","Float","30","Recommended","T2: Total number received","","",""
"iqc_t2_total_passpc","Float","","Recommended","T2: Number that passed protocol compliance","","",""
"iqc_t2_total_passqc","Float","","Recommended","T2: Number that passed visual quality control (QC)","","",""
"iqc_t2_good_ser","Float","","Recommended","T2: Number that passed protocol compliance and QC","","",""
"iqc_t2_ok_ser","Float","","Recommended","T2: Number of series that are complete and passed QC (ignoring PC)","","",""
"iqc_t2_bad_ser","Float","30","Recommended","T2: Number that failed either protocol compliance or QC","","",""
"iqc_t2_ser_pc_issues","Float","30","Recommended","T2: Number with protocol compliance issues","","",""
"iqc_t2_ser_qcs","Float","30","Recommended","T2: Number with QC issues","","",""
"iqc_t2_ser_incomp","Float","30","Recommended","T2: Number of series missing files at DAIC","","",""
"iqc_t2_mo_qc","Float","30","Recommended","T2: Number with motion artifact","","",""
"iqc_t2_sus_qc","Float","30","Recommended","T2: Number with susceptibility artifact","","",""
"iqc_t2_other_qc","Float","30","Recommended","T2: Number with other QC issue","","",""
"iqc_t2_all_voxvol","Float","","Recommended","T2: Mean volume of single for all scans (mm^3)","","",""
"iqc_t2_ok_voxvol","Float","","Recommended","T2: Mean volume of single voxel averaged across all OK scans (mm^3)","","",""
"iqc_t2_all_brainvol","Float","","Recommended","T2: Mean volume of brain mask averaged across all scans (mm^3)","","",""
"iqc_t2_ok_brainvol","Float","","Recommended","T2: Mean volume of brain mask averaged across all OK scans (mm^3)","","",""
"iqc_t2_all_brain_mean","Float","","Recommended","T2: Mean intensity within brain mask averaged across all scans","","",""
"iqc_t2_ok_brain_mean","Float","","Recommended","T2: Mean intensity within brain mask averaged across all OK scans","","",""
"iqc_t2_all_brain_std","Float","","Recommended","T2: Standard deviation of intensities within brain mask averaged across all scans","","",""
