"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","case_id,individual,measure_individual,srs_2005_src_subject_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","date_of_evaluation,measure_date_of_evaluation,srs_2005_interview_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","bslage,eval_age_months,measure_eval_age_months,srs_2005_interview_age"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"bpd1","Integer","","Recommended","Have any of your closest relationships been troubled by a lot of arguments or repeated breakups?","0;1","0=No; 1=Yes","19500,msibpd_1"
"bpd2","Integer","","Recommended","Have you deliberately hurt yourself physically (e.g., punched yourself, cut yourself, burned yourself)? How about made a suicide attempt?","0;1","0=No; 1=Yes","msibpd_2"
"bpd3","Integer","","Recommended","Have you had at least two other problems with impulsivity (e.g., eating binges and spending sprees, drinking too much and verbal outbursts)?","0;1","0=No; 1=Yes","19503,msibpd_3"
"bpd4","Integer","","Recommended","Have you been extremely moody?","0;1","0=No; 1=Yes","19504,msibpd_4"
"bpd5","Integer","","Recommended","Have you felt very angry a lot of the time? How about often acted in an angry or sarcastic manner?","0;1","0=No; 1=Yes","19505,msibpd_5"
"bpd6","Integer","","Recommended","Have you often been distrustful of other people?","0;1","0=No; 1=Yes","19506,msibpd_6"
"bpd7","Integer","","Recommended","Have you frequently felt unreal or as if things around  you were unreal?","0;1","0=No; 1=Yes","19507,msibpd_7"
"bpd8","Integer","","Recommended","Have you chronically felt empty?","0;1","0=No; 1=Yes","19508,msibpd_8"
"bpd9","Integer","","Recommended","Have you often felt that you had no idea of who you are or that you have no identity?","0;1","0=No; 1=Yes","19509,msibpd_9"
"bpd10","Integer","","Recommended","Have you made desperate efforts to avoid feeling abandoned or being abandoned (e.g., repeatedly called someone to reassure yourself that he or she still cared, begged them not to leave you, clung to them physically)?","0;1","0=No; 1=Yes","19510,msibpd_10"
"bpd_tot","Integer","","Recommended","BPD total score","","","19511"
"timepoint","Integer","","Recommended","Timepoint","0::8","0=Screening; 1=Intake; 2=3 months; 3=6 months; 4=9 months; 5=12 months; 6=24 months; 7 = pre-intervention; 8 = post-intervention",""
