"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"msss_a","Integer","","Recommended","For each of the following statements, please indicate how you feel about the support you have right now: I have good friends who support me.","0::5; -99","0=Not applicable; 1=Never; 2=Rarely; 3=Some of the time; 4=Most of the time; 5=Always; -99=Skipped or left unanswered",""
"msss_b","Integer","","Recommended","For each of the following statements, please indicate how you feel about the support you have right now: My family is always there for me.","0::5; -99","0=Not applicable; 1=Never; 2=Rarely; 3=Some of the time; 4=Most of the time; 5=Always; -99=Skipped or left unanswered",""
"msss_c","Integer","","Recommended","For each of the following statements, please indicate how you feel about the support you have right now: My husband/partner helps me a lot.","0::5; -99","0=Not applicable; 1=Never; 2=Rarely; 3=Some of the time; 4=Most of the time; 5=Always; -99=Skipped or left unanswered",""
"msss_d","Integer","","Recommended","For each of the following statements, please indicate how you feel about the support you have right now: There is conflict with my husband/partner.","0::5; -99","Item is reverse-scored. 0=Not applicable; 1=Always; 2=Most of the time; 3=Some of the time; 4=Rarely; 5=Never; -99=Skipped or left unanswered",""
"msss_e","Integer","","Recommended","For each of the following statements, please indicate how you feel about the support you have right now: I feel controlled by my husband/partner.","0::5; -99","Item is reverse-scored. 0=Not applicable; 1=Always; 2=Most of the time; 3=Some of the time; 4=Rarely; 5=Never; -99=Skipped or left unanswered",""
"msss_f","Integer","","Recommended","For each of the following statements, please indicate how you feel about the support you have right now: I feel loved by my husband/partner.","0::5; -99","0=Not applicable; 1=Never; 2=Rarely; 3=Some of the time; 4=Most of the time; 5=Always; -99=Skipped or left unanswered",""
"msss_total","Integer","","Recommended","Maternity Social Support Scale (MSSS) total score","0::30; -99","Sum: msss_a, msss_b, msss_c, msss_d, msss_e, msss_f; -99=Skipped or left unanswered",""
