"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"msssf_1","Integer","","Recommended","When I spend time alone, I do so because: It sparks my creativity","1 :: 5","1= Not At All Important; 2= Somewhat Important; 3= Moderately Important; 4= Very Important; 5= Prefer Not To Respond",""
"msssf_2","Integer","","Recommended","When I spend time alone, I do so because: I enjoy the quiet","1 :: 5","1= Not At All Important; 2= Somewhat Important; 3= Moderately Important; 4= Very Important; 5= Prefer Not To Respond",""
"msssf_3","Integer","","Recommended","When I spend time alone, I do so because: I feel anxious when I am with others","1 :: 5","1= Not At All Important; 2= Somewhat Important; 3= Moderately Important; 4= Very Important; 5= Prefer Not To Respond",""
"msssf_4","Integer","","Recommended","When I spend time alone, I do so because: Being alone helps me get in touch with my spirituality","1 :: 5","1= Not At All Important; 2= Somewhat Important; 3= Moderately Important; 4= Very Important; 5= Prefer Not To Respond",""
"msssf_5","Integer","","Recommended","When I spend time alone, I do so because: I do not feel liked when I am with others","1 :: 5","1= Not At All Important; 2= Somewhat Important; 3= Moderately Important; 4= Very Important; 5= Prefer Not To Respond",""
"msssf_6","Integer","","Recommended","When I spend time alone, I do so because: I cannot be myself around others","1 :: 5","1= Not At All Important; 2= Somewhat Important; 3= Moderately Important; 4= Very Important; 5= Prefer Not To Respond",""
"msssf_7","Integer","","Recommended","When I spend time alone, I do so because: It helps me stay in touch with my feelings","1 :: 5","1= Not At All Important; 2= Somewhat Important; 3= Moderately Important; 4= Very Important; 5= Prefer Not To Respond",""
"msssf_8","Integer","","Recommended","When I spend time alone, I do so because: I regret things I say or do when I am with others","1 :: 5","1= Not At All Important; 2= Somewhat Important; 3= Moderately Important; 4= Very Important; 5= Prefer Not To Respond",""
"msssf_9","Integer","","Recommended","When I spend time alone, I do so because: I feel uncomfortable when I am with others","1 :: 5","1= Not At All Important; 2= Somewhat Important; 3= Moderately Important; 4= Very Important; 5= Prefer Not To Respond",""
"msssf_10","Integer","","Recommended","When I spend time alone, I do so because: I value the privacy","1 :: 5","1= Not At All Important; 2= Somewhat Important; 3= Moderately Important; 4= Very Important; 5= Prefer Not To Respond",""
"msssf_11","Integer","","Recommended","When I spend time alone, I do so because: I can engage in activities that really interest me","1 :: 5","1= Not At All Important; 2= Somewhat Important; 3= Moderately Important; 4= Very Important; 5= Prefer Not To Respond",""
"msssf_12","Integer","","Recommended","When I spend time alone, I do so because: I feel like I do not belong when I am with others","1 :: 5","1= Not At All Important; 2= Somewhat Important; 3= Moderately Important; 4= Very Important; 5= Prefer Not To Respond",""
"msssf_13","Integer","","Recommended","When I spend time alone, I do so because: It helps me gain insight into why I do the things I do","1 :: 5","1= Not At All Important; 2= Somewhat Important; 3= Moderately Important; 4= Very Important; 5= Prefer Not To Respond",""
"msssf_14","Integer","","Recommended","When I spend time alone, I do so because: I feel energized when I spend time with myself","1 :: 5","1= Not At All Important; 2= Somewhat Important; 3= Moderately Important; 4= Very Important; 5= Prefer Not To Respond",""
"msssf_score","Float","","Recommended","The Motivation for Solitude Scale - Total summed score","","Sum of all 14 items",""
"self_determined","Float","","Recommended","Self-determined subscale score","","Mean of items 1,2,4,7,10,11,13,14",""
"not_selfdetermined","Float","","Recommended","Non self-determined subscale score","","Mean of items 3,5,6,8,9,12",""
