"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,morris1"
"morris2","Integer","","Recommended","The next pages contain drawings of some of the changes that happen in boy's bodies when boys are teenagers or close to being teenagers. Some of these changes may have already happened to you or to some of your friends. Please look at the drawings, carefully read the descriptions, and choose which of the drawings looks most like you. Remember, some boys begin to develop early, while others begin to develop later, and that's normal. First, you're going to look at drawings of different stages of public hair development and decide which drawing looks closest to the way you look. Then, you will look at drawings of different stages of penis and testicle development and decide which drawing looks most like you. Do you feel comfortable completing this questionnaire?","0;1","0=No; 1=Yes",""
"tsmmale","Integer","","Recommended","TSM Male development stage","1::5; 9; 9998; 9999","1 = Prepubertal; 2 = Testes enlarge. Scrotum larger, reddened and coarser; 3 = Penis enlarges, initially in length. Continued growth of testes and scrotum; 4 = Penis grows in length and breadth. Continued growth of testes and scrotum; 5 = Testes, scrotum and penis adult size; -9 = Missing value;  9998 =subject skipped; 9999=not applicable--subject is not male","morris4,tanner_dev_boys"
"morris5","Integer","","Recommended","The next pages contain drawings of some of the changes that happen in girls' bodies when girls are teenagers or close to being teenagers. Some of these changes may have already happened to you or to some of your friends. Please look at the drawings, carefully read the descriptions, and choose which of the drawings looks most like you. Remember, some girls begin to develop early, while others begin to develop later, and that's normal. First, you're going to look at drawings of different stages of public hair development and decide which drawing looks closest to the way you look. Then, you will look at drawings of different stages of breast development and decide which drawing looks most like you. Do you feel comfortable completing this questionnaire?","0;1","0=No; 1=Yes
",""
"tsmfemale","Integer","","Recommended","TSM Female development stage","1::5; 9; 9998; 9999","1 = Prepubertal. No breast tissue; 2 = Areolar enlargement with breast bud; 3 = Enlargement of breast and areola as single mound; 4 = Projection of areola above breast as double mound; 5 = Adult. Papilla projects out of areola that is part of breast contour; 9 = Missing value; 9998 =subject skipped; 9999=not applicable--subject is not female","morris7,tanner_breast_girls"
"tsmboth","Integer","","Recommended","TSM Pubic hair development stage","1::6; 9; 9998","1 = None; 2 = Few darker hairs along labia or at base of penis; 3 = Curly pigmented hairs across pubes; 4 = Small adult configuration; 5 = Adult configuration with spread onto inner thighs; 6 = Adult configuration with spread to linea alba; -9 = Missing value; 9998=subject skipped","morris3,morris6,tanner_pubic_boys,tanner_pubic_girls"
"tanner_avg_girls","Float","","Recommended","Average Tanner Stage (girls)","","",""
"tanner_testes_boys","Integer","","Recommended","Testes Tanner Stage (boys)","","",""
"tanner_avg_boys","Float","","Recommended","Average Tanner Stage (boys)","","",""
"timept","Integer","","Recommended","Time Point","","888 = not applicable; 999 = missing",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
