"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"musich_1","Integer","","Recommended","I sing to/with my child several (e.g. 5 - 10) times a day","1::7","1=Completely disagree;  2=Strongly disagree; 3=Disagree;  4=Neither agree nor disagree; 5=Agree; 6=Strongly agree; 7=Completely agree",""
"musich_2","Integer","","Recommended","During our daily routine, I do not spend much time singing about what we are doing","1::7","1=Completely disagree;  2=Strongly disagree; 3=Disagree;  4=Neither agree nor disagree; 5=Agree; 6=Strongly agree; 7=Completely agree",""
"musich_3","Integer","","Recommended","I believe that music is part of a well-rounded education","1::7","1=Completely disagree;  2=Strongly disagree; 3=Disagree;  4=Neither agree nor disagree; 5=Agree; 6=Strongly agree; 7=Completely agree",""
"musich_4","Integer","","Recommended","I sing to/with my child in many different situations (e.g. during playtime, with friends and family)","1::7","1=Completely disagree;  2=Strongly disagree; 3=Disagree;  4=Neither agree nor disagree; 5=Agree; 6=Strongly agree; 7=Completely agree",""
"musich_5","Integer","","Recommended","I make music with my child (including toy instruments) almost everyday","1::7","1=Completely disagree;  2=Strongly disagree; 3=Disagree;  4=Neither agree nor disagree; 5=Agree; 6=Strongly agree; 7=Completely agree",""
"musich_6","Integer","","Recommended","My child displays no physical signs of engagement when there is recorded music on (e.g. bouncing or tapping)","1::7","1=Completely disagree;  2=Strongly disagree; 3=Disagree;  4=Neither agree nor disagree; 5=Agree; 6=Strongly agree; 7=Completely agree",""
"musich_7","Integer","","Recommended","Music does not evoke a physical response from my child","1::7","1=Completely disagree;  2=Strongly disagree; 3=Disagree;  4=Neither agree nor disagree; 5=Agree; 6=Strongly agree; 7=Completely agree",""
"musich_8","Integer","","Recommended","My child rarely makes music","1::7","1=Completely disagree;  2=Strongly disagree; 3=Disagree;  4=Neither agree nor disagree; 5=Agree; 6=Strongly agree; 7=Completely agree",""
"musich_9","Integer","","Recommended","I encourage my child to move along to music","1::7","1=Completely disagree;  2=Strongly disagree; 3=Disagree;  4=Neither agree nor disagree; 5=Agree; 6=Strongly agree; 7=Completely agree",""
"musich_10","Integer","","Recommended","I do not make music with my child (including toy instruments) more than once or twice per week","1::7","1=Completely disagree;  2=Strongly disagree; 3=Disagree;  4=Neither agree nor disagree; 5=Agree; 6=Strongly agree; 7=Completely agree",""
"musich_11","Integer","","Recommended","My child does not dance/move to music on the stereo or television","1::7","1=Completely disagree;  2=Strongly disagree; 3=Disagree;  4=Neither agree nor disagree; 5=Agree; 6=Strongly agree; 7=Completely agree",""
"musich_12","Integer","","Recommended","My child was deliberately sung to/exposed to music whilst in the womb","1::7","1=Completely disagree;  2=Strongly disagree; 3=Disagree;  4=Neither agree nor disagree; 5=Agree; 6=Strongly agree; 7=Completely agree",""
"musich_13","Integer","","Recommended","I believe music has an impact on my child's intelligence","1::7","1=Completely disagree;  2=Strongly disagree; 3=Disagree;  4=Neither agree nor disagree; 5=Agree; 6=Strongly agree; 7=Completely agree",""
"musich_14","Integer","","Recommended","Making music with my child (including toy instruments) is a regular part of playtime at home","1::7","1=Completely disagree;  2=Strongly disagree; 3=Disagree;  4=Neither agree nor disagree; 5=Agree; 6=Strongly agree; 7=Completely agree",""
"musich_15","Integer","","Recommended","I teach my child new songs","1::7","1=Completely disagree;  2=Strongly disagree; 3=Disagree;  4=Neither agree nor disagree; 5=Agree; 6=Strongly agree; 7=Completely agree",""
"musich_16","Integer","","Recommended","I sing in playful contexts to/with my child at least once a day","1::7","1=Completely disagree;  2=Strongly disagree; 3=Disagree;  4=Neither agree nor disagree; 5=Agree; 6=Strongly agree; 7=Completely agree",""
"musich_17","Integer","","Recommended","I have noticed my child moving in time with the beat of the music","1::7","1=Completely disagree;  2=Strongly disagree; 3=Disagree;  4=Neither agree nor disagree; 5=Agree; 6=Strongly agree; 7=Completely agree",""
"musich_18","Integer","","Recommended","I believe that children should learn to play an instrument","1::7","1=Completely disagree;  2=Strongly disagree; 3=Disagree;  4=Neither agree nor disagree; 5=Agree; 6=Strongly agree; 7=Completely agree",""
"musich_childsounds","Integer","","Recommended","My child enjoys making sounds/interacting with musical instruments (including toy ones)","1::7","1=Completely disagree;  2=Strongly disagree; 3=Disagree;  4=Neither agree nor disagree; 5=Agree; 6=Strongly agree; 7=Completely agree",""
"musich_musictoys","Integer","","Recommended","My child enjoys toys with musical features","1::7","1=Completely disagree;  2=Strongly disagree; 3=Disagree;  4=Neither agree nor disagree; 5=Agree; 6=Strongly agree; 7=Completely agree",""
"musich_useobjs","Integer","","Recommended","My child does not use objects to intentionally produce sounds","1::7","1=Completely disagree;  2=Strongly disagree; 3=Disagree;  4=Neither agree nor disagree; 5=Agree; 6=Strongly agree; 7=Completely agree",""
"musich_pb","Integer","","Recommended","Music@Home Parent Initiation of Music-Making","","",""
"musich_cae","Integer","","Recommended","Music@Home Child's Active Engagement","","",""
"musich_pis","Integer","","Recommended","Music@Home Parent Initiation of Singing","","",""
"musich_pimm","Integer","","Recommended","Music@Home Parent Initiation of Music-Making","","",""
"musich_total_infant","Integer","","Recommended","Music@Home Infant Total","","",""
