"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"version_form","String","121","Recommended","Form used/assessment name","","",""
"nas_recall","String","100","Recommended","Recall context for survey","","e.g., ''Thinking of your entire lifetime'' or ''Since April 1, 2020''",""
"nas_as1","Integer","","Recommended","Since April 1, 2020, how frequently have you had alcoholic beverages delivered to your home?","1::5","1 = Once a week or more often; 2 = Two or three times a month; 3 = Once a month; 4 = Less than once a month but at least once since April 1, 2020; 5 = Never had alcoholic beverages delivered since April 1, 2020",""
"nas_as2a","Integer","","Recommended","What types of alcoholic beverages have you had delivered to your house? Check all that apply. (beer)","0;1","0=No; 1=Yes",""
"nas_as2b","Integer","","Recommended","What types of alcoholic beverages have you had delivered to your house? Check all that apply. (wine)","0;1","0=No; 1=Yes",""
"nas_as2c","Integer","","Recommended","What types of alcoholic beverages have you had delivered to your house? Check all that apply. (liquor)","0;1","0=No; 1=Yes",""
"nas_as3","Integer","","Recommended","Since April 1, 2020, have you increased the stock of alcoholic beverages you keep at home compared to the time before that?","1::5","1 = Yes, I keep a lot more; 2 = Yes, a little more; 3 = No, about the same; 4 = No, I keep less than before; 5 = I do not keep alcoholic beverages in my home",""
"nas_as4","Integer","","Recommended","Since April 1, 2020, how often have you purchased alcoholic ''to-go'' drinks from restaurants or bars?","1::5","1 = Once a week or more often; 2 = Two or three times a month; 3 = Once a month; 4 = Less than once a month but at least once since April 1, 2020; 5 = Never bought ''to-go'' drinks since April 1, 2020",""
