"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"version_form","String","121","Recommended","Form used/assessment name","","e.g., Self-Report, Parent Form, Short Form, Revised Version",""
"nas_recall","String","100","Recommended","Recall context for survey","","e.g., ''Thinking of your entire lifetime'' or ''Since April 1, 2020''",""
"nas_a1b","Integer","","Recommended","How would you describe yourself?","1::6; 97; 99","1 = Male; 2 = Female; 3 = Trans male / trans man; 4 = Trans female / trans woman; 5 = Genderqueer / gender non-conforming; 6 = Different identity; 97 = Do not know; 99 = No answer",""
"nas_a4na","Integer","","Recommended","Are you Hispanic, Latino/a, or of Spanish origin?","1;2;97;99;888","1 = Yes; 2 = No; 97 = Do not know; 99 = Prefer not to answer; 888 = No response",""
"nas_a6n","Integer","","Recommended","Which one of these groups best describes your ethnic identification?","1::6; 97; 99","1 = Mexican, Mexican American, Chicano/a; 2 = Puerto Rican; 3 = Cuban; 4 = Salvadoran; 5 = Dominican; 6 = Some other Hispanic, Latino or Spanish origin; 97 = Do not know; 99 = Prefer not to answer",""
"nas_a5naa","Integer","","Recommended","What is your race? Mark all that apply (American Indian or Alaska native)","0;1","0=No; 1=Yes","a5na_3"
"nas_a5nab","Integer","","Recommended","What is your race? Mark all that apply (Asian Indian)","0;1","0=No; 1=Yes","a5na_4"
"nas_a5nac","Integer","","Recommended","What is your race? Mark all that apply (Black or African American)","0;1","0=No; 1=Yes","a5na_2"
"nas_a5nad","Integer","","Recommended","What is your race? Mark all that apply (Chinese)","0;1","0=No; 1=Yes","a5na_5"
"nas_a5nae","Integer","","Recommended","What is your race? Mark all that apply (Filipino)","0;1","0=No; 1=Yes","a5na_9"
"nas_a5naf","Integer","","Recommended","What is your race? Mark all that apply (Japanese)","0;1","0=No; 1=Yes","a5na_6"
"nas_a5nag","Integer","","Recommended","What is your race? Mark all that apply (Korean)","0;1","0=No; 1=Yes","a5na_7"
"nas_a5nah","Integer","","Recommended","What is your race? Mark all that apply (Native Hawaiian or Pacific Islander)","0;1","0=No; 1=Yes","a5na_11"
"nas_a5nai","Integer","","Recommended","What is your race? Mark all that apply (Vietnamese)","0;1","0=No; 1=Yes","a5na_8"
"nas_a5naj","Integer","","Recommended","What is your race? Mark all that apply (Other Asian or Asian American)","0;1","0=No; 1=Yes","a5na_10"
"nas_a5nak","Integer","","Recommended","What is your race? Mark all that apply (White, Caucasian)","0;1","0=No; 1=Yes","a5na_1"
"nas_a5nal","Integer","","Recommended","What is your race? Mark all that apply (Other)","0;1","0=No; 1=Yes","a5na_12"
"nas_a5nam","Integer","","Recommended","What is your race? Mark all that apply (Do not know)","0;1","0=No; 1=Yes","a5na_97"
"nas_a5nan","Integer","","Recommended","What is your race? Mark all that apply (Prefer not to answer)","0;1","0=No; 1=Yes","a5na_13"
"nas_a12","Integer","","Recommended","What was the highest grade or year in school that you completed?","1::8;97;99;888","1 = Did not graduate from high school; 2 = Received GED (high school equivalency); 3 = Graduated from high school; 4 = Technical/vocational schooling beyond high school; 5 = Attended some college (but no degree); 6 = Associate's degree (2-year college degree); 7 = 4-year college degree; 8 = Graduate or professional school beyond 4-year degree; 97 = Do not know; 99 = No answer; 888= No response","a12"
"nas_p1","Integer","","Recommended","What is your current marital status?","1::7; 97; 99","1 = Married and living with your spouse; 2 = Living with someone as a couple; 3 = Married and not living with your spouse; 4 = Legally separated; 5 = Divorced; 6 = Widowed; 7 = Never married; 97 = Do not know; 99 = No answer",""
"nas_a17","Integer","","Recommended","What is your present work situation?","1::10;95;97;99;888","1 = Employed or self-employed full-time, 35 hours or more per week; 2 = Employed or self-employed part-time, that is, less than 35 hours per week; 3 = Have a job, but not at work because of temporary illness, family leave, maternity leave or other type of leave; 4 = Unemployed or laid off and looking for work; 5 = Unemployed or laid off and not looking for work; 6 = Not working because in school; 7 = Retired; 8 = Homemaker; 9 = Not working due to disability; 10 = Never worked for pay; 95 = Something else; 97 = Do not know; 99 = Prefer not to answer; 888= No response",""
"nas_a32","Integer","","Recommended","Which of the following best describes your current occupation?","1::23; 97; 99","1 = Architecture and engineering occupations; 2 = Arts, design, entertainment, sports, and media occupations; 3 = Building and grounds cleaning and maintenance occupations; 4 = Business and financial operations occupations; 5 = Community and social service occupations; 6 = Computer and mathematical occupations; 7 = Construction and extraction occupations; 8 = Education, training, and library occupations; 9 = Farming, fishing, and forestry occupations; 10 = Food preparation and serving related occupations; 11 = Healthcare practitioners and technical occupations; 12 = Healthcare support occupations; 13 = Installation, maintenance, and repair occupations; 14 = Legal occupations; 15 = Life, physical, and social science occupations; 16 = Management occupations; 17 = Office and administrative support occupations; 18 = Personal care and service occupations; 19 = Production occupations; 20 = Protective service occupations; 21 = Sales and related occupations; 22 = Transportation and materials moving occupations; 23 = Other; 97 = Do not know; 99 = Prefer not to answer",""
"nas_a33","Integer","","Recommended","Are you considered an essential worker? An essential worker refers to occupations that were considered as part of the ''Essential Critical Infrastructure Workforce'' during the COVID-19 pandemic, as necessary for continuity of functions critical to public health and safety.","1;2;97;99","1 = Yes; 2 = No; 97 = Do not know; 99 = Prefer not to answer",""
"nas_a34","Integer","","Recommended","During the last 12 months, did you telework or work from home for pay because of the COVID-19 pandemic?","0::4; 97; 99","0 = Yes, all of the time; 1 = Yes, most of the time; 2 = Yes, half of the time; 3 = Yes, less than half of the time; 4 = No; 97 = Do not know; 99 = Prefer not to answer",""
"nas_pn3a","Integer","","Recommended","Have you been pregnant in the past 12 months or are you currently pregnant?","1;2;99","1 = Yes; 2 = No; 99 = No answer",""
"nas_p2bn","Integer","","Recommended","What is your current housing situation?","1::6;97;99;888","1 = Own your own house or condo; 2 = Rent a house; 3 = Rent an apartment; 4 = Rent a room; 5 = Living in someone else's home; 6 = Staying at a shelter or otherwise homeless; 97 = Do not know; 99 = Prefer not to answer; 888= No response","p2bn"
"nas_adlts","Integer","","Recommended","How many members of your household, including yourself, are 18 years of age or older?","1::18; 97; 99","Number of adults; 97=Do Not Know; 99=Prefer not to answer",""
"nas_p2a","Integer","","Recommended","How many children 17 years of age or younger live in your household for whom you have or share responsibility?","0::97; 99","Number of children (up to 96);  97=Do not Know; 99=Prefer not to answer","p2a_1"
"nas_a36a","Integer","","Recommended","How old are the children living in your household? Select all that apply. (0 - 4 years)","0;1","0=No; 1=Yes",""
"nas_a36b","Integer","","Recommended","How old are the children living in your household? Select all that apply. (5 - 11 years)","0;1","0=No; 1=Yes",""
"nas_a36c","Integer","","Recommended","How old are the children living in your household? Select all that apply. (12 - 17 years)","0;1","0=No; 1=Yes",""
"nas_a36d","Integer","","Recommended","How old are the children living in your household? Select all that apply. (Do not know)","0;1","0=No; 1=Yes",""
"nas_a36e","Integer","","Recommended","How old are the children living in your household? Select all that apply. (Prefer not to answer)","0;1","0=No; 1=Yes",""
"nas_q24","Integer","","Recommended","Which of the following best describes your sexual identity?","1::5","1 = Only heterosexual; 2 = Mostly heterosexual; 3 = Bisexual; 4 = Mostly gay or lesbian; 5 = Only gay or lesbian",""
"nas_yraddr2","Integer","","Recommended","Have you lived at your current address less than one year, between 1 and 5 years, or more than 5 years?","0::2; 97; 99","0 = Less than one year; 1 = 1-5 years; 2 = More than 5 years; 97 = Do not know; 99 = No answer",""
"nas_a18c_1","Integer","","Recommended","In the previous calendar year, was your total household income from all sources before taxes above or below $60,000?","1::3; 97; 99","1 = Below $60,000; 2 = Income was about $60,000; 3 = Above $60,000; 97 = Do not know; 99 = No answer",""
"nas_a18c_2","Integer","","Recommended","What was your total household income from all sources in the previous calendar year before taxes?","1::13; 97; 99","1 = $10,000 or less; 2 = $10,001 to 15,000; 3 = $15,001 to 20,000; 4 = $20,001 to 30,000; 5 = $30,001 to 40,000; 6 = $40,001 to 50,000; 7 = $50,001 to 60,000; 8 = $60,001 to 70,000; 9 = $70,001 to 80,000; 10 = $80,001 to 100,000; 11 = $100,001 to 120,000; 12 = $120,001 to 150,000; 13 = More than $150,000; 97 = Do not know; 99 = No answer",""
"nas_a35","Integer","","Recommended","Has your household income changed significantly since April 1, 2020 due to the COVID-19 pandemic?","1::3; 97; 99","1 = Yes, it has increased; 2 = Yes, it has decreased; 3 = No, it has stayed the same; 97 = Do not know; 99 = Prefer not to answer",""
"nas_a23a","Integer","","Recommended","What kind(s) of health insurance do you have? (Private health insurance through an employer)","0;1","0=No; 1=Yes",""
"nas_a23b","Integer","","Recommended","What kind(s) of health insurance do you have? (Medicare)","0;1","0=No; 1=Yes",""
"nas_a23c","Integer","","Recommended","What kind(s) of health insurance do you have? (Medicaid)","0;1","0=No; 1=Yes",""
"nas_a23d","Integer","","Recommended","What kind(s) of health insurance do you have? (Federal health plans such as Tricare)","0;1","0=No; 1=Yes",""
"nas_a23e","Integer","","Recommended","What kind(s) of health insurance do you have? (Private health insurance or Medicare supplemental insurance that you pay for yourself)","0;1","0=No; 1=Yes",""
"nas_a23f","Integer","","Recommended","What kind(s) of health insurance do you have? (Do not have health insurance)","0;1","0=No; 1=Yes",""
"nas_a23g","Integer","","Recommended","What kind(s) of health insurance do you have? (Some other insurer)","0;1","0=No; 1=Yes",""
"nas_a23h","Integer","","Recommended","What kind(s) of health insurance do you have? (Do not know)","0;1","0=No; 1=Yes",""
"nas_a23i","Integer","","Recommended","What kind(s) of health insurance do you have? (No answer)","0;1","0=No; 1=Yes",""
"nas_a23ck","Integer","","Recommended","Who pays for most of the insurance?","1::3; 97; 99","1 = An employer; 2 = The government; 3 = I pay for it directly; 97 = Do not know; 99 = No answer",""
"nas_an23a","Integer","","Recommended","Do any of your health insurance plans provide coverage for alcohol or drug treatment?","1;2; 97; 99","1 = Yes; 2 = No; 97 = Do not know/not sure; 99 = No answer",""
"nas_an23c","Integer","","Recommended","What is the main reason you do not have health insurance?","1::7; 97; 99","1 = Lost a job or changed employers; 2 = Missed a deadline to sign up; 3 = Ineligible for coverage; 4 = Cost increases or coverage is unaffordable; 5 = No longer eligible for Medicaid; 6 = Do not want or need coverage; 7 = Some other reason; 97 = Do not know; 99 = No answer",""
"nas_a20f_1","Integer","","Recommended","What is your height in feet and inches without shoes? (Feet)","4::7; 97; 99","Height in feet; 97=Do not know; 99=Prefer not to answer",""
"nas_a20f_2","Integer","","Recommended","What is your height in feet and inches without shoes? (Inches)","0::11; 97; 99","Leftover height in inches; 97=Do not know; 99=Prefer not to answer",""
"nas_a20m_1","Integer","","Recommended","What is your height without shoes in meters and centimeters? (Meters)","1;2; 97; 99","Height in meters; 97=Do not know; 99=Prefer not to answer",""
"nas_a20m_2","Integer","","Recommended","What is your height without shoes in meters and centimeters? (Centimeters)","0::99","Leftover height in centimeters",""
