"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","hcpa_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","test_date_neo"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"neo_n1","Integer","","Recommended","N1 Anxiety","","",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"neo_n2","Integer","","Recommended","N2 Angry Hostility","","","18000,18001"
"neo_n3","Integer","","Recommended","N3 Depression","","","18002"
"neo_n4","Integer","","Recommended","N4 Self-Consciousness","","","18003"
"neo_n5","Integer","","Recommended","N5 Impulsiveness","","","18004"
"neo_n6","Integer","","Recommended","N6 Vulnerability","","","18005"
"neo_e1","Integer","","Recommended","E1 Warmth/Friendliness","","NEO-PI/IPIP","18006"
"neo_e2","Integer","","Recommended","E2 Gregariousness","","","18007"
"neo_e3","Integer","","Recommended","E3 Assertiveness","","","18008"
"neo_e4","Integer","","Recommended","E4 Activity","","","18009"
"neo_e5","Integer","","Recommended","E5 Excitement Seeking","","","18010"
"neo_e6","Integer","","Recommended","E6 Positive Emotions/Cheerfullness","","NEO-PI/IPIP","18011"
"neo_o1","Integer","","Recommended","O1 Openness to Fantasy/Imagination","","NEO-PI/IPIP","18012"
"neo_o2","Integer","","Recommended","O2 Openness to Aesthetics/Artistic Interests","","NEO-PI/IPIP","18013"
"neo_o3","Integer","","Recommended","O3 Openness to Feelings/Emotionality","","NEO-PI/IPIP","18014"
"neo_o4","Integer","","Recommended","O4 Openness to Actions/Adventurousness","","NEO-PI/IPIP","18015"
"neo_o5","Integer","","Recommended","O5 Openness to Ideas/Intellect","","NEO-PI/IPIP","18016"
"neo_o6","Integer","","Recommended","O6 Openness to Values/Liberalism","","NEO-PI/IPIP","18017"
"neo_a1","Integer","","Recommended","A1 Trust","","","18018"
"neo_a2","Integer","","Recommended","A2 Straightforwardness/Morality","","","18019"
"neo_a3","Integer","","Recommended","A3 Altruism","","","18020"
"neo_a4","Integer","","Recommended","A4 Compliance/Cooperation","","NEO-PI/IPIP","18021"
"neo_a5","Integer","","Recommended","A5 Modesty","","","18022"
"neo_a6","Integer","","Recommended","A6 Tender-Mindedness/Sympathy","","","18023"
"neo_c1","Integer","","Recommended","C1 Competence/Self Efficacy","","NEO-PI/IPIP","18024"
"neo_c2","Integer","","Recommended","C2 Order/Orderliness","","","18025"
"neo_c3","Integer","","Recommended","C3 Dutifulness","","","18026"
"neo_c4","Integer","","Recommended","C4 Achievement Striving","","","18027"
"neo_c5","Integer","","Recommended","C5 Self-Discipline","","","18028"
"neo_c6","Integer","","Recommended","C6 Deliberation/Cautiousness","","NEO-PI/IPIP","18029"
"neo_n","Integer","","Recommended","Neuroticism raw score","0::192;999","999 = Missing","22300"
"neo_e","Integer","","Recommended","Extraversion raw score","0::192;999","999 = Missing","22301"
"neo_o","Integer","","Recommended","Openness to Experience raw score","0::192;999","999 = Missing","22302"
"neo_a","Integer","","Recommended","Agreeableness raw score","0::192;999","999 = Missing","22303"
"neo_c","Integer","","Recommended","Conscientiousness raw score","0::192;999","999 = Missing","22304"
"neo_ap","Integer","","Recommended","Agreebleness percentile","","",""
"neo_cp","Integer","","Recommended","Conscientiousness percentile","","",""
"neo_ep","Integer","","Recommended","Extraversion percentile","","",""
"neo_np","Integer","","Recommended","Neuroticism percentile","","",""
"neo_op","Integer","","Recommended","Openness percentile","","",""
"neoc1","Integer","","Recommended","I'm known for my prudence and common sense.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18504,18504r,neo_pi_5"
"neoc2","Integer","","Recommended","I don't take civic duties like voting very seriously.","1 :: 5","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18534,18534r,neo_pi_35"
"neoc3","Integer","","Recommended","I keep myself informed and usually make intelligent decisions.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18564,18564r,neo_pi_65"
"neoc4","Integer","","Recommended","I often come into situations without being fully prepared.","1 :: 5","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18594,18594r,i_often_come_into_situatio,neo_pi_95,neoffi_15"
"neoc5","Integer","","Recommended","I pride myself on my sound judgment.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18624,18624r,neo_pi_125"
"neoc6","Integer","","Recommended","I don't seem to be completely successful at anything.","1 :: 5","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18654,18654r,neo_pi_155"
"neoc7","Integer","","Recommended","I'm a very competent person.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18684,18684r,neo_pi_185"
"neoc8","Integer","","Recommended","I am efficient and effective at my work.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18714,18714r,neo_pi_215"
"neoc9","Integer","","Recommended","I would rather keep my options open than plan everything in advance.","1 :: 5","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18509,18509r,neo_pi_10"
"neoc10","Integer","","Recommended","I keep my belongings neat and clean.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18539,18539r,i_keep_my_belongings_neat,neo_pi_40"
"neoc11","Integer","","Recommended","I am not a very methodical person.","1 :: 5","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18569,18569r,neo_pi_70"
"neoc12","Integer","","Recommended","I like to keep everything in its place so I know just where it is.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18599,18599r,neo_pi_100"
"neoc13","Integer","","Recommended","I never seem to be able to get organized.","1 :: 5","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18629,18629r,i_never_seem_to_be_able_to,neo_pi_130"
"neoc14","Integer","","Recommended","I tend to be somewhat fastidious or exacting.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18659,18659r,neo_pi_160"
"neoc15","Integer","","Recommended","I'm not compulsive about cleaning.","1 :: 5","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18689,18689r,neo_pi_190"
"neoc16","Integer","","Recommended","I spend a lot of time looking for things I've misplaced.","1 :: 5","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18719,18719r,neo_pi_220"
"neoc17","Integer","","Recommended","I try to perform all the tasks assigned to me conscientiously.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18514,18514r,i_try_to_perform_all_the_t,neo_pi_15"
"neoc18","Integer","","Recommended","Sometimes I'm not as dependable or reliable as I should be.","1 :: 5","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18544,18544r,neo_pi_45,sometimes_i_m_not_as_depen"
"neoc19","Integer","","Recommended","I pay my debts promptly and in full.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18574,18574r,neo_pi_75"
"neoc20","Integer","","Recommended","Sometimes I cheat when I play solitaire.","1 :: 5","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18604,18604r,neo_pi_105"
"neoc21","Integer","","Recommended","When I make a commitment, I can always be counted on to follow through.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18634,18634r,neo_pi_135,when_i_make_a_commitment_i"
"neoc22","Integer","","Recommended","I adhere strictly to my ethical principles.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18664,18664r,neo_pi_165"
"neoc23","Integer","","Recommended","I try to do jobs carefully, so they won't have to be done again.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18694,18694r,neo_pi_195"
"neoc24","Integer","","Recommended","I'd really have to be sick before I'd miss a day of work.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18724,18724r,neo_pi_225"
"neoc25","Integer","","Recommended","I am easy-going and lackadaisical.","1 :: 5","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18519,18519r,neo_pi_20"
"neoc26","Integer","","Recommended","I have a clear set of goals and work toward them in an orderly fashion.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18549,18549r,i_have_a_clear_set_of_goal,neo_pi_50"
"neoc27","Integer","","Recommended","When I start a self-improvement program, I usually let it slide after a few days.","1 :: 5","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18579,18579r,neo_pi_80"
"neoc28","Integer","","Recommended","I work hard to accomplish my goals.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18609,18609r,i_work_hard_to_accomplish,neo_pi_110"
"neoc29","Integer","","Recommended","I don't feel like I'm driven to get ahead.","1 :: 5","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18639,18639r,neo_pi_140"
"neoc30","Integer","","Recommended","I strive to achieve all I can.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18669,18669r,neo_pi_170"
"neoc31","Integer","","Recommended","I strive for excellence in everything I do.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18699,18699r,i_strive_for_excellence_in,neo_pi_200"
"neoc32","Integer","","Recommended","I'm something of a ""workaholic.""","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18729,18729r,neo_pi_230"
"neoc33","Integer","","Recommended","I'm pretty good about pacing myself so as to get things done in time.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18524,18524r,i_m_pretty_good_about_paci,neo_pi_25"
"neoc34","Integer","","Recommended","I waste a lot of time before settling down to do work.","1 :: 5","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18554,18554r,i_waste_a_lot_of_time_befo,neo_pi_55"
"neoc35","Integer","","Recommended","I am a productive person who always gets the job done.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18584,18584r,i_am_a_productive_person_w,neo_pi_85"
"neoc36","Integer","","Recommended","I have trouble making myself do what I should.","1 :: 5","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18614,18614r,neo_pi_115"
"neoc37","Integer","","Recommended","Once I start a project, I almost always finish it.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18644,18644r,neo_pi_145"
"neoc38","Integer","","Recommended","When a project gets too difficult, I'm inclined to start a new one.","1 :: 5","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18674,18674r,neo_pi_175"
"neoc39","Integer","","Recommended","There are so many little jobs that need to be done that I sometimes just ignore them all.","1 :: 5","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18704,18704r,neo_pi_205"
"neoc40","Integer","","Recommended","I have a lot of self-discipline.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18734,18734r,neo_pi_235"
"neoc41","Integer","","Recommended","Over the years I've done some pretty stupid things.","1 :: 5","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18529,18529r,neo_pi_30"
"neoc42","Integer","","Recommended","I think things through before coming to a decision.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18559,18559r,neo_pi_60"
"neoc43","Integer","","Recommended","Occasionally I act first and think later.","1 :: 5","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18589,18589r,neo_pi_90"
"neoc44","Integer","","Recommended","I always consider the consequences before I take action.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18619,18619r,neo_pi_120"
"neoc45","Integer","","Recommended","I often do things on the spur of the moment.","1 :: 5","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18649,18649r,neo_pi_150"
"neoc46","Integer","","Recommended","I rarely make hasty decisions.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18679,18679r,neo_pi_180"
"neoc47","Integer","","Recommended","I plan ahead carefully when I go on a trip.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18709,18709r,neo_pi_210"
"neoc48","Integer","","Recommended","I think twice before I answer a question.","1 :: 5","1= Strongly Disagree; 2= Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","18739,18739r"
"neo_pi_1","Integer","","Recommended","I am not a worrier. ","1::5;-7 ","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18500,18500r,i_am_not_a_worrier"
"neo_pi_2","Integer","","Recommended","I really like most people I meet. ","1::5;-7 ","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -7=Refused ","18501,18501r"
"neo_pi_3","Integer","","Recommended","I have a very active imagination. ","1::5;-7 ","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -7=Refused ","18502,18502r"
"nffi_24","Integer","","Recommended","I tend to be cynical and skeptical of others' intentions.","1::5;-7;999","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused; 999 = Prefer not to answer/Left blank","18503,18503r,neo_pi_4"
"nffi_36","Integer","","Recommended","I often get angry at the way people treat me.","1::5;-7;999","1=Strongly Disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree; -7=Refused; 999 = Prefer not to answer/Left blank","18505,18505r,i_often_get_angry_at_the_w,neo_pi_6"
"neo_pi_7","Integer","","Recommended","I shy away from crowds of people. ","1::5;-7 ","5=Strongly Disagree; 4=Disagree; 3=Neutral; 2=Agree; 1=Strongly agree; -7=Refused ","18506,18506r,i_shy_away_from_crowds_of,neoffi_27"
