"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","e.g., Pre-Task, Post-Intervention",""
"tri1_drugs_concat","String","600","Recommended","Medications and supplements taken by mother in first trimester","","",""
"tri2_drugs_concat","String","600","Recommended","Medications and supplements taken by mother in second trimester","","",""
"tri3_drugs_concat","String","600","Recommended","Medications and supplements taken by mother in thirdtrimester","","",""
"tri4_drugs_concat","String","600","Recommended","Medications and supplements taken by mother postnatally","","",""
"nscan_sex","Float","","Recommended","Baby Gender","","Calculation: if([baby_born_arm_1][baby_gender]=1,1,if([baby_born_arm_1][baby_gender]=2,2,""""))",""
"nscan_ga_at_birth_weeks","Float","","Recommended","Baby's Gestational Age At Birth","","Calculation: rounddown((datediff([enrolment_arm_1][agreededd],[baby_born_arm_1][baby_dob],""d"",""dmy"",true)+280)/7,0)+(datediff([enrolment_arm_1][agreededd],[baby_born_arm_1][baby_dob],""d"",""dmy"",true)+280-7*rounddown((datediff([enrolment_arm_1][agreededd],[baby_born_arm_1][baby_dob],""d"",""dmy"",true)+280)/7,0))/10",""
"nscan_ga_at_scan_weeks","Float","","Recommended","Baby's gestational age at time of scan (field derived from Enrol Step 3)","","Calculation: rounddown((datediff([enrolment_arm_1][agreededd],[neonatal_scan_arm_1][scan_appt_date],""d"",""dmy"",true)+280)/7,0)+(datediff([enrolment_arm_1][agreededd],[neonatal_scan_arm_1][scan_appt_date],""d"",""dmy"",true)+280-7*rounddown((datediff([enrolment_arm_1][agreededd],[neonatal_scan_arm_1][scan_appt_date],""d"",""dmy"",true)+280)/7,0))/10",""
"nscan_age_at_scan_days","Float","","Recommended","Baby's age (days) on scan date [scan_appt_date]","","Calculation: (round(datediff([baby_born_arm_1][baby_dob],[scan_appt_date],""d"",""dmy"",true),0))",""
"xscan_baby_weight","Float","","Recommended","Baby's weight at time of scan","","Kg: if unknown enter -999",""
"xscan_head_circumference","String","30","Recommended","Baby's head circumference at time of scan","","cm: if unknown enter -999",""
"xscan_baby_length","String","30","Recommended","Baby's length at time of scan","","cm: if unknown enter -999",""
"xscan_baby_skin_fold","String","30","Recommended","Baby's skinfold thickness at time of scan","","mm: if unknown enter -999",""
"xscan_drugs_concat","String","600","Recommended","Medications and supplements given to baby","","",""
"xmilk_type___1","Integer","","Recommended","Which milk types have ever been given to the baby? (1, Mother's Breast Milk)","0 ; 1","0 = No; 1 = Yes",""
"xmilk_type___2","Integer","","Recommended","Which milk types have ever been given to the baby? (2, Donor Milk)","0 ; 1","0 = No; 1 = Yes",""
"xmilk_type___3","Integer","","Recommended","Which milk types have ever been given to the baby? (3, Formula)","0 ; 1","0 = No; 1 = Yes",""
"xscan_majority_baby_feeds","Integer","","Recommended","Which milk currently makes up the majority of the baby's feeds?","0 :: 3","0 = No selection; 1 = Mother's breast milk; 2 = Donor milk; 3 = Formula",""
"scan_validation","Integer","","Recommended","Scanner Validation ID","100 :: 999999","",""
"radiology_score","Integer","","Recommended","Radiology Score","1 :: 5","1 = Normal appearance for age; 2 = Incidental findings with unlikely significance for clinical outcome or analysis (e.g. subdural haemorrhage. Isolated subependymal cysts. Mild Inferior vermis rotation); 3 = Incidental findings with unlikely clinical significance but possible analysis significance (e.g. Several punctate lesions or other focal white matter/ cortical lesions not thought to be of clinical significance); 4 = Incidental findings with possible clinical significance. Unlikely analysis significance (e.g. Isolated non brain anomaly e.g. in pituitary / on tongue); 5 = Incidental findings with possible/likely significance for both clinical and imaging analysis (e.g. Major lesions within white / matter",""
"rad_score_q","Integer","","Recommended","Poor image quality for radiology score?","0 ; 1","1 = Yes; 0 = No",""
