"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"visit","String","60","Recommended","Visit name","","",""
"vf_animal_word_cred_1to15_sec","Integer","","Recommended","Verbal Fluency: Animals number of correct words produced in the 1 to 15 seconds time period","","",""
"vf_animal_word_cred_16to30_sec","Integer","","Recommended","Verbal Fluency: Animals number of correct words produced in the 16 to 30 seconds time period","","",""
"vf_animal_word_cred_31to45_sec","Integer","","Recommended","Verbal Fluency: Animals number of correct words produced in the 31 to 45 seconds time period","","",""
"vf_animal_word_cred_46to60_sec","Integer","","Recommended","Verbal Fluency: Animals number of correct words produced in the 46 to 60 seconds time period","","",""
"vf_total_words_animals","Integer","","Recommended","Verbal Fluency: Animals total number of words","","",""
"vf_rule_breaking_er_animals","Integer","","Recommended","Verbal Fluency: Animals rule breaking errors","","",""
"vf_perseverative_er_animals","Integer","","Recommended","Verbal Fluency: Animals perseverative errors","","",""
"vf_tot_words_credited_animals","Integer","","Recommended","Verbal Fluency: Animals total number of words credited","","",""
"vf_food_drink_words_1to15_sec","Integer","","Recommended","Verbal Fluency: Food/Drink number of correct words produced in the 1 to 15 seconds time period","","",""
"vf_food_drink_words_15to29_sec","Integer","","Recommended","Verbal Fluency (7y+): Food/Drink number of correct words produced in the 16 to 30 seconds time period","","",""
"vf_food_drink_words_31to45_sec","Integer","","Recommended","Verbal Fluency: Food/Drink number of correct words produced in the 31 to 45 seconds time period","","",""
"vf_food_drink_words_46to60_sec","Integer","","Recommended","Verbal Fluency: Food/Drink number of correct words produced in the 46 to 60 seconds time period","","",""
"vf_total_words_food_or_drink","Integer","","Recommended","Verbal Fluency: Food/Drink total number of words","","",""
"vf_perseverative_er_food_drink","Integer","","Recommended","Verbal Fluency: Food/Drink perseverative errors","","",""
"vf_rule_breaking_er_food_drink","Integer","","Recommended","Verbal Fluency: Food/Drink rule breaking errors","","",""
"vf_tot_words_credit_food_drink","Integer","","Recommended","Verbal Fluency: Food/Drink total number of words credited","","",""
"vf_let_a_words_1to15_sec","Integer","","Recommended","Verbal Fluency (7y+): Letter A number of correct words produced in the 1 to 15 seconds time period","","",""
"vf_let_a_words_16to30_sec","Integer","","Recommended","Verbal Fluency (7y+): Letter A number of correct words produced in the 16 to 30 seconds time period","","",""
"vf_let_a_words_31to45_sec","Integer","","Recommended","Verbal Fluency (7y+): Letter A number of correct words produced in the 31 to 45 seconds time period","","",""
"vf_let_a_words_46to60_sec","Integer","","Recommended","Verbal Fluency (7y+): Letter A number of correct words produced in the 46 to 60 seconds time period","","",""
"vf_total_words_letter_a","Integer","","Recommended","Verbal Fluency (7y+): Letter A total number of words","","",""
"vf_perseverative_er_letter_a","Integer","","Recommended","Verbal Fluency (7y+): Letter A perseverative errors","","",""
"vf_rule_breaking_er_letter_a","Integer","","Recommended","Verbal Fluency (7y+): Letter A rule breaking errors","","",""
"vf_tot_words_creditedletter_a","Integer","","Recommended","Verbal Fluency (7y+): Letter A total number of words credited","","",""
"vf_let_f_words_1to15_sec","Integer","","Recommended","Verbal Fluency (7y+): Letter F number of correct words produced in the 1 to 15 seconds time period","","",""
"vf_let_f_words_16to30_sec","Integer","","Recommended","Verbal Fluency (7y+): Letter F number of correct words produced in the 16 to 30 seconds time period","","",""
"vf_let_f_words_31to45_sec","Integer","","Recommended","Verbal Fluency (7y+): Letter F number of correct words produced in the 31 to 45 seconds time period","","",""
"vf_let_f_words_46to60_sec","Integer","","Recommended","Verbal Fluency (7y+): Letter F number of correct words produced in the 46 to 60 seconds time period","","",""
"vf_total_words_letter_f","Integer","","Recommended","Verbal Fluency (7y+): Letter F total number of words","","",""
"vf_perseverative_er_letter_f","Integer","","Recommended","Verbal Fluency (7y+): Letter F words perseverative errors","","",""
"vf_rule_breaking_er_letter_f","Integer","","Recommended","Verbal Fluency (7y+): Letter F rule breaking errors","","",""
"vf_tot_words_credited_letter_f","Integer","","Recommended","Verbal Fluency (7y+): Letter F total number of words credited","","",""
"vf_let_s_words_1to15_sec","Integer","","Recommended","Verbal Fluency (7y+): Letter S number of correct words produced in the 1 to 15 seconds time period","","",""
"vf_let_s_words_16to30_sec","Integer","","Recommended","Verbal Fluency (7y+): Letter S number of correct words produced in the 16 to 30 seconds time period","","",""
"vf_let_s_words_31to45_sec","Integer","","Recommended","Verbal Fluency (7y+): Letter S number of correct words produced in the 31 to 45 seconds time period","","",""
"vf_let_s_words_46to60_sec","Integer","","Recommended","Verbal Fluency (7y+): Letter S number of correct words produced in the 46 to 60 seconds time period","","",""
"vf_total_words_letter_s","Integer","","Recommended","Verbal Fluency (7y+): Letter S total number of words","","",""
"vf_perseverative_er_letter_s","Integer","","Recommended","Verbal Fluency (7y+): Letter S perseverative errors","","",""
"vf_rule_breaking_er_letter_s","Integer","","Recommended","Verbal Fluency (7y+): Letter S rule breaking errors","","",""
"vf_tot_words_credited_letter_s","Integer","","Recommended","Verbal Fluency (7y+): Letter S total number of words credited","","",""
"vf_tot_words_credit_phon_categ","Integer","","Recommended","""Verbal Fluency (7y+): Phonemic category comprised of letters A, F, and S total number of words credited""","","",""
"vf_tot_words_credit_sem_categ","Integer","","Recommended","Verbal Fluency (7y+): Semantic category comprised of animal and food/drink words total number of words credited","","",""
"vf_total_score","Integer","","Recommended","""Verbal Fluency (7y+): Total raw ccore represents the cum of credited words in response to letters F and S, animal words, and food/drink words""","","",""
"vf_animals_wordlist_1to15_sec","String","100","Recommended","Verbal Fluency - NEPSY (Age 3:0 to 6:11 y:m)  Animal wordlist from the 1 to 15 seconds time block","","",""
"vf_animals_wordlist_16to30_sec","String","100","Recommended","Verbal Fluency - NEPSY (Age 3:0 to 6:11 y:m)  Animal wordlist from the 16 to 30 seconds time block","","",""
"vf_animals_wordlist_31to45_sec","String","100","Recommended","Verbal Fluency - NEPSY (Age 3:0 to 6:11 y:m)  Animal wordlist from the 31 to 45 seconds time block","","",""
"vf_animals_wordlist_46to60_sec","String","100","Recommended","Verbal Fluency - NEPSY (Age 3:0 to 6:11 y:m)  Animal wordlist from the 46 to 60 seconds time block","","",""
"vf_food_drink_wl_1to15_sec","String","100","Recommended","Verbal Fluency - NEPSY (Age 3:0 to 6:11 y:m)  Food or Drink wordlist from the 1 to 15 seconds time block","","",""
"vf_food_drink_wl_16to30_sec","String","100","Recommended","Verbal Fluency - NEPSY (Age 3:0 to 6:11 y:m)  Food or Drink wordlist from the 16 to 30 seconds time block","","",""
"vf_food_drink_words_16to30_sec","Integer","","Recommended","Verbal Fluency: Food/Drink number of correct words produced in the 16 to 30 seconds time period","","",""
"vf_food_drink_wl_31to45_sec","String","100","Recommended","Verbal Fluency - NEPSY (Age 3:0 to 6:11 y:m)  Food or Drink wordlist from the 31 to 45 seconds time block","","",""
"vf_food_drink_wl_46to60_sec","String","100","Recommended","Verbal Fluency - NEPSY (Age 3:0 to 6:11 y:m)  Food or Drink wordlist from the 46 to 60 seconds time block","","",""
"vf_total_raw_score","Integer","","Recommended","""Verbal Fluency: Total raw score represents the sum of credited words in response to letters A, F, S, animal words, and food/drink words""","","",""
"vf_scaled_score","Integer","","Recommended","""Verbal Fluency: Age-specific scaled score for ages 7 through 12:11 (Population mean = 10, SD = 3)""","","",""
"vf_totadjlett","Integer","","Recommended","Verbal Fluency: Total adjusted letters","","",""
"vf_totalletters","Integer","","Recommended","Verbal Fluency: Total Letters","","",""
"vf_totfruit","Integer","","Recommended","Verbal Fluency: Total fruits","","",""
"vf_totveg","Integer","","Recommended","Verbal Fluency: Total Vegetables","","",""
"vf_catfre","Integer","","Recommended","category fluency number of errors in fruit category in 60 seconds","","",""
"vf_catfru","Integer","","Recommended","category fluency number of fruits in 60 seconds","","",""
"vf_scaled_score_semantic","Integer","","Recommended","Semantic Verbal Fluency Scaled Score","","",""
"vf_scaled_scorephonemic","Integer","","Recommended","Phonemic Verbal Fluency Scaled Score","","",""
