"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"nquex29","Integer","","Recommended","Are you able to turn a key in a lock?","1::5","1=Unable to do; 2=With much difficulty; 3=With some difficulty; 4=With a little difficulty; 5=Without any difficulty",""
"nquex20","Integer","","Recommended","Are you able to brush your teeth?","1::5","1=Unable to do; 2=With much difficulty; 3=With some difficulty; 4=With a little difficulty; 5=Without any difficulty",""
"nquex44","Integer","","Recommended","Are you able to make a phone call using a touch tone key-pad?","1::5","1=Unable to do; 2=With much difficulty; 3=With some difficulty; 4=With a little difficulty; 5=Without any difficulty",""
"nquex36","Integer","","Recommended","Are you able to pick up coins from a table top?","1::5","1=Unable to do; 2=With much difficulty; 3=With some difficulty; 4=With a little difficulty; 5=Without any difficulty",""
"nquex30","Integer","","Recommended","Are you able to write with a pen or pencil?","1::5","1=Unable to do; 2=With much difficulty; 3=With some difficulty; 4=With a little difficulty; 5=Without any difficulty",""
"nquex28","Integer","","Recommended","Are you able to open and close a zipper?","1::5","1=Unable to do; 2=With much difficulty; 3=With some difficulty; 4=With a little difficulty; 5=Without any difficulty",""
"nquex33","Integer","","Recommended","Are you able to wash and dry your body?","1::5","1=Unable to do; 2=With much difficulty; 3=With some difficulty; 4=With a little difficulty; 5=Without any difficulty",""
"nquex37","Integer","","Recommended","Are you able to shampoo your hair?","1::5","1=Unable to do; 2=With much difficulty; 3=With some difficulty; 4=With a little difficulty; 5=Without any difficulty",""
"nquex1","Integer","","Recommended","Are you able to open previously opened jars?","1::5","1=Unable to do; 2=With much difficulty; 3=With some difficulty; 4=With a little difficulty; 5=Without any difficulty",""
"nquex2","Integer","","Recommended","Are you able to hold a plate full of food?","1::5","1=Unable to do; 2=With much difficulty; 3=With some difficulty; 4=With a little difficulty; 5=Without any difficulty",""
"nquex3","Integer","","Recommended","Are you able to pull on trousers?","1::5","1=Unable to do; 2=With much difficulty; 3=With some difficulty; 4=With a little difficulty; 5=Without any difficulty",""
"nquex4","Integer","","Recommended","Are you able to button your shirt?","1::5","1=Unable to do; 2=With much difficulty; 3=With some difficulty; 4=With a little difficulty; 5=Without any difficulty",""
"nquex5","Integer","","Recommended","Are you able to trim your fingernails?","1::5","1=Unable to do; 2=With much difficulty; 3=With some difficulty; 4=With a little difficulty; 5=Without any difficulty",""
"nquex6","Integer","","Recommended","Are you able to cut your toe nails?","1::5","1=Unable to do; 2=With much difficulty; 3=With some difficulty; 4=With a little difficulty; 5=Without any difficulty",""
"nquex7","Integer","","Recommended","Are you able to bend down and pick up clothing from the floor?","1::5","1=Unable to do; 2=With much difficulty; 3=With some difficulty; 4=With a little difficulty; 5=Without any difficulty",""
"nquex8","Integer","","Recommended","How much DIFFICULTY do you currently have using a spoon to eat a meal?","1::5","1=Can't do; 2=A lot of difficulty; 3=Some difficulty; 4=A little difficulty; 5=No difficulty",""
"nquex9","Integer","","Recommended","How much DIFFICULTY do you currently have putting on a pullover shirt?","1::5","1=Can't do; 2=A lot of difficulty; 3=Some difficulty; 4=A little difficulty; 5=No difficulty",""
"nquex10","Integer","","Recommended","How much DIFFICULTY do you currently have taking off a pullover shirt?","1::5","1=Can't do; 2=A lot of difficulty; 3=Some difficulty; 4=A little difficulty; 5=No difficulty",""
"nquex11","Integer","","Recommended","How much DIFFICULTY do you currently have removing wrappings from small objects?","1::5","1=Can't do; 2=A lot of difficulty; 3=Some difficulty; 4=A little difficulty; 5=No difficulty",""
"nquex12","Integer","","Recommended","How much DIFFICULTY do you currently have opening medications or vitamin containers (e.g., childproof containers, small bottles)?","1::5","1=Can't do; 2=A lot of difficulty; 3=Some difficulty; 4=A little difficulty; 5=No difficulty",""
"nquex_rs","Float","","Recommended","Neuro-QOL Item Bank v1.0 - Upper Extremity Function - Short Form Total Raw Score (Sum of nquex29, nquex20, nquex44, nquex36, nquex30, nquex28, nquex33, nquex37)","8::40","",""
"nquex_pros","Float","","Recommended","Neuro-QOL Item Bank v1.0 - Upper Extremity Function Short Form Prorated Raw Score","8::40","",""
"nquex_t","Float","","Recommended","Neuro-QOL Item Bank v1.0 - Upper Extremity Function Short Form T Score","0::99.9","",""
"nquex_se","Float","","Recommended","Neuro-QOL Item Bank v1.0 - Upper Extremity Function Standard Error","0::9.9","",""
