"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"njre00_1","Integer","","Recommended","I have had the sensation after getting dressed that parts of my clothes (tags, collars, pant legs, etc.) didnt feel just right.","0; 1","0= No; 1= Yes","njre1_1,njre2_1"
"njre00_2","Integer","","Recommended","When placing a book back onto a shelf, I have had the sensation that it did not look just right with the other books.","0; 1","0= No; 1= Yes","njre1_2,njre2_2"
"njre00_3","Integer","","Recommended","When locking the door to my house, I have had the sensation that the feel of the lock locking wasnt just right.","0; 1","0= No; 1= Yes","njre1_3,njre2_3"
"njre00_4","Integer","","Recommended","I have had the sensation while folding my clothes that they did not look the way folded clothes should look.","0; 1","0= No; 1= Yes","njre1_4,njre2_4"
"njre00_5","Integer","","Recommended","I have had the sensation while writing something down that the words did not look just how I wanted them to look.","0; 1","0= No; 1= Yes","njre1_5,njre2_5"
"njre00_6","Integer","","Recommended","When talking to people, I have had the sensation that my words did not sound just right.","0; 1","0= No; 1= Yes","njre1_6,njre2_6"
"njre00_7","Integer","","Recommended","I have had the sensation while organizing my desk that my papers and other things didnt look just right.","0; 1","0= No; 1= Yes","njre1_7,njre2_7"
"njre00_8","Integer","","Recommended","When putting a bill or letter into a mailbox, I have had the sensation that the way I placed the envelope in the mailbox and closed the door didnt feel just right.","0; 1","0= No; 1= Yes","njre1_8,njre2_8"
"njre00_9","Integer","","Recommended","After washing my hands once, I have had the sensation that they did not feel just the way clean hands are supposed to feel.","0; 1","0= No; 1= Yes","njre1_9,njre2_9"
"njre00_10","Integer","","Recommended","When hanging a picture on the wall, I have had the sensation that it did not look just right.","0; 1","0= No; 1= Yes","njre1_10,njre2_10"
"njre00_11","Integer","","Recommended","The NJRE from the list above that occurred most recently is the following:","1::10","1 = I have had the sensation after getting dressed that parts of my clothes (tags, collars, pant legs, etc.) did not feel just right; 2 = When placing a book back onto a shelf, I have had the sensation that it did not look just right with the other books; 3 = When locking the door to my house, I have had the sensation that the feel of the lock locking was not just right; 4 = I have had the sensation while folding my clothes that they did not look the way folded clothes should look; 5 = I have had the sensation while writing something down that the words did not look just how I wanted them to look; 6 = When talking to people, I have had the sensation that my words did not sound just right; 7 = I have had the sensation while organizing my desk that my papers and other things did not look just right; 8 = When putting a bill or letter into a mailbox, I have had the sensation that the way I placed the envelope in the mailbox and closed the door did not feel just right; 9 = After washing my hands once, I have had the sensation that they did not feel just the way clean hands are supposed to feel; 10 = When hanging a picture on the wall, I have had the sensation that it did not look just right","njre1_11,njre2_11"
"njre00_12","Integer","","Recommended","The last time that the recent NJRE occurred was","1::4","1= Within the past few hours; 2= Within the past day; 3= Within the past week; 4= Within the past month","njre1_12,njre2_12"
"njre00_13","Integer","","Recommended","How frequently did you experience this NJRE?","1::7","1= Never; 3= Within the past year; 5= Within the past month; 7= Within the past day","njre1_13,njre2_13"
"njre00_14","Integer","","Recommended","How intense was this NJRE?","1::7","1= Not intense at all; 4= Moderate intense; 7= Extremely intense","njre1_14,njre2_14"
"njre00_15","Integer","","Recommended","To what degree did this NJRE bother you or cause you distress AT THE TIME?","1::7","1= No distress at all; 4= Moderate distress; 7= Extreme distress","njre1_15,njre2_15"
"njre00_16","Integer","","Recommended","To what degree did this NJRE bother you or cause you distress LATER THAT SAME DAY?","1::7","1= No distress at all; 4= Moderate distress; 7= Extreme distress","njre1_16,njre2_16"
"njre00_17","Integer","","Recommended","To what extent did you feel that you couldn't get this NJRE out of your mind?","1::7","1= Not difficult at all to get it out of my mind; 4= Moderately difficult to get it out of my mind; 7= Extremely difficult to get it out of my mind","njre1_17,njre2_17"
"njre00_18","Integer","","Recommended","To what extent did you have an urge to do something about this NJRE?","1::7","1= No urge to do something; 4= Moderate urge to do something; 7= Extreme urge to do something","njre1_18,njre2_18"
"njre00_19","Integer","","Recommended","To what extent did you feel that it was your responsibility to do something about this NJRE?","1::7","1= Not at all responsible; 4= Moderately responsible; 7= Extremely responsible","njre1_19,njre2_19"
"njre_fs","Integer","","Recommended","Frequency score","","",""
"njre_is","Integer","","Recommended","Intensity score","","",""
"njre_ids","Integer","","Recommended","Immediate Distress score","","",""
"njre_dds","Integer","","Recommended","Delayed Distress score","","",""
"njre_rs","Integer","","Recommended","Rumination score","","",""
"njre_urs","Integer","","Recommended","Urge to Respond score","","",""
"njre_fsrs","Integer","","Recommended","Felt sense of responsibility score","","",""
"njre_tot","Integer","","Recommended","Total number of NJRE","","",""
