"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"nmdas_cf_1","Integer","","Recommended","Rate function over the preceding 4-week period, according to patient and/or caregiver interview only: Vision with usual glasses or contact lenses","0::5","0 = Normal; 1 = No functional impairment but aware of worsened acuities; 2 = Mild - difficulty with small print or text on television; 3 = Moderate - difficulty outside the home (e.g. bus numbers, road signs or shopping); 4 = Severe - difficulty recognizing faces; 5 = Unable to navigate without help (e.g. carer, dog, cane)",""
"nmdas_cf_2","Integer","","Recommended","Rate function over the preceding 4-week period, according to patient and/or caregiver interview only: Hearing with or without hearing aid","0::5","0 = Normal; 1 = No communication problems but aware of tinnitus or deterioration from prior ''normal hearing''; 2 = Mid deafness (e.g. missing words in presence of background noise). Fully corrected with hearing aid; 3 = Moderate deafness (e.g. regularly requiring repetition). Not fully corrected with hearing aid; 4 = Severe deafness - poor hearing even with aid (see 3 above); 5 = End stage - virtually no hearing despite aid. Relies heavily on non-verbal communication (e.g. lip reading) or has cochlear implant",""
"nmdas_cf_3","Integer","","Recommended","Rate function over the preceding 4-week period, according to patient and/or caregiver interview only: Speech","0::5","0 = Normal; 1 = Communication unaffected but patient or others aware of changes in speech patterns or quality; 2 = Mild difficulties - usually understood and rarely asked to repeat things; 3 = Moderate difficulties - poorly understood by strangers and frequently asked to repeat things; 4 = Severe difficulties - poorly understood by family or friends; 5 = Not understood by family or friends. Requires communication aid",""
"nmdas_cf_4","Integer","","Recommended","Rate function over the preceding 4-week period, according to patient and/or caregiver interview only: Swallowing","0::5","0 = Normal; 1 = Mild-sensation of solids sticking (occasional); 2 = Sensation of Solids sticking (most meals) or need to modify diet (e.g. avoidance of steak/salad); 3 = Difficulty Swallowing solids - affecting meal size or duration. Coughing; 4 = Requires adapted diet - regular coughing; 5 = Requiring enteral feeding (e.g. PEG)",""
"nmdas_cf_5","Integer","","Recommended","Rate function over the preceding 4-week period, according to patient and/or caregiver interview only: Handwriting","0::5","0 = Normal; 1 = Writing speed unaffected but aware of increasing untidiness; 2 = Mild - Has to write slower to maintain tidiness/legibility; 3 = Moderate - Handwriting takes at least twice as long or resorts to printing (must previously have used joined writing); 4 = Severe - Handwriting mostly illegible. Printing very slow and untidy (e.g. ''THE BLACKCAT'' Takes in excess of 30 seconds); 5 = Unable to write. No legible words",""
"nmdas_cf_6","Integer","","Recommended","Rate function over the preceding 4-week period, according to patient and/or caregiver interview only: Cutting food and handling utensils (irrespective of contributory factors. e.g. weakness, coordination, cognitive function etc.)","0::5","0 = Normal; 1 = Slightly slow and/or clumsy but minimal effect on meal duration; 2 = Slow and/or clumsy with extended meal duration; 3 = Difficulty cutting lip food and inaccuracy of transfer pronounced. Can manage alone but avoids problem foods (e.g. peas) or carer typically offers minor assistance (e.g. cutting up steak); 4 = Unable to cut up food. Can pass food to mouth with great effort or inaccuracy. Resultant intake minimal. Requires major assistance; 5 = Needs to be fed",""
"nmdas_cf_7","Integer","","Recommended","Rate function over the preceding 4-week period, according to patient and/or caregiver interview only: Dressing (irrespective of contributory factors. e.g. weakness, coordination, cognitive function etc.)","0::5","0 = Normal; 1 = Occasional difficulties (e.g. shoe laces); 2 = Mild - dressing takes longer and requires more effort than expected at the patient's age. No help required; 3 = Moderate - Can dress unaided but takes at least twice as long and is a major effort. Carer typically helps with difficult tasks such as shoe laces or buttons; 4 = Severe - Unable to dress without help but some tasks completed unaided; 5 = Needs to be dressed",""
"nmdas_cf_8","Integer","","Recommended","Rate function over the preceding 4-week period, according to patient and/or caregiver interview only: Hygiene (irrespective of contributory factors. e.g. weakness, coordination, cognitive function etc.)","0::5","0 = Normal; 1 = Occasional difficulties only but no real impact on time or effort required; 2 = Mild- hygienic care takes longer but quality unaffected; 3 = Moderate - bathes and showers alone with difficulty or needs bath chair/modifications. Dexterous tasks (e.g. brushing teeth); 4 = Severe - unable to bathe or shower without help. Major difficulty using toilet alone. Dexterous tasks require help; 5 = Dependent on carers to wash to wash, bathe and toilet",""
"nmdas_cf_9","Integer","","Recommended","Rate function over the preceding 4-week period, according to patient and/or caregiver interview only: Exercise Tolerance (irrespective of contributory factors. e.g. weakness, coordination, cognitive function etc.)","0::5","0 = Normal; 1 = Unlimited on flat - symptomatic on inclines or stairs; 2 = Able to walk < 1000m on the flat. Restricted on inclines or stairs-rest needed after flight (12 steps); 3 = Able to walk < 500m on the flat; 4 = Able to walk < 100m on the flat. Rest needed after 4 steps on stairs; 5 = Able to walk < 25m on the flat, Unable to do stairs alone",""
"nmdas_cf_10","Integer","","Recommended","Rate function over the preceding 4-week period, according to patient and/or caregiver interview only: Gait Stability (irrespective of contributory factors. e.g. weakness, coordination, cognitive function etc.)","0::5","0 = Normal; 1 = Normal gait - occasional difficulties on turns; 2 = Gait reasonably steady. Aware of impaired balance. Occasionally off balance when walking; 3 = Unsteady gait. Always off balance when walking. Occasional falls. Gait steady with support of stick or person; 4 = Gait grossly unsteady without support. High likelihood of falls. Can only walk short distances (<10m) without support; 5 = Unable to walk without support. Falls on standing",""
"nmdas_ssi_1","Integer","","Recommended","Rate function according to patient and/or caregiver interview and consultation with the medical notes. Each inquiry should take into account the situation for the preceding 12-month period only, unless stated otherwise in the question: Psychiatric","0::5","0 = None; 1 = Mild & transient (e.g. reactive depression) - lasting less than 3 months; 2 = Mild & persistent (lasting more than 3 months) or recurrent. Patient has consulted GP; 3 = Moderate & warranting specialist treatment (e.g. from a psychiatrist) - e.g. bipolar disorder or depression with vegetative symptoms (insomnia; 4 = Severe (e.g. self-harm - psychosis etc.); 5 = Institutionalized or suicide attempt",""
"nmdas_ssi_2","Integer","","Recommended","Rate function according to patient and/or caregiver interview and consultation with the medical notes. Each inquiry should take into account the situation for the preceding 12-month period only, unless stated otherwise in the question: Migraine Headaches during the last 3 months, how many days have headaches prevented the patient from functioning normally at school, work, or in the home?","0::5","0 = No past history; 1 = Asymptomatic but past history of migraines; 2 = One day per month; 3 = Two days per month; 4 = Three days per month; 5 = Four days per month or more",""
"nmdas_ssi_3","Integer","","Recommended","Rate function according to patient and/or caregiver interview and consultation with the medical notes. Each inquiry should take into account the situation for the preceding 12-month period only, unless stated otherwise in the question: Seizures","0::5","0 = No past history; 1 = Asymptomatic but past history of epilepsy; 2 = Myoclonic or simple partial seizures only; 3 = Multiple absence; 4 = Multiple generalized seizures; 5 = Status epilepticus",""
"nmdas_ssi_4","Integer","","Recommended","Rate function according to patient and/or caregiver interview and consultation with the medical notes. Each inquiry should take into account the situation for the preceding 12-month period only, unless stated otherwise in the question: Stroke - like episodes (exclude focal deficits felt to be of vascular etiology)","0::5","0 = None; 1 = Transient focal sensory symptoms only (less than 24 hours); 2 = Transient focal motor symptoms only (less than 24 hours); 3 = Single stroke-like episode affecting one hemisphere (more than 24 hours); 4 = Single stroke-like episode affecting both hemispheres (more than 24 hours); 5 = Multiple stroke-like episodes (more than 24 hours each)",""
"nmdas_ssi_5","Integer","","Recommended","Rate function according to patient and/or caregiver interview and consultation with the medical notes. Each inquiry should take into account the situation for the preceding 12-month period only, unless stated otherwise in the question: Encephalopathic episodes","0::5","0 = No past history; 1 = Asymptomatic but past history of encephalopathy; 2 = Mild - single episode of personality or behavioral change but retaining orientation in time/space/person. 3; 4 = Severe - multiple moderate episodes (as above) or emergency hospital admission due to encephalopathy without associated seizures or stroke-like episodes; 5 = Very severe - in association with seizures",""
"nmdas_ssi_6","Integer","","Recommended","Rate function according to patient and/or caregiver interview and consultation with the medical notes. Each inquiry should take into account the situation for the preceding 12-month period only, unless stated otherwise in the question: Gastro-intestinal symptoms","0::5","0 = None; 1 = Mild constipation only or past history of bowel resection for dysmotility; 2 = Occasional symptoms of ''irritable bowel'' (pain, bloating or diarrhea) with long spells of normality; 3 = Frequent symptoms (as above) most weeks or severe constipation with bowels open less than once week or need for daily medications; 4 = Dysmotility requiring admission or persistent and/or recurrent anorexia/vomiting/weight loss; 5 = Surgical procedures or resections for gastrointestinal dysmotility",""
"nmdas_ssi_7","Integer","","Recommended","Rate function according to patient and/or caregiver interview and consultation with the medical notes. Each inquiry should take into account the situation for the preceding 12-month period only, unless stated otherwise in the question: Diabetes mellitus","0::5","0 = None; 1 = Past history of gestational diabetes or transient glucose intolerance related to intercurrent illness; 2 = Impaired glucose tolerance (in absence of intercurrent illness); 3 = NIDDM (Diet); 4 = NIDDM (Tablets); 5 = DM requiring insulin (irrespective of treatment at onset)",""
"nmdas_ssi_8","Integer","","Recommended","Rate function according to patient and/or caregiver interview and consultation with the medical notes. Each inquiry should take into account the situation for the preceding 12-month period only, unless stated otherwise in the question: Respiratory muscle weakness","0::5","0 = FVC normal (>=85% predicted); 1 = FVC < 85% predicted; 2 = FVC < 75% predicted; 3 = FVC < 65% predicted; 4 = FVC < 55% predicted; 5 = FVC < 45% predicted or ventilatory support for over 6 hours per 24 hr. period (not for OSA alone)",""
"nmdas_ssi_9","Integer","","Recommended","Rate function according to patient and/or caregiver interview and consultation with the medical notes. Each inquiry should take into account the situation for the preceding 12-month period only, unless stated otherwise in the question: Cardiovascular system","0::5","0 = None; 1 = Asymptomatic ECG change; 2 = Asymptomatic LVH on echo or non-sustained brady/tachyarrhythmia on ECG; 3 = Sustained or symptomatic arrhythmia, LVH or cardiomyopathy. Dilated chambers Or reduced function on echo. Mobitz II AV black or greater.; 4 = Requires pacemaker, defibrillator, arrhythmia ablation, or LVEF < 35% on echocardiogram; 5 = Symptoms of left ventricular failure with clinical and/or X-ray evidence of pulmonary edema or LVEF < 30% on echocardiogram",""
"nmdas_cca_1","Integer","","Recommended","Rate current status according to examination performed at the time of assessment: Visual acuity with usual glasses, contact lenses or pinhole","0::5","0 = CSD less than or equal to 12 (i.e. normal vision - 676; 1 = CSD less than or equal to 18 (e.g. 6/9, 6/9); 2 = CSD less than or equal to 36 (e.g. 6/12, 6/24); 3 = CSD less than or equal to 60 (e.g. 6/24, 6/36); 4 = CSD less than or equal to 96 (e.g. 6/60, 6/36); 5 = CSD less than or equal to 120 (e.g. 6/60, 6760 or worse)",""
"nmdas_cca_2","Integer","","Recommended","Rate current status according to examination performed at the time of assessment: Ptosis","0::5","0 = None; 1 = Mild ptosis -- not obscuring either pupil; 2 = Unilateral ptosis obscuring <1/3 of pupil; 3 = Bilateral ptosis obscuring < 1/3 or unilateral ptosis obscuring > 1/3 of pupil or prior unilateral surgery; 4 = Bilateral ptosis obscuring > 1/3 of pupils or prior bilateral surgery; 5 = Bilateral ptosis obscuring >2/3 of pupils or > f3 of pupils despite prior bilateral surgery",""
