"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"nmre_01","Integer","","Recommended","When I am upset, I believe that I can usually find a way to cheer myself up","1::5","1= Strongly disagree; 2= Mildly disagree; 3= Agree and disagree equally; 4= Mildly agree; 5= Strongly agree",""
"nmre_02","Integer","","Recommended","When I am upset, I believe that I can do something to feel better","1::5","1= Strongly disagree; 2= Mildly disagree; 3= Agree and disagree equally; 4= Mildly agree; 5= Strongly agree",""
"nmre_03","Integer","","Recommended","When I am upset, I believe that wallowing in it is all I can do","1::5","1= Strongly disagree; 2= Mildly disagree; 3= Agree and disagree equally; 4= Mildly agree; 5= Strongly agree",""
"nmre_04","Integer","","Recommended","When I am upset, I believe that I will feel okay if I think about more pleasant times","1::5","1= Strongly disagree; 2= Mildly disagree; 3= Agree and disagree equally; 4= Mildly agree; 5= Strongly agree",""
"nmre_05","Integer","","Recommended","When I am upset, I believe that being with other people will be a drag","1::5","1= Strongly disagree; 2= Mildly disagree; 3= Agree and disagree equally; 4= Mildly agree; 5= Strongly agree",""
"nmre_06","Integer","","Recommended","When I am upset, I believe that I can feel better by treating myself to something I like","1::5","1= Strongly disagree; 2= Mildly disagree; 3= Agree and disagree equally; 4= Mildly agree; 5= Strongly agree",""
"nmre_07","Integer","","Recommended","When I am upset, I believe that I'll feel better when I understand why I feel bad","1::5","1= Strongly disagree; 2= Mildly disagree; 3= Agree and disagree equally; 4= Mildly agree; 5= Strongly agree",""
"nmre_08","Integer","","Recommended","When I am upset, I believe that I won't be able to get myself to do anything about it","1::5","1= Strongly disagree; 2= Mildly disagree; 3= Agree and disagree equally; 4= Mildly agree; 5= Strongly agree",""
"nmre_09","Integer","","Recommended","When I am upset, I believe that I won't feel much better by trying to find some good in the situation","1::5","1= Strongly disagree; 2= Mildly disagree; 3= Agree and disagree equally; 4= Mildly agree; 5= Strongly agree",""
"nmre_10","Integer","","Recommended","When I am upset, I believe that it won't be long before I can calm myself down","1::5","1= Strongly disagree; 2= Mildly disagree; 3= Agree and disagree equally; 4= Mildly agree; 5= Strongly agree",""
"nmre_11","Integer","","Recommended","When I am upset, I believe that it will be hard to find someone who really understands","1::5","1= Strongly disagree; 2= Mildly disagree; 3= Agree and disagree equally; 4= Mildly agree; 5= Strongly agree",""
"nmre_12","Integer","","Recommended","When I am upset, I believe that telling myself it will pass will help me calm down","1::5","1= Strongly disagree; 2= Mildly disagree; 3= Agree and disagree equally; 4= Mildly agree; 5= Strongly agree",""
"nmre_13","Integer","","Recommended","When I am upset, I believe that doing something nice for someone else will cheer me up","1::5","1= Strongly disagree; 2= Mildly disagree; 3= Agree and disagree equally; 4= Mildly agree; 5= Strongly agree",""
"nmre_14","Integer","","Recommended","When I am upset, I believe that I'll end up feeling really depressed","1::5","1= Strongly disagree; 2= Mildly disagree; 3= Agree and disagree equally; 4= Mildly agree; 5= Strongly agree",""
"nmre_15","Integer","","Recommended","When I am upset, I believe that planning how I will deal with things will help","1::5","1= Strongly disagree; 2= Mildly disagree; 3= Agree and disagree equally; 4= Mildly agree; 5= Strongly agree",""
