"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","catieid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"visitid","Integer","","Recommended","MetaTrial Visit ID","","System variable: unique code for each type of visit -use to merge files",""
"vis_type","Integer","","Recommended","Visit type","0::2","1=Phone/remote; 0=doctor's office/In person; 2=No, not phone interview",""
"npia00","Integer","","Recommended","Does the subject have beliefs that you know are not true? For example, insisting that people are trying to harm him/her or steal from him/her? Has he/she said that family members are not who they say they are or that the house is not their home?","0;1;9","0 = No Proceed to section B. Hallucinations; 1 = Yes Proceed to subquestions A1-10; 9 = N.A. Not Applicable","npi_del_0"
"npia01","Integer","","Recommended","Does subject believe that he/she is in danger- that others are planning to hurt him/her?","0;1","0=No; 1=Yes","npi_del_1"
"npia02","Integer","","Recommended","Does subject believe
that others are stealing from him/her?","0;1","0=No; 1=Yes","npi_del_2"
"npia03","Integer","","Recommended","Does subject believe that his/her spouse is having an affair?","0;1","0=No; 1=Yes","npi_del_3"
"npia04","Integer","","Recommended","Does subject believe
that unwelcome guests are living in his/her house?","0;1","0=No; 1=Yes","npi_del_4"
"npia05","Integer","","Recommended","Does subject believe that his/her spouse or others are not who they claim to be?","0;1","0=No; 1=Yes","npi_del_5"
"npia06","Integer","","Recommended","Does subject believe
that his/her house is not his/her home?","0;1","0=No; 1=Yes","npi_del_6"
"npia07","Integer","","Recommended","Does subject believe that family members plan to abandon him/her?","0;1","0=No; 1=Yes","npi_del_7"
"npia08","Integer","","Recommended","Does subject believe that television or magazine figures are actually present in the how? (Does he/she try to talk or interact with them?)","0;1","0=No; 1=Yes","npi_del_8"
"npia09","Integer","","Recommended","Does subject believe any other unusual things that I haven't asked about?","0;1","0=No; 1=Yes","npi_del_9"
"npia10a","Integer","","Recommended","Frequency Ratings","1;2;3;4","1 = Occasionally; 2 = Often; 3 = Frequently; 4 = Very Frequently","npi_del_10a"
"npia10b","Integer","","Recommended","Severity Ratings","1;2;3","1 = Mild; 2 = Moderate; 3 = Marked","npi_del_10b"
"npia10c","Integer","","Recommended","Caregiver Distress","0;1;2;3;4;5","0 = Not at all; 1 = Minimally; 2 = Mildly; 3 = Moderately; 4 = Severely; 5 = Very Severely or extremely","npi_del_10c"
"npib00","Integer","","Recommended","Does the subject have hallucinations such as false visions or voices? Does he/she seem to see, hear or experience things that are not present? By this question we do not mean just mistaken beliefs such as stating that someone who had dies is still alive; rather we are asking if the subject actually has abnormal experiences of sounds or visions.","0;1;9","0 = No proceed to section C. Agitation/Aggr; 1 = Yes proceed to subquestions 1-8; 9 = N.A. Not Applicable","npi_hal_0"
"bpib01","Integer","","Recommended","Does subject describe hearing voices or act as if he/she hears voices?","0;1","0=No; 1=Yes","npi_hal_1"
"npib02","Integer","","Recommended","Does subject talk to people who are not there?","0;1","0=No; 1=Yes","npi_hal_2"
"npib03","Integer","","Recommended","Does subject
describe seeing things not seen by others or behave as if he/she is seeing things not seen by others (people, animals, lights, etc.)?","0;1","0=No; 1=Yes","npi_hal_3"
"npib04","Integer","","Recommended","Does subject report smelling odors not smelled by others?","0;1","0=No; 1=Yes","npi_hal_4"
"npib05","Integer","","Recommended","Does subject
describe feeling things on his/her skin or otherwise appear to be feeling things crawling or touching him/her?","0;1","0=No; 1=Yes","npi_hal_5"
"npib06","Integer","","Recommended","Does subject describe tastes that are without any known cause?","0;1","0=No; 1=Yes","npi_hal_6"
"npib07","Integer","","Recommended","Does subject describe any other unusual sensory experiences?","0;1","0=No; 1=Yes","npi_hal_7"
"npib08a","Integer","","Recommended","Frequency Ratings","1;2;3;4","1 = Occasionally; 2 = Often; 3 = Frequently; 4 = Very Frequently","npi_hal_8a"
"npib08b","Integer","","Recommended","Severity Ratings","1;2;3","1 = Mild; 2 = Moderate; 3 = Marked","npi_hal_8b"
"npib08c","Integer","","Recommended","Caregiver Distress","0;1;2;3;4;5","0 = Not at all; 1 = Minimally; 2 = Mildly; 3 = Moderately; 4 = Severely; 5 = Very Severely or extremely","npi_hal_8c"
"npic00","Integer","","Recommended","Agitation/Aggression","0;1;9","0 = No Proceed to section D. Depression/Dys; 1 = Yes Proceed to subquestions 1-9; 9 = N.A. Not Applicable","npi_agi_0"
"npic01","Integer","","Recommended","Does subject get upset with those trying to care for him/her or resist activities such as bathing or changing clothes?","0;1","0=No; 1=Yes","npi_agi_1"
"npic02","Integer","","Recommended","Is subject stubborn, having to have things his/her way?","0;1","0=No; 1=Yes","npi_agi_2"
"npic03","Integer","","Recommended","Is subject uncooperative, resistive to help from others?","0;1","0=No; 1=Yes","npi_agi_3"
"npic04","Integer","","Recommended","Does subject have any other behaviors that make him/her hard to handle?","0;1","0=No; 1=Yes","npi_agi_4"
"npic05","Integer","","Recommended","Does subject shout or curse angrily?","0;1","0=No; 1=Yes","npi_agi_5"
"npic06","Integer","","Recommended","Does subject slam doors, kick furniture, throw things?","0;1","0=No; 1=Yes","npi_agi_6"
"npic07","Integer","","Recommended","Does subject attempt to hurt or hit others?","0;1","0=No; 1=Yes","npi_agi_7"
"npic08","Integer","","Recommended","Does subject have any other aggressive or agitated behaviors?","0;1","0=No; 1=Yes","npi_agi_8"
"npic09a","Integer","","Recommended","Frequency Ratings","1;2;3;4","1 = Occasionally; 2 = Often; 3 = Frequently; 4 = Very Frequently","npi_agi_9a"
"npic09b","Integer","","Recommended","Severity Ratings","1;2;3","1 = Mild; 2 = Moderate; 3 = Marked","npi_agi_9b"
"npic09c","Integer","","Recommended","Caregiver Distress","0;1;2;3;4;5","0 = Not at all; 1 = Minimally; 2 = Mildly; 3 = Moderately; 4 = Severely; 5 = Very Severely or extremely","npi_agi_9c"
"npid00","Integer","","Recommended","Depression/Dysphoria","0;1;9","0 = No Proceed to section E. Anxiety; 1 = Yes Proceed to subquestions 1-9; 9 = N.A. Not Applicable","npi_dep_0"
"npid01","Integer","","Recommended","Does subject have periods of tearfulness or sobbing that seem to indicate sadness?","0;1","0=No; 1=Yes","npi_dep_1"
"npid02","Integer","","Recommended","Does subject say or
act as if he/she is sad or in low spirits?","0;1","0=No; 1=Yes","npi_dep_2"
"npid03","Integer","","Recommended","Does subject put him/herself down or say that he/she feels like a failure?","0;1","0=No; 1=Yes","npi_dep_3"
"npid04","Integer","","Recommended","Does subject say
that he/she is a bad person or deserves to be punished?","0;1","0=No; 1=Yes","npi_dep_4"
