"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"nrgr_subject_id","String","32","Required","NRGR subject id","","Subject id assigned by the NRGR biorepository.",""
"nrgr_study_id","Integer","","Required","NRGR study id","","Study number assigned by NIMH when the study is registered with NRGR.",""
"nrgr_edx_rank","Integer","","Required","NRGR extended dx ranking","","Ranking where nrgr_edx_rank=1 is of primary importance to the study, and follows sequentially upward in decreasing order of importance to the study.",""
"nrgr_edx_study","String","64","Required","NRGR extended dx study","","The concise extended dx (edx) provided in this column is meant to allow future investigators to match extended dx values in corresponding publications.",""
"nrgr_edx_system","String","16","Required","NRGR extended dx system","DSM3R; NRGR_DSM3R; DSM4; NRGR_DSM4; DSM5; ICD9; ICD9_MED; DSM5_ICD9; NRGR_DSM5_ICD9; ICD10; DSM5_ICD10; NRGR_DSM5_ICD10; DSM6; ICD11; MRDC; RDC; SS","NRGR codes used in nrgr_edx_study should derive from a standard diagnostic system (e.g., DSM4), or be indicated as study-specific ('SS').  DSM3R=Diagnostic and Statistical Manual of Mental Disorders, 3rd Edition, Revision (DSM-III-R); NRGR_DSM3R=Supplemental codes for DSM3R, curated by NRGR; DSM4=Diagnostic and Statistical Manual of Mental Disorders, 4th Edition & 4th Edition, Text Revision; NRGR_DSM4=Supplemental codes for DSM4, curated by NRGR; DSM5=Diagnostic and Statistical Manual of Mental Disorders, 5th Edition; ICD9=International Statistical Classification of Diseases and Related Health Problems, 9th Revision; ICD9_MED=International Statistical Classification of Diseases and Related Health Problems, 9th Revision, medical diagnosis; DSM5_ICD9=Diagnostic and Statistical Manual of Mental Disorders, 5th Edition. International Statistical Classification of Diseases and Related Health Problems, 9th Revision; NRGR_DSM5_ICD9=Supplemental codes for DSM5-ICD9, curated by NRGR; ICD10=International Statistical Classification of Disease and Related Health Problems, 10th Revision; DSM5_ICD10=Diagnostic and Statistical Manual of Mental Disorders, 5th Edition. International Statistical Classification of Disease and Related Health Problems, 10th Revision; NRGR_DSM5_ICD10=Supplemental codes for DSM5-ICD9, curated by NRGR; DSM6=Diagnostic and Statistical Manual of Mental Disorders, 6th Edition; ICD11=International Statistical Classification of Disease and Related Health Problems, 11th Revision; MRDC=Modified Research Diagnostic Criteria Codes; RDC=Research Diagnostic Criteria Codes; SS=Study Specific",""
"nrgr_edx_confidence","String","4","Required","NRGR extended dx confidence","1; 2; 3; 4","Confidence in the nrgr_edx_study asserted. 1=Unknown: diagnosis asserted but completeness of diagnosis and status of supporting information is unknown; 2=Low: only some diagnostic criteria met; 3=Medium: all criteria met, no supporting information; 4=High: all criteria met and has supporting information",""
"nrgr_edx_external_support","String","4","Required","NRGR extended dx external support","I; E","Location of support for diagnosis asserted for nrgr_edx_study. For example, medical records, interviews with family members, etc. dx based on any source or instrument, even one administered by the study itself, should be coded E=external, if not deposited to either NRGR or NDA. I=Internal, submitted to NRGR and/or NDA; E=External, not submitted to NRGR or NDA",""
"nrgr_edx_age_onset","Integer","","Recommended","NRGR extended dx age onset (months)","","Age of onset (in months) of the condition indicated in the nrgr_edx_study.",""
