"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"nrgr_subject_id","String","32","Required","NRGR subject id","","Subject id assigned by the NRGR biorepository.",""
"cell_id_biorepository","String","100","Recommended","Biorepository cell line ID","","",""
"site","String","101","Recommended","Site","","Study Site",""
"family_famhx_phen","Integer","","Required","Does first-degree family member have a mood/psychotic disorder?","1::3","1= First degree family member with mood or psychotic disorder; 2= First degree family member without mood or psychotic disorder; 3= First degree family member unknown mood or psychotic disorder",""
"relative","String","100","Recommended","First degree family member(s) who has either a mood or psychotic disorder","","List of family members, e.g., father, mother, daughter, brother, siblings",""
"mdd_famhx_phen","Integer","","Required","Does this family member have MDD?","1::3","1= Yes; 2= No; 3= Unknown",""
"schizophrenia_famhx_phen","Integer","","Required","Does this family member have schizophrenia?","1::3","1= Yes; 2= No; 3= Unknown",""
"bpd_famhx_phen","Integer","","Required","Does this family member have Bipolar Disorder?","1::3","1= Yes; 2= No; 3= Unknown",""
