"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"ntbs1","Integer","","Recommended","If other people don't seem to accept me, I don't let it bother me","0::4","0 = Strongly disagree; 1 = Moderately disagree; 2 = Neither agree nor disagree; 3 = Moderately agree; 4 = Strongly agree",""
"ntbs2","Integer","","Recommended","I try hard not to do things that will make other people avoid or reject me","0::4","0 = Strongly disagree; 1 = Moderately disagree; 2 = Neither agree nor disagree; 3 = Moderately agree; 4 = Strongly agree",""
"ntbs3","Integer","","Recommended","I seldom worry about whether other people care about me","0::4","0 = Strongly disagree; 1 = Moderately disagree; 2 = Neither agree nor disagree; 3 = Moderately agree; 4 = Strongly agree",""
"ntbs4","Integer","","Recommended","I need to feel that there are people I can turn to in times of need","0::4","0 = Strongly disagree; 1 = Moderately disagree; 2 = Neither agree nor disagree; 3 = Moderately agree; 4 = Strongly agree",""
"ntbs5","Integer","","Recommended","I want other people to accept me","0::4","0 = Strongly disagree; 1 = Moderately disagree; 2 = Neither agree nor disagree; 3 = Moderately agree; 4 = Strongly agree",""
"ntbs6","Integer","","Recommended","I do not like being alone","0::4","0 = Strongly disagree; 1 = Moderately disagree; 2 = Neither agree nor disagree; 3 = Moderately agree; 4 = Strongly agree",""
"ntbs7","Integer","","Recommended","Being apart from my friends for long periods of time does not bother me","0::4","0 = Strongly disagree; 1 = Moderately disagree; 2 = Neither agree nor disagree; 3 = Moderately agree; 4 = Strongly agree",""
"ntbs8","Integer","","Recommended","I have a strong need to belong","0::4","0 = Strongly disagree; 1 = Moderately disagree; 2 = Neither agree nor disagree; 3 = Moderately agree; 4 = Strongly agree",""
"ntbs9","Integer","","Recommended","It bothers me a great deal when I am not included in other people's plans","0::4","0 = Strongly disagree; 1 = Moderately disagree; 2 = Neither agree nor disagree; 3 = Moderately agree; 4 = Strongly agree",""
"ntbs10","Integer","","Recommended","My feelings are easily hurt when I feel that others do not accept me","0::4","0 = Strongly disagree; 1 = Moderately disagree; 2 = Neither agree nor disagree; 3 = Moderately agree; 4 = Strongly agree",""
"ntbs_total","Integer","","Recommended","Need To Belong Scale Total Score","","",""
"ntbs8_7pt","Integer","","Recommended","I have a strong need to belong","1::7","1 = Strongly disagree; 2 = Disagree; 3 = Somewhat Disagree; 4 = Neither agree nor disagree; 5 = Somewhat agree; 6 = Agree; 7 = Strongly agree",""
"ntb8","Integer","","Recommended","I have a strong ''need to belong.''","1::5","1= Not at all characteristic; 2= Slightly characteristic; 3= Moderately characteristic; 4= Very characteristic; 5= Extremely characteristic",""
"ntb9","Integer","","Recommended","It bothers me a great deal when I am not included in other people''s plans.","1::5","1= Not at all characteristic; 2= Slightly characteristic; 3= Moderately characteristic; 4= Very characteristic; 5= Extremely characteristic",""
"ntb10","Integer","","Recommended","My feelings are easily hurt when I feel that others do not accept me.","1::5","1= Not at all characteristic; 2= Slightly characteristic; 3= Moderately characteristic; 4= Very characteristic; 5= Extremely characteristic",""
"ntb1","Integer","","Recommended","If other people do not seem to accept me, I do not let it bother me.","1::5","1= Not at all characteristic; 2= Slightly characteristic; 3= Moderately characteristic; 4= Very characteristic; 5= Extremely characteristic",""
"ntb2","Integer","","Recommended","I try hard not to do things that will make other people avoid or reject me.","1::5","1= Not at all characteristic; 2= Slightly characteristic; 3= Moderately characteristic; 4= Very characteristic; 5= Extremely characteristic",""
"ntb3","Integer","","Recommended","I seldom worry about whether other people care about me.","1::5","1= Not at all characteristic; 2= Slightly characteristic; 3= Moderately characteristic; 4= Very characteristic; 5= Extremely characteristic",""
"ntb4","Integer","","Recommended","I need to feel that there are people I can turn to in times of need.","1::5","1= Not at all characteristic; 2= Slightly characteristic; 3= Moderately characteristic; 4= Very characteristic; 5= Extremely characteristic",""
"ntb5","Integer","","Recommended","I want other people to accept me.","1::5","1= Not at all characteristic; 2= Slightly characteristic; 3= Moderately characteristic; 4= Very characteristic; 5= Extremely characteristic",""
"ntb6","Integer","","Recommended","I do not like being alone.","1::5","1= Not at all characteristic; 2= Slightly characteristic; 3= Moderately characteristic; 4= Very characteristic; 5= Extremely characteristic",""
"ntb7","Integer","","Recommended","Being apart from my friends for long periods of time does not bother me.","1::5","1= Not at all characteristic; 2= Slightly characteristic; 3= Moderately characteristic; 4= Very characteristic; 5= Extremely characteristic",""
