"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","GUID_R03"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","SID_R03"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"nwspm01","Integer","","Recommended","You had trouble concentrating or keeping your mind on what you were doing, even when you tried to concentrate","0;1","0=No; 1=Yes","NWSPM01_R03"
"nwspm02","Integer","","Recommended","You lost interest in activities which usually meant a lot to you","0;1","0=No; 1=Yes","NWSPM02_R03"
"nwspm03","Integer","","Recommended","You felt you had to stay on guard much of the time","0;1","0=No; 1=Yes","NWSPM03_R03"
"nwspm04","Integer","","Recommended","You deliberately tried very hard not to think about something that had happened to you","0;1","0=No; 1=Yes","NWSPM04_R03"
"nwspm05","Integer","","Recommended","You had difficulty falling asleep or staying asleep","0;1","0=No; 1=Yes","NWSPM05_R03"
"nwspm06","Integer","","Recommended","You stopped caring about activities in your life that used to be important to you","0;1","0=No; 1=Yes","NWSPM06_R03"
"nwspm07","Integer","","Recommended","Unexpected noises startled you more than usual","0;1","0=No; 1=Yes","NWSPM07_R03"
"nwspm08","Integer","","Recommended","You kept having unpleasant memories or seeing them in your mind","0;1","0=No; 1=Yes","NWSPM08_R03"
"nwspm09","Integer","","Recommended","You had repeated bad dreams or nightmares","0;1","0=No; 1=Yes","NWSPM09_R03"
"nwspm10","Integer","","Recommended","You went out of your way to avoid certain places or activities which might remind you of something that happened to you in the past","0;1","0=No; 1=Yes","NWSPM10_R03"
"nwspm11","Integer","","Recommended","You deliberately tried to avoid having feelings about something that happened to you in the past","0;1","0=No; 1=Yes","NWSPM11_R03"
"nwspm12","Integer","","Recommended","You felt cut off from other people or found it difficult to feel close to other people","0;1","0=No; 1=Yes","NWSPM12_R03"
"nwspm13","Integer","","Recommended","It seemed you could not feel things anymore or that you had much less emotion than you used to","0;1","0=No; 1=Yes","NWSPM13_R03"
"nwspm14","Integer","","Recommended","You found yourself suddenly feeling very anxious, fearful, or panicky","0;1","0=No; 1=Yes","NWSPM14_R03"
"nwspm15","Integer","","Recommended","Little things bothered you a lot or could make you very angry","0;1","0=No; 1=Yes","NWSPM15_R03"
"nwspm16","Integer","","Recommended","Disturbing memories kept coming into your mind whether you wanted to think of them or not","0;1","0=No; 1=Yes","NWSPM16_R03"
"nwspm17","Integer","","Recommended","You felt a lot worse when you were in a situation that reminded you of something that had happened to you in the past","0;1","0=No; 1=Yes","NWSPM17_R03"
"nwspm18","Integer","","Recommended","You found yourself reacting physically to things that remind you of something that had happened to you in the past","0;1","0=No; 1=Yes","NWSPM18_R03"
"nwspm19","Integer","","Recommended","The way you think about or plan for the future was changed by something that happened to you in the past","0;1","0=No; 1=Yes","NWSPM19_R03"
"nwspm20","Integer","","Recommended","Have you ever had a ""flashback""","0;1","0=No; 1=Yes","NWSPM20_R03"
"nwspm21a","Integer","","Recommended","Have you ever felt that there were parts of any such experiences that you couldn't remember","0;1","0=No; 1=Yes","NWSPM21a_R03"
"nwspm21b","Integer","","Recommended","If yes, is that about birth","0;1","0=No; 1=Yes","NWSPM21b_R03"
"nwspm22a","Integer","","Recommended","Did any of those traumatic events or the emotions cause Problems with your school/job","0;1","0=No; 1=Yes","NWSPM22a_R03"
"nwspm22b","Integer","","Recommended","Did any of those traumatic events or the emotions cause Problems with your physical health","0;1","0=No; 1=Yes","NWSPM22b_R03"
"nwspm22c","Integer","","Recommended","Did any of those traumatic events or the emotions cause Problems with family members or friends","0;1","0=No; 1=Yes","NWSPM22c_R03"
"nwspm23","Integer","","Recommended","How distressing have all these symptoms and problems been to you","1::3","1=Very distressing; 2=A little distressing; 3=Not at all distressing","NWSPM23_R03"
"nwspm24a","Integer","","Recommended","Have you ever been told that you suffer an illness called schizophrenia or bipolar disorder","0;1","0=No; 1=Yes","NWSPM24a_R03"
"nwspm24b","String","25","Recommended","If yes, which one","","schizophrenia or bipolar disorder","NWSPM24b_R03"
