"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ageyears","Integer","","Recommended","Age in years","","",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2",""
"version","String","20","Recommended","Version/code of assessment","","e.g., Self-Report, Parent Form, Short Form, Revised Version",""
"pastudyday","Integer","","Recommended","PA study day (range 1- 710)","","",""
"pamonth","Integer","","Recommended","PA monitoring month","","",""
"paweekday","String","10","Recommended","Day of week","","",""
"minsequence","Integer","","Recommended","Sequential daily observation number (range 1-1440, represents 00:00 to 23:59 minutes)","","",""
"suspectminute","Integer","","Recommended","Suspicious minute suggesting monitor wear during sleep","","",""
"mincnt","Integer","","Recommended","Average daily counts of physical activity","","",""
