"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"obq1","Integer","","Recommended","Having bad thoughts or urges means I'm likely to act on them","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq2","Integer","","Recommended","Having control over my thoughts is a sign of good character","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq3","Integer","","Recommended","If I am uncertain, there is something wrong with me","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq4","Integer","","Recommended","If I imagine something bad happening, then I am responsible for making sure it doesn't happen","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq5","Integer","","Recommended","If I don't control my unwanted thoughts, something bad is bound to happen","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq6","Integer","","Recommended","I often think things around me are unsafe","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq7","Integer","","Recommended","When I hear about a tragedy, I can't stop wondering if I am responsible in some way","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq8","Integer","","Recommended","Whenever I lose control of my thoughts, I must struggle to regain control","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq9","Integer","","Recommended","I am much more likely to be punished than are others","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq10","Integer","","Recommended","If I'm not absolutely sure of something, I'm bound to make a mistake","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq11","Integer","","Recommended","There is only one right way to do things","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq12","Integer","","Recommended","I would be a better person if I gained more control over my thoughts","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq13","Integer","","Recommended","Things should be perfect according to my own standards","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq14","Integer","","Recommended","The more distressing my thoughts are, the greater the risk that they will come true","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq15","Integer","","Recommended","I can have no peace of mind as long as I have intrusive thoughts","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq16","Integer","","Recommended","Things that are minor annoyances for most people seem like disasters for me","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq17","Integer","","Recommended","I must know what is going on in my mind at all times so I can control my thoughts","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq18","Integer","","Recommended","The more I think of something horrible, the greater the risk it will come true","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq19","Integer","","Recommended","In order to be a worthwhile person, I must be perfect at everything I do","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq20","Integer","","Recommended","When I see any opportunity to do so, I must act to prevent bad things from happening","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq21","Integer","","Recommended","It is ultimately my responsibility to ensure that everything is in order","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq22","Integer","","Recommended","If I fail at something, I am a failure as a person","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq23","Integer","","Recommended","Even if harm is very unlikely, I should try to prevent it at any cost","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq24","Integer","","Recommended","For me, having bad urges is as bad as actually carrying them out","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq25","Integer","","Recommended","I must think through the consequences of even my smallest actions","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq26","Integer","","Recommended","If an unexpected change occurs in my daily life, something bad will happen","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq27","Integer","","Recommended","If I don't act when I foresee danger, then I am to blame for any consequences","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq28","Integer","","Recommended","If I can't do something perfectly, I shouldn't do it at all","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq29","Integer","","Recommended","I must be ready to regain control of my thinking whenever an intrusive thought or image occurs","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq30","Integer","","Recommended","Bad things are more likely to happen to me than to other people","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq31","Integer","","Recommended","I must work to my full potential at all times","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq32","Integer","","Recommended","It is essential for me to consider all possible outcomes of a situation","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq33","Integer","","Recommended","Even minor mistakes mean a job is not complete","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq34","Integer","","Recommended","If I have aggressive thoughts or impulses about my loved ones, this means I may secretly want to hurt them","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq35","Integer","","Recommended","I must be certain of my decisions","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq36","Integer","","Recommended","If someone does a task better than I do, that means I failed the whole task","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq37","Integer","","Recommended","If I have an intrusive thought while I'm doing something, what I'm doing will be ruined","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq38","Integer","","Recommended","In all kinds of daily situations, failing to prevent harm is just as bad as deliberately causing harm","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq39","Integer","","Recommended","Avoiding serious problems (e.g., illness or accidents) requires constant effort on my part","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq40","Integer","","Recommended","Small problems always seem to turn into big ones in my life","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq41","Integer","","Recommended","For me, not preventing harm is as bad as causing harm","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq42","Integer","","Recommended","I should be upset if I make a mistake","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq43","Integer","","Recommended","I should make sure others are protected from any negative consequences of my decisions or actions","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
"obq44","Integer","","Recommended","If I exercise enough will-power, I should be able to gain complete control over my mind","1::7","1 = disagree very much; 2 = Disagree moderately; 3 = Disagree a little; 4 = Neither agree nor disagree; 5 = Agree a little; 6 = Agree moderately; 7 = Agree very much",""
