"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"oes1","Integer","","Recommended","People treat me as if I am invisible.","1::5","1 = Hardly ever; 2; 3 = Sometimes; 4; 5 = Almost always",""
"oes2","Integer","","Recommended","People look through me as if I do not exist.","1::5","1 = Hardly ever; 2; 3 = Sometimes; 4; 5 = Almost always",""
"oes3","Integer","","Recommended","People give me the silent treatment.","1::5","1 = Hardly ever; 2; 3 = Sometimes; 4; 5 = Almost always",""
"oes4","Integer","","Recommended","People have ignored my greetings, when walking by one another.","1::5","1 = Hardly ever; 2; 3 = Sometimes; 4; 5 = Almost always",""
"oes5","Integer","","Recommended","People ignore me during conversation.","1::5","1 = Hardly ever; 2; 3 = Sometimes; 4; 5 = Almost always",""
"oes6","Integer","","Recommended","People leave the area when I enter a room.","1::5","1 = Hardly ever; 2; 3 = Sometimes; 4; 5 = Almost always",""
"oes7","Integer","","Recommended","People ignore me.","1::5","1 = Hardly ever; 2; 3 = Sometimes; 4; 5 = Almost always",""
"oes8","Integer","","Recommended","People spread rumors about me.","1::5","1 = Hardly ever; 2; 3 = Sometimes; 4; 5 = Almost always",""
"oes9","Integer","","Recommended","People physically turn their backs to me when in my presence.","1::5","1 = Hardly ever; 2; 3 = Sometimes; 4; 5 = Almost always",""
"oes10","Integer","","Recommended","People do not call me on my cellphone.","1::5","1 = Hardly ever; 2; 3 = Sometimes; 4; 5 = Almost always",""
"oes11","Integer","","Recommended","People do not answer their phones when I call.","1::5","1 = Hardly ever; 2; 3 = Sometimes; 4; 5 = Almost always",""
"oes12","Integer","","Recommended","People pick me to be on their team.","1::5","1 = Hardly ever; 2; 3 = Sometimes; 4; 5 = Almost always",""
"oes13","Integer","","Recommended","People hang out with me at my home.","1::5","1 = Hardly ever; 2; 3 = Sometimes; 4; 5 = Almost always",""
"oes14","Integer","","Recommended","People invite me to join their club, organization, or association.","1::5","1 = Hardly ever; 2; 3 = Sometimes; 4; 5 = Almost always",""
"oes15","Integer","","Recommended","People include me in their plans for the holidays.","1::5","1 = Hardly ever; 2; 3 = Sometimes; 4; 5 = Almost always",""
"oes16","Integer","","Recommended","People make an effort to get my attention.","1::5","1 = Hardly ever; 2; 3 = Sometimes; 4; 5 = Almost always",""
"oes17","Integer","","Recommended","People invite me to go out to eat with them.","1::5","1 = Hardly ever; 2; 3 = Sometimes; 4; 5 = Almost always",""
"oes18","Integer","","Recommended","People invite me to join them for weekend activities, hobbies, or events.","1::5","1 = Hardly ever; 2; 3 = Sometimes; 4; 5 = Almost always",""
"oes19","Integer","","Recommended","In general, when I am around others, I am the center of attention.","1::5","1 = Hardly ever; 2; 3 = Sometimes; 4; 5 = Almost always",""
