"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"barc_pace_1","Integer","","Recommended","Has your child ever lived with a parent/caregiver who went to jail/prison?","0;1","0=No; 1=Yes",""
"barc_pace_2","Integer","","Recommended","Do you think your child ever felt unsupported, unloved and/or unprotected?","0;1","0=No; 1=Yes",""
"barc_pace_3","Integer","","Recommended","Has your child ever lived with a parent/caregiver who had mental health issues? (for example, depression, schizophrenia, bipolar disorder, PTSD, or an anxiety disorder)","0;1","0=No; 1=Yes",""
"barc_pace_4","Integer","","Recommended","Has a parent/caregiver ever insulted, humiliated, or put down your child?","0;1","0=No; 1=Yes",""
"barc_pace_5","Integer","","Recommended","Has the child''s biological parent or any caregiver ever had, or currently has a problem with too much alcohol, street drugs or prescription medications use?","0;1","0=No; 1=Yes",""
"barc_pace_6","Integer","","Recommended","Has your child ever lacked appropriate care by any caregiver (for example, not being protected from unsafe situations, or not cared for when sick or injured even when the resources were available)?","0;1","0=No; 1=Yes",""
"barc_pace_7","Integer","","Recommended","Has your child ever seen or heard a parent/caregiver being screamed at, sworn at, insulted or humiliated by another adult?","0;1","0=No; 1=Yes; Conditional question: OR (see barc_pace_8) Please note, some questions have more than one part separated by ''OR.'' If any part of the question is answered ''Yes,'' then the answer to the entire question is ''Yes''",""
"barc_pace_8","Integer","","Recommended","Has your child ever seen or heard a parent/caregiver being slapped, kicked, punched beaten up or hurt with a weapon?","0;1","0=No; 1=Yes; Conditional question: OR (see barc_pace_7) Please note, some questions have more than one part separated by ''OR.'' If any part of the question is answered ''Yes,'' then the answer to the entire question is ''Yes''",""
"barc_pace_9","Integer","","Recommended","Has any adult in the household often or very often pushed, grabbed, slapped or thrown something at your child?","0;1","0=No; 1=Yes; Conditional question: OR (see barc_pace_10, barc_pace_11) Please note, some questions have more than one part separated by ''OR.'' If any part of the question is answered ''Yes,'' then the answer to the entire question is ''Yes''",""
"barc_pace_10","Integer","","Recommended","Has any adult in the household ever hit your child so hard that your child had marks or was injured?","0;1","0=No; 1=Yes; Conditional question: OR (see barc_pace_9, barc_pace_11) Please note, some questions have more than one part separated by ''OR.'' If any part of the question is answered ''Yes,'' then the answer to the entire question is ''Yes''",""
"barc_pace_11","Integer","","Recommended","Has any adult in the household ever threatened your child or acted in a way that made your child afraid that they might be hurt?","0;1","0=No; 1=Yes; Conditional question: OR (see barc_pace_9, barc_pace_10) Please note, some questions have more than one part separated by ''OR.'' If any part of the question is answered ''Yes,'' then the answer to the entire question is ''Yes''",""
"barc_pace_12","Integer","","Recommended","Has your child ever experienced sexual abuse? For example, anyone touched your child or asked your child to touch that person in a way that was unwanted, or made your child feel uncomfortable, or anyone ever attempted or actually had oral, anal, or vaginal sex with your child?","0;1","0=No; 1=Yes",""
"barc_pace_13","Integer","","Recommended","Have there ever been significant changes in the relationship status of the child''s caregiver(s)? For example, a parent/caregiver got a divorce or separated, or a romantic partner moved in or out?","0;1","0=No; 1=Yes",""
"barc_pace_y1","Integer","","Recommended","Write the total number of Yeses in this first section here: score 3+ denote risk","","First section include all questions barc_pace_1 to barc_pace_13",""
"barc_pace_14","Integer","","Recommended","Has your child ever seen, heard, or been a victim of violence in your neighborhood, community or school? (for example, targeted bullying, assault or other violent actions, war or terrorism)","0;1","0=No; 1=Yes",""
"barc_pace_15","Integer","","Recommended","Has your child experienced discrimination (for example being hassled or made to feel inferior or excluded because of their race, ethnicity, gender identity, sexual orientation, religion, learning differences, or disabilities)?","0;1","0=No; 1=Yes",""
"barc_pace_16","Integer","","Recommended","Has your child ever had problems with housing (for example being homeless, not having a stable place to live, moved more than two times in a six-month period, faced eviction or foreclosure, or had to live with multiple families or family members)?","0;1","0=No; 1=Yes",""
"barc_pace_17","Integer","","Recommended","Have you ever worried that your child did not have enough food to eat or that the food for your child would run out before you could buy more?","0;1","0=No; 1=Yes",""
"barc_pace_18","Integer","","Recommended","Has your child ever been separated from their parent or caregiver due to foster care, or immigration?","0;1","0=No; 1=Yes",""
"barc_pace_19","Integer","","Recommended","Has your child ever lived with a parent/caregiver who had a serious
physical illness or disability?","0;1","0=No; 1=Yes",""
"barc_pace_20","Integer","","Recommended","Has your child ever lived with a parent or caregiver who died?","0;1","0=No; 1=Yes",""
"barc_pace_y2","Integer","","Recommended","Write the total number of Yeses in this second section here: This section II is not scored.","","Second section include all questions from barc_pace_14 to barc_pace_20",""
"csaq477a","Integer","","Recommended","As a child or adolescent (16 years or younger), had you ever been pressured,?forced or intimidated into doing something sexually (for example, sexual fondling, oral sex, penetration with a finger or object, or intercourse) that you did not want to do?","1::4","1=Yes; 2=No; 3=I dont know; 4=Rather not say",""
"csaq477b","Integer","","Recommended","As a child or adolescent (16 years or younger), had you ever been pressured,?forced or intimidated into doing something sexually (for example, sexual fondling, oral sex, penetration with a finger or object, or intercourse) that you did not want to do? If yes, how old were you when this first happened?","","",""
"csaq477c","Integer","","Recommended","As a child or adolescent (16 years or younger), had you ever been pressured,?forced or intimidated into doing something sexually (for example, sexual fondling, oral sex, penetration with a finger or object, or intercourse) that you did not want to do? If yes, how frequently did this occur?","1::3","1=It happened one time; 2=It happened more than once; 3=Rather not say",""
"csaq477d","Integer","","Recommended","As a child or adolescent (16 years or younger), had you ever been pressured,?forced or intimidated into doing something sexually (for example, sexual fondling, oral sex, penetration with a finger or object, or intercourse) that you did not want to do? If yes, how upsetting was the experience(s)?","1::4","1=Not at all; 2=Mildly; 3=Moderately; 4=Extremely",""
