"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"relnow_1","Integer","","Recommended","1. My partner Listens to me when I need someone to talk to.","1::5","1=disagree;  5=agree",""
"relnow_2","Integer","","Recommended","2. We enjoy spending time with other couples","1::5","1=disagree;  5=agree",""
"relnow_3","Integer","","Recommended","3. I am satisfied with our sex life","1::5","1=disagree;  5=agree",""
"relnow_4","Integer","","Recommended","4. My partner helps me clarify my thoughts.","1::5","1=disagree;  5=agree",""
"relnow_5","Integer","","Recommended","5. We enjoy the same recreational activities.","1::5","1=disagree;  5=agree",""
"relnow_6","Integer","","Recommended","6. My partner has all the qualities Ive ever wanted in a partner.","1::5","1=disagree;  5=agree",""
"relnow_7","Integer","","Recommended","7. I can state my feelings without him/her getting defensive. N","1::5","1=disagree;  5=agree",""
"relnow_8","Integer","","Recommended","8.We usually keep to ourselves.","1::5","1=disagree;  5=agree",""
"relnow_9","Integer","","Recommended","9. I feel our sexual activity is just routine.","1::5","1=disagree;  5=agree",""
"relnow_10","Integer","","Recommended","10. When it comes to having a serious discussion it seems that we have little in common.","1::5","1=disagree;  5=agree",""
"relnow_11","Integer","","Recommended","11. I share in very few of my partners interest.","1::5","1=disagree;  5=agree",""
"relnow_12","Integer","","Recommended","12. There are times when I do not feel a great deal of love and affection for my partner.","1::5","1=disagree;  5=agree",""
"relnow_13","Integer","","Recommended","13. I often feel distant from my partner","1::5","1=disagree;  5=agree",""
"relnow_14","Integer","","Recommended","14. We have very few friends in common.","1::5","1=disagree;  5=agree",""
"relnow_15","Integer","","Recommended","15. I am able to tell my partner when I want sexual intercourse","1::5","1=disagree;  5=agree",""
"relnow_16","Integer","","Recommended","16. I feel put-down in a serious conversation with my partner.","1::5","1=disagree;  5=agree",""
"relnow_17","Integer","","Recommended","17. We like playing together.","1::5","1=disagree;  5=agree",""
"relnow_18","Integer","","Recommended","18. Every new thing that I have learned about my partner has pleased me.","1::5","1=disagree;  5=agree",""
"relnow_19","Integer","","Recommended","19. My partner can really understand my hurts and joys.","1::5","1=disagree;  5=agree",""
"relnow_20","Integer","","Recommended","20. Having time together with friends is an important part of our shared activities.","1::5","1=disagree;  5=agree",""
"relnow_21","Integer","","Recommended","21. I hold back my sexual interest because my partner makes me feel uncomfortable.","1::5","1=disagree;  5=agree",""
"relnow_22","Integer","","Recommended","22. I feel it is useless to discuss some things with my partner.","1::5","1=disagree;  5=agree",""
"relnow_23","Integer","","Recommended","23. We enjoy out-doors activities together.","1::5","1=disagree;  5=agree",""
"relnow_24","Integer","","Recommended","24. My partner and I understand each other completely.","1::5","1=disagree;  5=agree",""
"relnow_25","Integer","","Recommended","25. I feel neglected at times by my partner","1::5","1=disagree;  5=agree",""
"relnow_26","Integer","","Recommended","26. Many of my partner's closest friends are also my closest friends","1::5","1=disagree;  5=agree",""
"relnow_27","Integer","","Recommended","27. Sexual expression is an essential part of our relationship","1::5","1=disagree;  5=agree",""
"relnow_28","Integer","","Recommended","28. My partner frequently tries to change my ideas.","1::5","1=disagree;  5=agree",""
"relnow_29","Integer","","Recommended","29. We seldom find time to do fun things together.","1::5","1=disagree;  5=agree",""
"relnow_30","Integer","","Recommended","30. I dont think anyone could possibility be happier than my partner and I when we are with one another.","1::5","1=disagree;  5=agree",""
"relnow_31","Integer","","Recommended","31. I sometimes feel lonely when were together.","1::5","1=disagree;  5=agree",""
"relnow_32","Integer","","Recommended","32. My partner disapproves of some of my friends.","1::5","1=disagree;  5=agree",""
"relnow_33","Integer","","Recommended","33. My partner seems disinterested in sex.","1::5","1=disagree;  5=agree",""
"relnow_34","Integer","","Recommended","34. We have an endless number of things to talk about.","1::5","1=disagree;  5=agree",""
"relnow_35","Integer","","Recommended","35. I think that we share some of the same interests.","1::5","1=disagree;  5=agree",""
"relnow_36","Integer","","Recommended","36. I have some needs that are not being met by my relationship.","1::5","1=disagree;  5=agree",""
"emint_score","Integer","","Required","""Emotional Intimacy: items: 1, 7, 13, 19, 25, 31""","","-99= Missing",""
"socint_score","Integer","","Required","""Social Intimacy: items: 2, 8, 14, 20, 26, 32""","","-99= Missing",""
"sexint_score","Integer","","Required","""Sexual Intimacy: 3, 9, 15, 21, 27, 33""","","-99= Missing",""
"intelint_score","Integer","","Required","""Intellectual intimacy: items: 4, 10, 16, 22, 28, 34""","","-99= Missing",""
"recrint_score","Integer","","Required","""Recreational Intimacy: items: 5, 11, 17, 23, 29, 35""","","-99= Missing",""
"convint_score","Integer","","Required","""Conventional Intimacy: items: 6, 12, 18, 24, 30, 36""","","-99= Missing",""
"version_form","String","121","Required","Form used/assessment name","","e.g., Self-Report, Parent Form, Short Form, Revised Version",""
"rrq_pals08","Integer","","Recommended","My partner knows when I'm upset.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
"rrq_pals09","Integer","","Recommended","My partner helps me do things.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
"rrq_pals10","Integer","","Recommended","My partner points out things that I am good at.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
"rrq_pals11","Integer","","Recommended","My partner would make me feel better if I were worried.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
"rrq_pals12","Integer","","Recommended","My partner compliments me when I do something well.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
"rrq_pals13","Integer","","Recommended","My partner makes me feel special.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
"rrq_pals14","Integer","","Recommended","My partner fights with me.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
"rrq_pals15","Integer","","Recommended","My partner would stay my partner even if other people did not like me.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
"rrq_pals16","Integer","","Recommended","My partner knows when something bothers me.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
"rrq_pals17","Integer","","Recommended","My partner is exciting to be with.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
"rrq_pals18","Integer","","Recommended","My partner helps me when I'm trying hard to finish something.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
"rrq_pals19","Integer","","Recommended","My partner would still want to stay my partner even if we argued.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
"rrq_pals20","Integer","","Recommended","My partner disagrees with me.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
"rrq_pals21","Integer","","Recommended","My partner makes me feel better when I'm upset.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
"rrq_pals22","Integer","","Recommended","My partner gets mad at me.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
"rrq_pals01","Integer","","Recommended","My partner helps me when I need it.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
"rrq_pals02","Integer","","Recommended","My partner would make me feel comfortable in a new situation.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
"rrq_pals03","Integer","","Recommended","My partner is someone I can tell private things to.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
"rrq_pals04","Integer","","Recommended","My partner has good ideas about entertaining things to do.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
"rrq_pals05","Integer","","Recommended","My partner would want to stay my partner if we didn't see each other for a few months.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
"rrq_pals06","Integer","","Recommended","My partner makes me laugh.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
"rrq_pals07","Integer","","Recommended","My partner argues with me.","0 :: 8","0= Never; 1= Almost Never; 2= Rarely; 3= Almost Rarely; 4= Once in a While; 5= Almost Fairly Often; 6= Fairly Often; 7= Almost Always; 8= Always",""
