"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timeframe_spec","String","100","Recommended","Specify the timeframe (in the past year, past two weeks, etc.) in which elements/items are assessed","","",""
"state_paranoia1","Integer","","Recommended","For each of the feelings and thoughts described, please indicate how much they apply/applied to you during [timeframe_spec]: I need to be on my guard against others.","0::10","0= Not at all; 10= Very much",""
"state_paranoia2","Integer","","Recommended","For each of the feelings and thoughts described, please indicate how much they apply/applied to you during [timeframe_spec]: People are trying to make me upset.","0::10","0= Not at all; 10= Very much",""
"state_paranoia3","Integer","","Recommended","For each of the feelings and thoughts described, please indicate how much they apply/applied to you during [timeframe_spec]: Strangers and friends look at me critically.","0::10","0= Not at all; 10= Very much",""
"state_paranoia4","Integer","","Recommended","For each of the feelings and thoughts described, please indicate how much they apply/applied to you during [timeframe_spec]: People are laughing at me.","0::10","0= Not at all; 10= Very much",""
"state_paranoia5","Integer","","Recommended","For each of the feelings and thoughts described, please indicate how much they apply/applied to you during [timeframe_spec]: My actions and thoughts might be controlled by others.","0::10","0= Not at all; 10= Very much",""
"pcl_brief01","Integer","","Recommended","I need to be on my guard against others","1::5","1=Do not agree; 2=Agree a little; 3=Moderately agree; 4=Agree very much; 5=Totally agree",""
"pcl_brief02","Integer","","Recommended","People are trying to make me upset","1::5","1=Do not agree; 2=Agree a little; 3=Moderately agree; 4=Agree very much; 5=Totally agree",""
"pcl_brief03","Integer","","Recommended","Strangers and friends look at me critically","1::5","1=Do not agree; 2=Agree a little; 3=Moderately agree; 4=Agree very much; 5=Totally agree",""
"pcl_brief04","Integer","","Recommended","People are laughing at me","1::5","1=Do not agree; 2=Agree a little; 3=Moderately agree; 4=Agree very much; 5=Totally agree",""
"pcl_brief05","Integer","","Recommended","My actions and thoughts might be controlled by others","1::5","1=Do not agree; 2=Agree a little; 3=Moderately agree; 4=Agree very much; 5=Totally agree",""
