"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"caregiver_sat1","Integer","","Recommended","The doctor talked to my child about what he/she can do to become healthier","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat2","Integer","","Recommended","The doctor seemed to think it was important for my child to understand the visit","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat3","Integer","","Recommended","The doctor encouraged my child to talk","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat4","Integer","","Recommended","The doctor listened closely to my child talk","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat5","Integer","","Recommended","The doctor knows how to talk to children","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat6","Integer","","Recommended","The doctor used words too difficult for my child to understand","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat7","Integer","","Recommended","The doctor really understood how my child feels","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat8","Integer","","Recommended","The doctor explained things very well to my child","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat9","Integer","","Recommended","The doctor excluded my child from most of the discussion","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat10","Integer","","Recommended","My child could not understand most of what the doctor said","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat11","Integer","","Recommended","The doctor listened carefully to what I said","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat12","Integer","","Recommended","The doctor did not really give me a chance to say what was on my mind","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat13","Integer","","Recommended","I really felt understood by my child's doctor","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat14","Integer","","Recommended","The doctor failed to understand my main reason for coming","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat15","Integer","","Recommended","The doctor gave me a poor explanation of my child's illness","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat16","Integer","","Recommended","The doctor seemed to have other things on his/her mind","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat17","Integer","","Recommended","It may be too difficult for us to do exactly what the doctor told us to do","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat18","Integer","","Recommended","I intend to follow the doctor's instructions","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat19","Integer","","Recommended","I expect that it will be easy for me to follow the doctor's advice","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat20","Integer","","Recommended","It will be too much trouble to follow the doctor's advice","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat21","Integer","","Recommended","The doctor seemed to think about my child's problem carefully","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat22","Integer","","Recommended","After talking with the doctor, I feel I am handling my child's illness well","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat23","Integer","","Recommended","The doctor seemed to care about my child's feelings","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat24","Integer","","Recommended","The doctor made me feel I've done a good job of caring for my child","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat25","Integer","","Recommended","After talking with the doctor, I feel better about my child's illness","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"caregiver_sat26","Integer","","Recommended","The doctor seemed to know just what to do for my child's problem","1::7; 99","1=Strongly disagree; 4=Neutral; 7=Strongly agree; 99=Missing",""
"respond","Integer","","Recommended","Respondent","1::7;999","1 = Parent; 2 = Teacher; 3=Self; 4= Other; 5= Significant other; 6 = Parent 1; 7 = Parent 2; 999 = Not available",""
