"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"yptma","Integer","","Recommended","In the past year, have you tried or used: Cigarettes (even one or two puffs)?","0;1;-99","0= No; 1= Yes; -99= NA/Refused",""
"yptmb","Integer","","Recommended","In the past year, have you tried or used: Vapes with nicotine, e-cigarettes, e-cigars, e-pipes, e-hookahs, and personal vaporizers?","0;1;-99","0= No; 1= Yes; -99= NA/Refused",""
"yptmc","Integer","","Recommended","In the past year, have you tried or used: Traditional cigars, cigarillos, or filtered cigars?","0;1;-99","0= No; 1= Yes; -99= NA/Refused",""
"yptmd","Integer","","Recommended","In the past year, have you tried or used: Tobacco pipes?","0;1;-99","0= No; 1= Yes; -99= NA/Refused",""
"yptme","Integer","","Recommended","In the past year, have you tried or used: Tobacco in a hookah or water pipe?","0;1;-99","0= No; 1= Yes; -99= NA/Refused",""
"yptmf","Integer","","Recommended","In the past year, have you tried or used: Smokeless tobacco or snus such as snus pouches, loose snus, moist snuff, dip, spit, and chewing tobacco?","0;1;-99","0= No; 1= Yes; -99= NA/Refused",""
"yptmg","Integer","","Recommended","In the past year, have you tried or used: Bidis (small brown cigarettes wrapped in a leaf and typically tied on one or both ends with string) or kreteks (clove cigarettes)?","0;1;-99","0= No; 1= Yes; -99= NA/Refused",""
"yptma01","Integer","","Recommended","In the past year, have you used this fairly regularly? Cigarettes","0;1;-99","0= No; 1= Yes; -99= NA/Refused",""
"yptmb01","Integer","","Recommended","In the past year, have you used this fairly regularly? Vapes with nicotine, e-cigarettes, e-cigars, e-pipes, e-hookahs, and personal vaporizers","0;1;-99","0= No; 1= Yes; -99= NA/Refused",""
"yptmc01","Integer","","Recommended","In the past year, have you used this fairly regularly? Traditional cigars, cigarillos, or filtered cigars","0;1;-99","0= No; 1= Yes; -99= NA/Refused",""
"yptmd01","Integer","","Recommended","In the past year, have you used this fairly regularly? Tobacco pipes","0;1;-99","0= No; 1= Yes; -99= NA/Refused",""
"yptme01","Integer","","Recommended","In the past year, have you used this fairly regularly? Tobacco in a hookah or water pipe","0;1;-99","0= No; 1= Yes; -99= NA/Refused",""
"yptmf01","Integer","","Recommended","In the past year, have you used this fairly regularly? Smokeless tobacco or snus","0;1;-99","0= No; 1= Yes; -99= NA/Refused",""
"yptmg01","Integer","","Recommended","In the past year, have you used this fairly regularly? Bidis or kreteks","0;1;-99","0= No; 1= Yes; -99= NA/Refused",""
"yptma02","Integer","","Recommended","When was the last time you used this, in any amount? Cigarettes (even one or two puffs)","1::5;-99","1= Not in the past 6 months but sometime in the past year; 2= Not in the past 30 days but sometime in the past 6 months; 3= Not in the past 7 days but sometime in the past 30 days; 4= Not today but sometime in the past 7 days; 5= Earlier today; -99= NA/Refused",""
"yptmb02","Integer","","Recommended","When was the last time you used this, in any amount? Vapes with nicotine, e-cigarettes, e-cigars, e-pipes, e-hookahs, and personal vaporizers","1::5;-99","1= Not in the past 6 months but sometime in the past year; 2= Not in the past 30 days but sometime in the past 6 months; 3= Not in the past 7 days but sometime in the past 30 days; 4= Not today but sometime in the past 7 days; 5= Earlier today; -99= NA/Refused",""
"yptmc02","Integer","","Recommended","When was the last time you used this, in any amount? Traditional cigars, cigarillos, or filtered cigars","1::5;-99","1= Not in the past 6 months but sometime in the past year; 2= Not in the past 30 days but sometime in the past 6 months; 3= Not in the past 7 days but sometime in the past 30 days; 4= Not today but sometime in the past 7 days; 5= Earlier today; -99= NA/Refused",""
"yptmd02","Integer","","Recommended","When was the last time you used this, in any amount? Tobacco pipes","1::5;-99","1= Not in the past 6 months but sometime in the past year; 2= Not in the past 30 days but sometime in the past 6 months; 3= Not in the past 7 days but sometime in the past 30 days; 4= Not today but sometime in the past 7 days; 5= Earlier today; -99= NA/Refused",""
"yptme02","Integer","","Recommended","When was the last time you used this, in any amount? Tobacco in a hookah or water pipe","1::5;-99","1= Not in the past 6 months but sometime in the past year; 2= Not in the past 30 days but sometime in the past 6 months; 3= Not in the past 7 days but sometime in the past 30 days; 4= Not today but sometime in the past 7 days; 5= Earlier today; -99= NA/Refused",""
"yptmf02","Integer","","Recommended","When was the last time you used this, in any amount? Smokeless tobacco or snus","1::5;-99","1= Not in the past 6 months but sometime in the past year; 2= Not in the past 30 days but sometime in the past 6 months; 3= Not in the past 7 days but sometime in the past 30 days; 4= Not today but sometime in the past 7 days; 5= Earlier today; -99= NA/Refused",""
"yptmg02","Integer","","Recommended","When was the last time you used this, in any amount? Bidis or kreteks","1::5;-99","1= Not in the past 6 months but sometime in the past year; 2= Not in the past 30 days but sometime in the past 6 months; 3= Not in the past 7 days but sometime in the past 30 days; 4= Not today but sometime in the past 7 days; 5= Earlier today; -99= NA/Refused",""
"yptma03","Integer","","Recommended","In the past 30 days, how many days have you smoked cigarettes?","1::30;-99","30= 30 or more; -99= NA/RF",""
"yptma04","Integer","","Recommended","In the past 30 days, on the days you smoked, how many cigarettes did you smoke per day?","1::6;-99","1= Less than 1 cigarette per day; 2= 1 cigarette per day; 3= 2 to 5 cigarettes per day; 4= 6 to 10 cigarettes per day; 5= 11 to 20 cigarettes per day; 6= More than 20 cigarettes per day; -99= NA/RF",""
"yptmb03","Integer","","Recommended","In the past 30 days, how many days have you vaped?","1::30;-99","30= 30 or more; -99= NA/RF",""
"yptmb04","Integer","","Recommended","In the past 30 days, on the days that you vaped, how many times did you vape per day?","0::30;-99","0= Less than one time per day; 30= 30 or more; -99= NA/RF",""
"yptmc03","Integer","","Recommended","In the past 30 days, how many days have you smoked cigars?","1::30;-99","30= 30 or more; -99= NA/RF",""
"yptmc04","Integer","","Recommended","In the past 30 days, on the days you smoked a cigar, how many cigars did you smoke per day?","1::6;-99","1= Less than 1 cigar per day; 2= 1 cigar per day; 3= 2 to 5 cigars per day; 4= 6 to 10 cigars per day; 5= 11 to 20 cigars per day; 6= More than 20 cigars per day; -99= NA/RF",""
"yptmd03","Integer","","Recommended","In the past 30 days, how many days have you smoked a pipe?","1::30;-99","30= 30 or more; -99= NA/RF",""
"yptmd04","Integer","","Recommended","In the past 30 days, on the days you smoked a pipe, how many bowls filled with tobacco did you smoke per day?","1::6;-99","1= Less than 1 bowl per day; 2= 1 bowl per day; 3= 2 to 5 bowls per day; 4= 6 to 10 bowls per day; 5= 11 to 20 bowls per day; 6= More than 20 bowls per day; -99= NA/RF",""
"yptme03","Integer","","Recommended","In the past 30 days, how many days have you smoked a hookah?","1::30;-99","30= 30 or more; -99= NA/RF",""
"yptme04","Integer","","Recommended","In the past 30 days, on the days you smoked a hookah, how many times did you smoke per day?","1::30;-99","30= 30 or more; -99= NA/RF",""
"yptmf03","Integer","","Recommended","In the past 30 days, how many days have you used smokeless tobacco or snus?","1::30;-99","30= 30 or more; -99= NA/RF",""
"yptmf04","Integer","","Recommended","In the past 30 days, on the days you used smokeless tobacco or snus, how many times did you use each day?","1::30;-99","30= 30 or more; -99= NA/RF",""
"yptmg03","Integer","","Recommended","In the past 30 days, how many days have you smoked a bidi or kretek?","1::30;-99","30= 30 or more; -99= NA/RF",""
"yptmg04","Integer","","Recommended","In the past 30 days, on the days you smoked, how many bidis or kreteks did you smoke per day?","1::6;-99","1= Less than 1 bidi or kretek per day; 2= 1 bidi or kretek per day; 3= 2 to 5 bidis or kreteks per day; 4= 6 to 10 bidis or kreteks per day; 5= 11 to 20 bidis or kreteks per day; 6= More than 20 bidis or kreteks per day; -99= NA/RF",""
