"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"pcogf1","Integer","","Recommended","I forget schoolwork that I need to do","1 :: 5","1= Very Much; 2= Quite A Bit; 3= Somewhat; 4= A Little Bit; 5= Not At All","nqcogped03"
"pcogf2","Integer","","Recommended","I sometimes forget what I was going to say","1 :: 5","1= Very Much; 2= Quite A Bit; 3= Somewhat; 4= A Little Bit; 5= Not At All","nqcogped05"
"pcogf3","Integer","","Recommended","I react slower than most people my age when I play games","1 :: 5","1= Very Much; 2= Quite A Bit; 3= Somewhat; 4= A Little Bit; 5= Not At All","nqcogped08"
"pcogf4","Integer","","Recommended","I forget things easily","1 :: 5","1= Very Much; 2= Quite A Bit; 3= Somewhat; 4= A Little Bit; 5= Not At All","nqcogped15"
"pcogf5","Integer","","Recommended","I have trouble remembering to do things (e.g., school projects)","1 :: 5","1= Very Much; 2= Quite A Bit; 3= Somewhat; 4= A Little Bit; 5= Not At All","nqcogped17"
"pcogf6","Integer","","Recommended","It is hard for me to concentrate in school","1 :: 5","1= Very Much; 2= Quite A Bit; 3= Somewhat; 4= A Little Bit; 5= Not At All","nqcogped18"
"pcogf7","Integer","","Recommended","I have trouble paying attention to the teacher","1 :: 5","1= Very Much; 2= Quite A Bit; 3= Somewhat; 4= A Little Bit; 5= Not At All","nqcogped19"
"pcogf8","Integer","","Recommended","I have to work really hard to pay attention or I will make a mistake","1 :: 5","1= Very Much; 2= Quite A Bit; 3= Somewhat; 4= A Little Bit; 5= Not At All","nqcogped20"
"pcog_raw","Integer","","Recommended","Cognitive Function Raw score","","Sum of pcof1 thought pcogf8",""
"nqcogped02","Integer","","Recommended","In the past 7 days I had a hard time keeping track of my homework","0::4","0=Not at all; 1=A little bit; 2=Somewhat; 3=Quite a bit; 4=Very much",""
"nqcogped04","Integer","","Recommended","In the past 7 days I forgot to bring books or worksheets home that I needed for homework","0::4","0=Not at all; 1=A little bit; 2=Somewhat; 3=Quite a bit; 4=Very much",""
"nqcogped07","Integer","","Recommended","In the past 7 days I had to read something several times to understand it","0::4","0=Not at all; 1=A little bit; 2=Somewhat; 3=Quite a bit; 4=Very much",""
"nqcogped10","Integer","","Recommended","In the past 7 days it was hard for me to find the right words to say what I meant","0::4","0=Not at all; 1=A little bit; 2=Somewhat; 3=Quite a bit; 4=Very much",""
"nqcogped14","Integer","","Recommended","In the past 7 days it took me longer than other people to get my schoolwork done","0::4","0=Not at all; 1=A little bit; 2=Somewhat; 3=Quite a bit; 4=Very much",""
"nqcogped16","Integer","","Recommended","In the past 7 days I had to use written lists more often than other people my age so I would not forget things","0::4","0=Not at all; 1=A little bit; 2=Somewhat; 3=Quite a bit; 4=Very much",""
"nqcogped20_alt","Integer","","Recommended","In the past 7 days I had to work really hard to pay attention or I would make a mistake","0::4","0=Not at all; 1=A little bit; 2=Somewhat; 3=Quite a bit; 4=Very much",""
"nqcogped03_alt","Integer","","Recommended","In the past 7 days I forgot schoolwork that I needed to do","0::4","0=Not at all; 1=A little bit; 2=Somewhat; 3=Quite a bit; 4=Very much",""
"nqcogped05_alt","Integer","","Recommended","In the past 7 days I sometimes forgot what I was going to say","0::4","0=Not at all; 1=A little bit; 2=Somewhat; 3=Quite a bit; 4=Very much",""
"nqcogped08_alt","Integer","","Recommended","In the past 7 days I reacted slower than most people my age when I played games","0::4","0=Not at all; 1=A little bit; 2=Somewhat; 3=Quite a bit; 4=Very much",""
"nqcogped15_alt","Integer","","Recommended","In the past 7 days I forgot things easily","0::4","0=Not at all; 1=A little bit; 2=Somewhat; 3=Quite a bit; 4=Very much",""
"nqcogped17_alt","Integer","","Recommended","In the past 7 days I had trouble remembering to do things (e.g., school projects)","0::4","0=Not at all; 1=A little bit; 2=Somewhat; 3=Quite a bit; 4=Very much",""
"nqcogped18_alt","Integer","","Recommended","In the past 7 days it was hard for me to concentrate in school","0::4","0=Not at all; 1=A little bit; 2=Somewhat; 3=Quite a bit; 4=Very much",""
"nqcogped19_alt","Integer","","Recommended","In the past 7 days I had trouble paying attention to the teacher","0::4","0=Not at all; 1=A little bit; 2=Somewhat; 3=Quite a bit; 4=Very much",""
